iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
175,370.954,1,19.2805,24.627,28.8869,1.1707,2.22045e-16,0.505994,1.30231,0.758776,0.607586
176,371.872,1,19.4403,25.0299,29.1369,1.18817,2.22045e-16,0.504894,1.26707,0.741534,0.587543
177,373.075,1,19.3452,25.1683,30.6968,1.18643,9.24916e-06,0.506069,1.34791,0.741341,0.592571
178,375.212,1,19.3764,25.0316,28.9534,1.16715,0.00797635,0.507456,1.3186,0.748105,0.621208
179,370.776,1,19.4357,24.7769,29.3234,1.16832,2.22045e-16,0.505974,1.30996,0.745989,0.620908
180,369.681,1,19.3274,25.0809,29.9,1.16618,2.22045e-16,0.508514,1.34342,0.736319,0.585614
181,373.9,1,19.3064,25.2338,30.8024,1.1502,0.0107044,0.506725,1.27845,0.716677,0.602083
182,378.332,1,19.3366,25.1717,28.3224,1.14099,0.0144151,0.507918,1.28471,0.719035,0.611137
183,383.259,1,19.3987,25.0514,27.4024,1.16376,0.014747,0.51118,1.24167,0.732256,0.660333
184,377.588,1,19.3029,25.0924,28.8016,1.14861,0.0136134,0.509499,1.19191,0.724993,0.632106
185,376.959,1,19.242,25.1936,29.9464,1.12646,0.015627,0.514355,1.16464,0.731866,0.611058
186,377.123,1,19.3433,25.8108,30.3375,1.09967,0.0169753,0.509859,1.20531,0.726811,0.652547
187,378.456,1,19.3397,25.333,30.4484,1.16617,0.0115369,0.508598,1.18645,0.734715,0.670929
188,372.748,1,19.2199,25.7867,30.332,1.15794,0.00903214,0.506944,1.11349,0.738011,0.662139
189,369.261,1,19.3872,25.8872,29.9769,1.16673,6.89994e-07,0.507678,1.22222,0.718969,0.643932
190,365.284,1,19.3549,26.2798,29.8421,1.14396,2.22045e-16,0.50627,1.18982,0.715922,0.648784
191,371.124,1,19.4135,25.8725,31.7498,1.16485,0.00511463,0.508348,1.18319,0.731155,0.662631
192,371.257,1,19.3329,25.4387,31.2593,1.17316,2.22045e-16,0.5074,1.23215,0.748831,0.642908
193,369.854,1,19.327,25.4624,29.3604,1.17431,2.22045e-16,0.506616,1.25731,0.741829,0.591787
194,368.521,1,19.4525,25.271,28.4548,1.16922,2.22045e-16,0.507408,1.24927,0.746281,0.576963
195,368.46,1,19.4102,25.4957,28.9053,1.17443,2.22045e-16,0.509939,1.24707,0.736386,0.557921
196,373.848,1,19.3619,25.5063,29.4032,1.20087,2.22045e-16,0.510777,1.20509,0.739939,0.612851
197,368.302,1,19.4431,25.2779,27.7703,1.17026,2.22045e-16,0.507179,1.21841,0.734658,0.584837
198,373.483,1,19.3808,25.2898,27.3384,1.2212,4.63171e-06,0.508796,1.1371,0.746036,0.549488
199,364.867,1,19.4056,25.2563,27.129,1.15236,2.22045e-16,0.507893,1.15657,0.755541,0.579926
200,369.178,1,19.4149,25.3438,27.0263,1.17877,7.22024e-07,0.511211,1.13554,0.747221,0.601991
201,365.571,1,19.4448,25.436,26.3465,1.15847,2.22045e-16,0.512353,1.11922,0.750052,0.59186
202,370.275,1,19.3516,25.638,28.0265,1.18678,2.22045e-16,0.516408,1.18742,0.745228,0.567914
203,366.174,1,19.3302,25.2936,26.6873,1.15267,2.22045e-16,0.515186,1.25618,0.741356,0.574834
204,365.386,1,19.3843,25.512,28.9265,1.13775,2.22045e-16,0.510846,1.26411,0.747785,0.615565
205,369.808,1,19.3074,25.278,28.0481,1.1579,2.22045e-16,0.516413,1.33177,0.756318,0.609513
206,370.773,1,19.3104,25.3245,27.6763,1.16195,2.22045e-16,0.511372,1.34006,0.757841,0.621812
207,369.832,1,19.3159,24.9181,28.4689,1.1556,2.22045e-16,0.511198,1.30995,0.757367,0.637465
208,367.611,1,19.3983,24.9639,28.0757,1.14403,2.22045e-16,0.513093,1.35182,0.775647,0.587949
209,376.113,1,19.3507,25.2347,28.1476,1.19478,2.22045e-16,0.515194,1.33699,0.769772,0.618302
210,378.212,1,19.4015,25.0843,29.8364,1.20175,2.22045e-16,0.512474,1.33204,0.774654,0.653956
211,376.347,1,19.2726,25.3959,29.9058,1.19655,2.23536e-06,0.510906,1.27811,0.76145,0.655827
212,377.574,1,19.3391,25.0898,30.2691,1.20744,2.22045e-16,0.510773,1.23994,0.772149,0.658595
213,379.617,1,19.2534,25.3132,29.096,1.22491,2.22045e-16,0.514244,1.21871,0.766016,0.650928
214,377.998,1,19.3649,25.2545,28.1653,1.21505,9.10229e-06,0.5099,1.26495,0.768532,0.624195
215,376.746,1,19.4114,25.2211,27.6233,1.20759,0.00483752,0.511789,1.2375,0.770799,0.581512
216,373.985,1,19.3829,25.0413,25.6954,1.19579,0.00364286,0.510211,1.22215,0.767086,0.584792
217,376.204,1,19.3861,25.4392,27.6222,1.2048,0.00513927,0.513228,1.18486,0.759206,0.606426
218,377.144,1,19.4692,25.4079,27.9813,1.22069,2.22045e-16,0.508254,1.25162,0.762289,0.58569
219,370.447,1,19.4767,25.1061,28.4303,1.17615,2.22045e-16,0.507654,1.28011,0.769702,0.5671
220,375.189,1,19.2983,24.6653,27.8661,1.21305,2.22045e-16,0.513548,1.25654,0.77511,0.544743
221,374.157,1,19.2592,24.0324,28.7564,1.19569,2.22045e-16,0.510817,1.23435,0.807372,0.577985
222,368.432,1,19.3024,24.2342,29.3836,1.1645,2.22045e-16,0.512,1.20887,0.79326,0.567906
223,369.613,1,19.2095,24.1705,29.2295,1.17068,2.08438e-08,0.507682,1.16288,0.799383,0.603565
224,374.741,1,19.2713,24.3453,29.8912,1.19616,0.00265007,0.510368,1.25346,0.790929,0.582528
225,375.895,1,19.2306,24.4846,29.4182,1.20214,2.22045e-16,0.509258,1.22602,0.780911,0.626847
226,366.538,1,19.3566,24.6306,30.1361,1.13868,2.22045e-16,0.512122,1.2524,0.777482,0.623976
227,367.661,1,19.2753,24.8173,30.9715,1.15245,1.9444e-07,0.508523,1.26614,0.770484,0.600647
228,366.336,1,19.3046,24.7518,30.148,1.14289,2.22045e-16,0.50936,1.24241,0.784887,0.598911
229,367.254,1,19.3123,24.7866,31.0923,1.14926,2.22045e-16,0.512611,1.25349,0.782637,0.59217
230,366.086,1,19.3311,24.9789,29.0853,1.15193,2.22045e-16,0.512915,1.23876,0.776741,0.556539
231,367.625,1,19.3158,25.27,28.1559,1.16606,2.22045e-16,0.51194,1.21205,0.772544,0.557719
232,371.679,1,19.3978,25.4128,28.9626,1.18273,2.22045e-16,0.510849,1.21852,0.778553,0.591469
233,371.137,1,19.269,25.6325,29.9304,1.17793,6.49738e-07,0.506035,1.15707,0.786814,0.625926
234,370.572,1,19.2286,25.4818,30.652,1.1813,2.22045e-16,0.507653,1.1598,0.789594,0.588748
235,374.18,1,19.3573,25.2495,30.0367,1.19628,1.0466e-06,0.510436,1.20864,0.787251,0.607812
236,370.687,1,19.3499,25.3134,30.8353,1.18495,2.90046e-06,0.51126,1.12972,0.785505,0.592621
237,376.026,1,19.2955,25.2656,31.647,1.20922,2.22045e-16,0.517977,1.12276,0.780158,0.645837
238,375.102,1,19.3484,25.5869,30.6981,1.20972,2.22045e-16,0.519298,1.04063,0.776181,0.665816
239,368.904,1,19.4256,25.3589,29.4613,1.1669,2.22045e-16,0.51537,1.03664,0.778345,0.68027
240,369.371,1,19.2277,25.5559,30.3311,1.17043,2.22045e-16,0.511242,1.06346,0.763383,0.67684
241,372.084,1,19.3735,25.5329,30.7339,1.18478,2.22045e-16,0.51602,1.07772,0.761628,0.684332
242,368.592,1,19.3591,25.6729,29.2133,1.16951,2.22045e-16,0.512916,1.08753,0.751848,0.649047
243,374.995,1,19.4147,25.8185,28.1815,1.20357,2.22045e-16,0.513586,1.11512,0.752903,0.671385
244,375.967,1,19.3886,25.8484,28.9652,1.19728,2.22045e-16,0.514329,1.19663,0.753665,0.686612
245,374.563,1,19.3086,26.0114,27.6859,1.20422,2.22045e-16,0.514808,1.15934,0.752433,0.629195
246,376.532,1,19.3823,25.9213,27.5226,1.22233,2.22045e-16,0.518264,1.14665,0.738075,0.621376
247,370.861,1,19.4546,25.9347,28.512,1.17986,2.22045e-16,0.512856,1.14797,0.738352,0.648703
248,368.784,1,19.255,25.818,28.2658,1.15587,2.22045e-16,0.514616,1.16987,0.735256,0.688888
249,372.063,1,19.1993,25.4381,28.921,1.1704,2.22045e-16,0.513936,1.19872,0.754836,0.694361
250,367.469,1,19.296,25.4633,29.8088,1.14665,7.1296e-09,0.514643,1.15055,0.74926,0.690139
251,366.838,1,19.3238,25.7235,28.8425,1.14355,2.22045e-16,0.515254,1.14977,0.738263,0.69869
