iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
133,-92.3175,1,18.835,24.7423,9.90412,0.118816,-0.325044,0.144387,1.77084,0.0434975,0.849455
134,-97.2535,1,18.374,24.5711,10.6098,0.114651,-0.312315,0.145153,1.70312,0.0437718,0.962231
135,-97.0611,1,19.4485,24.4348,9.29887,0.119157,-0.364319,0.14224,1.63798,0.03834,0.931038
136,-99.0794,1,19.8551,24.632,8.72793,0.11899,-0.381343,0.144033,1.76033,0.0349061,0.866948
137,-97.523,1,19.587,24.6965,8.77362,0.119403,-0.372624,0.140604,1.77607,0.0367693,0.864384
138,-100.761,1,18.2586,24.6706,10.0106,0.120708,-0.308414,0.140385,1.85871,0.0332745,0.768531
139,-96.0528,1,18.0044,24.7422,9.99655,0.127061,-0.284392,0.137812,1.84707,0.0323129,0.676562
140,-97.9637,1,18.2278,24.7014,10.302,0.126476,-0.287849,0.142551,1.84685,0.0322041,0.647103
141,-101.729,1,18.0975,24.5885,9.20218,0.123764,-0.290873,0.141323,1.72558,0.0337671,0.658073
142,-100.514,1,18.4915,24.5547,10.2035,0.12538,-0.304008,0.138915,1.51304,0.0356694,0.705431
143,-100.449,1,20.0129,24.7147,9.70892,0.120296,-0.379335,0.143145,1.64881,0.0397548,0.722471
144,-95.6075,1,21.8451,24.8535,9.57225,0.121351,-0.455284,0.14836,1.70564,0.0440748,0.739222
145,-97.3002,1,21.4752,24.8912,9.28947,0.120005,-0.449808,0.162418,1.70685,0.0422421,0.658676
146,-94.4381,1,21.2683,24.8661,10.1361,0.120366,-0.437915,0.164443,1.69752,0.0473875,0.618809
147,-86.342,1,20.7017,24.8501,10.1491,0.11859,-0.406384,0.155023,1.85348,0.0589385,0.690449
148,-88.9078,1,22.442,24.9993,9.81244,0.119976,-0.471731,0.152407,1.97312,0.0533636,0.624214
149,-83.6991,1,22.2027,25.0681,9.79387,0.12186,-0.468019,0.159137,1.90679,0.0547716,0.64189
150,-89.399,1,20.4105,25.0494,10.402,0.117239,-0.375228,0.158533,1.96457,0.0521091,0.714925
151,-91.4318,1,20.2705,25.0857,11.0042,0.117119,-0.375725,0.14928,1.97997,0.0469224,0.762142
152,-90.2935,1,20.6991,25.0111,9.80116,0.117063,-0.394271,0.147736,1.82337,0.0472835,0.853624
153,-97.7318,1,19.344,24.794,9.87085,0.120365,-0.334478,0.156803,1.5296,0.0404343,0.795902
154,-92.3422,1,18.8888,24.7675,8.78464,0.125892,-0.314888,0.152311,1.47186,0.0439513,0.688087
155,-81.0324,1,18.0095,24.6317,7.91116,0.129913,-0.285054,0.165642,1.5843,0.0431227,0.743682
156,-86.0003,1,19.1848,24.8817,9.13396,0.125437,-0.333887,0.159511,1.72424,0.038011,0.8199
