iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
127,413.32,1,19.1535,21.4238,13.1848,1.62875,-0.30739,0.254613,0.912021,0.216642,0.72572
128,411.889,1,19.6864,21.5453,12.9314,1.6268,-0.329993,0.259785,0.827124,0.218816,0.749833
129,404.001,1,19.5756,21.7804,12.6933,1.55875,-0.328095,0.255157,0.846763,0.227998,0.705727
130,410.539,1,19.6357,21.6628,13.4737,1.64148,-0.333384,0.251028,0.855981,0.227963,0.649598
131,417.447,1,19.5854,21.8943,13.7898,1.69635,-0.330905,0.254778,0.836088,0.227033,0.683559
132,415.413,1,19.4571,21.7058,13.3877,1.72101,-0.324014,0.251555,0.760705,0.222012,0.661264
133,414.773,1,19.0544,21.6094,13.9176,1.71262,-0.302237,0.254148,0.756289,0.231211,0.62828
134,420.061,1,19.0177,21.6264,13.86,1.72657,-0.314838,0.24586,0.761204,0.250181,0.683762
135,416.802,1,19.2014,21.4997,13.1056,1.67668,-0.3159,0.251643,0.757457,0.278489,0.64942
136,413.955,1,19.4816,21.6718,12.7696,1.67848,-0.327331,0.241652,0.720759,0.272225,0.652091
137,426.579,1,19.8592,21.9059,13.2279,1.75985,-0.343469,0.243311,0.741535,0.269574,0.732399
138,423.344,1,20.009,21.8843,12.8218,1.74758,-0.349375,0.243261,0.696118,0.265477,0.748739
139,430.226,1,20.5615,21.8017,12.6122,1.78939,-0.372505,0.257894,0.74647,0.259473,0.73039
140,428.011,1,20.2521,22.0992,13.1072,1.76593,-0.355632,0.257069,0.711205,0.275362,0.731596
141,423.445,1,19.7666,22.0257,13.0391,1.74299,-0.336333,0.25264,0.702185,0.274328,0.698613
142,422.429,1,19.072,22.334,12.1215,1.72481,-0.303319,0.249192,0.660565,0.280181,0.759325
143,421.426,1,19.1679,22.0682,12.352,1.73124,-0.310701,0.253529,0.623878,0.281285,0.745346
144,431.045,1,20.8491,22.0485,12.4646,1.83233,-0.398423,0.233895,0.666614,0.273836,0.761178
145,427.724,1,19.9167,22.4017,11.7902,1.81911,-0.343979,0.253359,0.620896,0.274116,0.705205
146,428.684,1,19.7374,23.0481,11.9464,1.79201,-0.346206,0.256725,0.609261,0.255847,0.860172
147,424.092,1,20.3092,22.85,11.313,1.76509,-0.367951,0.250751,0.617897,0.263772,0.789569
148,420.91,1,19.568,22.8564,10.8615,1.72262,-0.326474,0.259296,0.633095,0.266249,0.770566
149,418.467,1,19.6934,22.953,11.6052,1.72091,-0.329901,0.251996,0.585594,0.267406,0.789419
150,424.343,1,19.7163,22.5237,12.1946,1.77211,-0.333836,0.250634,0.589425,0.271858,0.793021
151,421.799,1,20.6072,22.8599,11.9441,1.75546,-0.374416,0.250009,0.557979,0.276791,0.798263
152,416.168,1,19.6639,22.9916,11.7171,1.69331,-0.330529,0.25359,0.579734,0.278112,0.777523
153,423.181,1,19.691,22.8701,12.0148,1.72121,-0.336931,0.25678,0.673076,0.269838,0.779739
154,418.824,1,19.4546,22.9048,12.0816,1.70107,-0.32704,0.25044,0.623725,0.278876,0.775834
155,419.235,1,21.0649,22.4526,12.0276,1.67379,-0.393825,0.263756,0.68747,0.273414,0.762863
156,418.857,1,20.2761,22.5655,11.5445,1.68556,-0.354136,0.260742,0.692765,0.272996,0.722886
157,414.239,1,19.8248,22.6428,11.5984,1.69635,-0.337659,0.252234,0.634343,0.263587,0.698681
158,416.432,1,20.1721,23.066,12.4022,1.69158,-0.353273,0.255474,0.670157,0.253757,0.743145
159,419.599,1,19.6758,23.0269,12.3866,1.72219,-0.33104,0.255281,0.653724,0.247321,0.779251
160,407.764,1,19.17,23.145,11.2799,1.68484,-0.314472,0.252981,0.602294,0.228648,0.709099
161,399.46,1,18.8298,22.6848,12.0938,1.60569,-0.298855,0.235988,0.638453,0.222418,0.746449
162,403.442,1,19.1968,22.5173,11.9478,1.65606,-0.307358,0.251797,0.599099,0.205104,0.7643
163,404.491,1,19.5213,22.692,11.6521,1.64106,-0.322587,0.249402,0.606678,0.219194,0.784287
164,410.281,1,19.8099,22.5156,10.6557,1.68029,-0.334188,0.24966,0.645329,0.217957,0.77724
