pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
,,35.8836,0.548889,,,All
,,35.8974,0.55,,,All
,,35.9599,0.551111,,,All
,,36.014,0.552222,,,All
,,36.0908,0.553333,,,All
,,36.4078,0.554444,,,All
,,36.7498,0.555556,,,All
,,37.0133,0.556667,,,All
,,37.0456,0.557778,,,All
,,37.2919,0.558889,,,All
,,37.5429,0.56,,,All
,,37.7091,0.561111,,,All
,,37.8111,0.562222,,,All
,,37.9825,0.563333,,,All
,,38.2087,0.564444,,,All
,,38.2852,0.565556,,,All
,,38.3138,0.566667,,,All
,,38.5639,0.567778,,,All
,,38.5991,0.568889,,,All
,,38.8844,0.57,,,All
,,38.9401,0.571111,,,All
,,39.0078,0.572222,,,All
,,39.0499,0.573333,,,All
,,39.0663,0.574444,,,All
,,39.1156,0.575556,,,All
,,39.1365,0.576667,,,All
,,39.4803,0.577778,,,All
,,39.5681,0.578889,,,All
,,39.578,0.58,,,All
,,39.6185,0.581111,,,All
,,39.6198,0.582222,,,All
,,39.6504,0.583333,,,All
,,39.6914,0.584444,,,All
,,39.7018,0.585556,,,All
,,39.7136,0.586667,,,All
,,39.7396,0.587778,,,All
,,39.911,0.588889,,,All
,,40.0235,0.59,,,All
,,40.2669,0.591111,,,All
,,40.347,0.592222,,,All
,,40.6237,0.593333,,,All
,,40.6864,0.594444,,,All
,,41.0259,0.595556,,,All
,,41.0358,0.596667,,,All
,,41.1168,0.597778,,,All
,,41.1233,0.598889,,,All
,,41.4407,0.6,,,All
,,41.9182,0.601111,,,All
,,42.373,0.602222,,,All
,,42.6232,0.603333,,,All
,,42.8749,0.604444,,,All
,,42.888,0.605556,,,All
,,42.9163,0.606667,,,All
,,42.9796,0.607778,,,All
,,43.2159,0.608889,,,All
,,43.4184,0.61,,,All
,,43.4746,0.611111,,,All
,,43.5187,0.612222,,,All
,,43.5583,0.613333,,,All
,,43.9027,0.614444,,,All
,,43.9035,0.615556,,,All
,,44.0089,0.616667,,,All
,,44.0132,0.617778,,,All
,,44.0446,0.618889,,,All
,,44.1421,0.62,,,All
,,44.2084,0.621111,,,All
,,44.3054,0.622222,,,All
,,44.535,0.623333,,,All
,,44.5419,0.624444,,,All
,,44.7427,0.625556,,,All
,,44.7722,0.626667,,,All
,,45.1402,0.627778,,,All
,,45.4846,0.628889,,,All
,,45.5156,0.63,,,All
,,45.5772,0.631111,,,All
,,45.644,0.632222,,,All
,,45.6444,0.633333,,,All
,,45.6723,0.634444,,,All
,,45.6784,0.635556,,,All
,,45.6979,0.636667,,,All
,,45.7041,0.637778,,,All
,,45.7169,0.638889,,,All
,,45.8047,0.64,,,All
,,45.8169,0.641111,,,All
,,45.8451,0.642222,,,All
,,45.9649,0.643333,,,All
,,46.0998,0.644444,,,All
,,46.8713,0.645556,,,All
,,47.1392,0.646667,,,All
,,47.2098,0.647778,,,All
,,47.4336,0.648889,,,All
,,47.5729,0.65,,,All
,,47.8623,0.651111,,,All
,,48.1355,0.652222,,,All
,,48.2812,0.653333,,,All
