Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,split
9.24234,0.0540605,0.0765087,16.8444,0.0405269,0.124082,60.5911,0.00419383,0.848386,14.0008,0.0355479,0.529879,All
9.63629,0.0640387,0.0997629,17.466,0.0446089,0.150564,64.748,0.00363553,0.864626,14.8808,0.0331584,0.560102,All
10.0302,0.074099,0.126976,18.0877,0.0482651,0.179456,68.905,0.00316485,0.878733,15.7608,0.0308886,0.588274,All
10.4242,0.0838534,0.158106,18.7093,0.0514141,0.210467,73.0619,0.00276609,0.891037,16.6409,0.0287483,0.614506,All
10.8182,0.092905,0.192953,19.331,0.0539996,0.243262,77.2189,0.00242669,0.901812,17.5209,0.0267411,0.638912,All
11.2121,0.100884,0.231166,19.9527,0.0559901,0.277481,81.3759,0.00213652,0.911281,18.4009,0.0248664,0.66161,All
11.6061,0.107478,0.272258,20.5743,0.0573768,0.312749,85.5328,0.00188739,0.919632,19.2809,0.0231207,0.682716,All
12,0.11246,0.315637,21.196,0.0581705,0.348695,89.6898,0.00167262,0.92702,20.161,0.0214989,0.70234,All
12.394,0.115695,0.360637,21.8176,0.0583989,0.384956,93.8468,0.00148676,0.933578,21.041,0.0199945,0.720589,All
12.7879,0.117147,0.406559,22.4393,0.0581025,0.421193,98.0037,0.00132534,0.939415,21.921,0.0186008,0.737564,All
13.1819,0.11687,0.452711,23.0609,0.0573312,0.457096,102.161,0.00118465,0.944625,22.801,0.0173106,0.753358,All
13.5758,0.11499,0.498432,23.6826,0.0561411,0.492386,106.318,0.00106162,0.949288,23.6811,0.016117,0.76806,All
13.9698,0.111693,0.543126,24.3042,0.0545914,0.526822,110.475,0.000953703,0.953472,24.5611,0.0150128,0.781751,All
14.3638,0.107201,0.586279,24.9259,0.052742,0.560198,114.632,0.000858756,0.957235,25.4411,0.0139917,0.794507,All
14.7577,0.101754,0.627466,25.5475,0.0506515,0.592346,118.789,0.000774983,0.960627,26.3211,0.0130472,0.806399,All
15.1517,0.0955959,0.666359,26.1692,0.0483756,0.623135,122.945,0.000700867,0.963692,27.2012,0.0121735,0.817492,All
15.5456,0.0889592,0.702724,26.7908,0.0459662,0.652464,127.102,0.000635124,0.966466,28.0812,0.0113651,0.827845,All
15.9396,0.0820567,0.736416,27.4125,0.04347,0.680266,131.259,0.000576664,0.968982,28.9612,0.0106168,0.837513,All
16.3335,0.0750749,0.767367,28.0341,0.040929,0.706501,135.416,0.000524557,0.971269,29.8412,0.00992387,0.846547,All
16.7275,0.0681707,0.795579,28.6558,0.0383794,0.731152,139.573,0.000478007,0.973351,30.7213,0.00928191,0.854994,All
17.1214,0.0614708,0.821107,29.2774,0.0358524,0.754223,143.73,0.00043633,0.97525,31.6013,0.00868688,0.862897,All
17.5154,0.0550725,0.844052,29.8991,0.0333739,0.775737,147.887,0.000398939,0.976984,32.4813,0.00813506,0.870296,All
17.9094,0.0490463,0.864548,30.5207,0.030965,0.795731,152.044,0.000365326,0.978572,33.3613,0.00762303,0.877227,All
18.3033,0.0434387,0.882751,31.1424,0.0286423,0.814254,156.201,0.00033505,0.980026,34.2413,0.00714763,0.883724,All
18.6973,0.038276,0.898832,31.764,0.0264187,0.831363,160.358,0.000307731,0.981361,35.1214,0.00670599,0.889817,All
