time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
-14.2135,59.171,27.5693,38.2081,45.1251,51.0863,56.6984,62.0782,68.5957,76.3596,86.9524,107.678,All
-14.0211,55.6598,24.9449,34.8222,41.5816,47.4726,53.2555,58.539,64.9983,72.7304,82.9708,103.325,All
-13.8286,52.6987,22.2443,31.9097,38.5947,44.4408,50.0693,55.3969,61.8621,69.3268,79.6103,99.5119,All
-13.6362,50.0445,20.0709,29.5043,35.9886,41.7384,47.2938,52.7281,58.9405,66.4461,76.5055,96.3661,All
-13.4438,47.354,18.0498,27.1661,33.5422,39.2503,44.7562,50.17,56.4338,63.7311,73.6978,93.4183,All
-13.2513,45.0105,16.3902,25.1396,31.3991,37.0307,42.4508,47.8005,54.0235,61.379,71.3406,90.7496,All
-13.0589,42.8135,14.8995,23.3164,29.4045,34.9209,40.2217,45.7772,51.7265,59.0716,69.067,88.4142,All
-12.8664,40.9537,13.5313,21.7954,27.7028,33.0024,38.1813,43.7849,49.7454,56.9213,66.7853,85.9808,All
-12.674,39.1676,12.4972,20.3591,26.1709,31.2506,36.441,41.8863,47.795,55.022,64.6474,83.9077,All
-12.4816,37.5431,11.4504,18.9935,24.6559,29.6229,34.7381,40.0117,46.1094,53.0639,62.7198,81.8814,All
-12.2891,35.8532,10.5442,17.7834,23.3198,28.1135,33.2228,38.4555,44.4625,51.2926,60.9929,79.9298,All
-12.0967,34.3199,9.76841,16.6019,22.0897,26.6962,31.7407,36.9129,42.7919,49.669,59.328,77.9242,All
-11.9043,32.8337,9.03449,15.5617,20.8849,25.4213,30.3595,35.4751,41.294,48.1484,57.7299,76.1793,All
-11.7118,31.4022,8.31525,14.6031,19.7657,24.1647,28.9797,34.0747,39.8592,46.6641,56.0886,74.5682,All
-11.5194,30.0999,7.67101,13.7504,18.7111,22.9969,27.6887,32.6967,38.4178,45.1588,54.6221,72.8978,All
-11.327,28.8707,7.0997,12.8782,17.7106,21.9358,26.5906,31.3426,37.1342,43.7262,53.1118,71.4213,All
-11.1345,27.7273,6.62622,12.0893,16.8064,20.982,25.4942,30.1467,35.8739,42.3834,51.6656,70.0328,All
-10.9421,26.6599,6.16084,11.411,15.9227,20.0391,24.3871,29.0476,34.6031,41.2575,50.3073,68.5884,All
-10.7496,25.5911,5.75769,10.7355,15.1059,19.0922,23.373,27.9727,33.3746,39.9841,49.0539,67.2882,All
-10.5572,24.616,5.37069,10.164,14.3467,18.2457,22.4161,26.9638,32.2397,38.8447,47.838,65.7448,All
-10.3648,23.7182,4.9691,9.63192,13.6471,17.4021,21.4268,25.949,31.1877,37.7808,46.6226,64.3192,All
