iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
143,446.622,1,24.0029,22.8056,9.48403,1.27631,0.0364531,-0.536423,0.231514,1.39385,0.244026,1.11494
144,442.409,1,24.3907,22.4746,9.59769,1.22445,0.0373758,-0.546152,0.228865,1.38525,0.235602,1.14709
145,438.2,1,24.1097,22.8722,9.02702,1.24626,0.0347922,-0.538632,0.227665,1.24439,0.25976,1.08524
146,445.818,1,23.7786,23.4622,9.62487,1.27469,0.0380576,-0.530865,0.222344,1.251,0.24415,1.14446
147,452.856,1,24.3612,23.3365,10.2184,1.2748,0.0442037,-0.551873,0.223893,1.24338,0.242447,1.08919
148,440.315,1,24.3482,22.9229,9.33042,1.26762,0.0398314,-0.542741,0.230061,1.22887,0.202766,1.05542
149,442.185,1,24.0488,23.1279,9.07259,1.29199,0.0386907,-0.539368,0.224133,1.19602,0.211884,1.11744
150,438.084,1,24.2479,22.3808,9.65819,1.29195,0.0360222,-0.540901,0.232444,1.21153,0.193052,1.15224
151,430.108,1,24.144,22.8293,9.05269,1.25626,0.0320362,-0.537762,0.224811,1.27423,0.199278,1.22275
152,424.093,1,24.1182,22.6001,9.05312,1.25624,0.0314604,-0.538575,0.227391,1.16164,0.195306,1.14479
153,432.66,1,24.1005,22.9339,9.32259,1.30222,0.0335025,-0.53594,0.223078,1.26687,0.19334,1.10363
154,431.513,1,24.0911,23.1014,9.506,1.23856,0.0375528,-0.541855,0.223249,1.22338,0.186388,1.10171
155,435.2,1,24.5865,22.7883,9.22861,1.29968,0.0383396,-0.549684,0.226524,1.13194,0.17678,1.10618
156,437.47,1,25.16,23.2181,8.10052,1.32712,0.0378759,-0.56333,0.231427,1.11199,0.1756,1.15334
157,434.542,1,24.4947,23.6196,7.86284,1.26275,0.0376159,-0.54492,0.241088,1.06904,0.190218,1.17131
158,440.412,1,24.3841,23.6852,8.13514,1.26283,0.0411204,-0.54027,0.227904,1.05678,0.205046,1.17316
159,444.418,1,24.1954,23.6356,8.00964,1.30092,0.041738,-0.535327,0.230293,0.96977,0.216592,1.17495
160,442.701,1,23.7878,24.0926,7.24306,1.22066,0.0421385,-0.519991,0.22441,1.07696,0.205425,1.34218
161,447.133,1,23.637,23.3996,7.38229,1.25884,0.0417576,-0.527518,0.22979,1.04322,0.199803,1.42019
162,458.235,1,22.9827,23.6916,6.52979,1.28414,0.0450027,-0.500368,0.227617,1.09374,0.202968,1.53804
163,449.182,1,24.3782,23.9895,6.18069,1.26137,0.0376581,-0.543769,0.236087,1.2155,0.2081,1.57032
164,440.511,1,24.1006,23.9081,6.12179,1.22021,0.0362656,-0.536171,0.225829,1.1466,0.211022,1.57297
165,442.646,1,24.213,23.8532,6.31695,1.22018,0.0361352,-0.541619,0.229003,1.19686,0.217858,1.5898
166,443.598,1,24.3044,23.8206,6.62126,1.34277,0.0330169,-0.540073,0.234821,1.11043,0.213617,1.40794
167,438.696,1,23.7306,24.0882,7.53843,1.29638,0.0337584,-0.53029,0.226034,1.13041,0.213064,1.35852
168,433.685,1,23.8292,24.0723,7.60238,1.26356,0.0324569,-0.530863,0.232241,1.11736,0.212205,1.35051
169,433.83,1,23.9118,23.8652,8.00465,1.22889,0.036234,-0.533432,0.227786,1.04951,0.221046,1.26725
170,432.439,1,23.8568,23.8136,7.87239,1.26156,0.0341957,-0.536903,0.226714,0.97804,0.223209,1.31107
171,434.395,1,24.5409,23.4207,8.1035,1.3181,0.0301687,-0.558213,0.230182,1.06891,0.22765,1.30254
172,430.967,1,24.5125,23.4461,9.12273,1.3886,0.0278298,-0.548886,0.227075,1.0047,0.231212,1.12804
173,429.732,1,23.9828,23.1669,8.89942,1.33885,0.0278244,-0.529891,0.231084,1.12102,0.23323,1.10758
174,433.643,1,24.154,23.3381,8.60114,1.2958,0.031729,-0.536524,0.230703,1.09447,0.245081,1.13942
175,429.314,1,23.7397,23.6339,8.82283,1.33033,0.0284484,-0.52033,0.228316,0.995685,0.257502,1.13225
176,437.483,1,23.8828,23.3779,8.46252,1.37792,0.0257015,-0.535527,0.233143,1.13352,0.26943,1.19065
177,432.827,1,23.8253,23.3892,8.45466,1.32105,0.0286407,-0.532,0.227135,1.08918,0.276261,1.09191
178,427.791,1,23.6692,23.4387,8.32329,1.28957,0.0280216,-0.52083,0.225167,1.00695,0.283273,1.13939
179,428.132,1,23.6269,23.4636,8.93258,1.33288,0.0251653,-0.523456,0.224912,1.08438,0.276475,1.11581
180,437.328,1,23.3418,23.2346,8.8002,1.39582,0.0271748,-0.511334,0.23578,1.04001,0.274965,1.09757
181,421.385,1,23.5133,22.7581,9.13836,1.38338,0.020923,-0.520121,0.231178,0.931311,0.279346,1.05027
182,431.079,1,24.6003,23.0395,8.66872,1.34544,0.0271158,-0.558693,0.233666,0.990869,0.277014,1.10957
183,429.995,1,24.6691,22.5293,9.69342,1.2411,0.0328228,-0.559749,0.227157,1.02583,0.279298,1.08012
184,439.568,1,24.0366,22.1066,10.0707,1.31294,0.030991,-0.541482,0.230947,1.06645,0.296581,1.14702
185,436.358,1,23.8957,22.3151,10.1664,1.31294,0.0305885,-0.534041,0.227327,1.04534,0.283604,1.14761
186,439.589,1,23.7676,22.4506,10.2453,1.313,0.0342456,-0.526933,0.229183,1.05936,0.279064,1.07561
187,438.135,1,23.5959,22.4223,10.4425,1.39115,0.030628,-0.524447,0.224018,1.12404,0.26084,0.974762
188,426.845,1,23.7583,22.6953,9.5655,1.33783,0.0269599,-0.525,0.230792,1.13344,0.264567,0.926882
189,419.461,1,23.4878,22.4198,10.5499,1.33776,0.0246272,-0.521368,0.222169,1.16648,0.238814,0.920228
190,424.798,1,24.2821,22.6109,10.3572,1.29421,0.0278273,-0.539187,0.233239,1.22033,0.235809,0.988897
191,428.276,1,23.4522,22.8373,10.6992,1.31931,0.0282617,-0.521501,0.225884,1.24259,0.233114,1.00994
192,421.883,1,23.6386,22.892,10.1397,1.27181,0.0270233,-0.523145,0.227175,1.27845,0.237556,0.984481
193,425.756,1,23.4811,22.902,10.4356,1.34823,0.025111,-0.51694,0.228453,1.26665,0.233766,0.977003
194,433.765,1,24.4528,22.7817,10.2495,1.45552,0.0212993,-0.548425,0.227642,1.32141,0.228751,1.06672
195,433.353,1,24.0949,22.6213,10.611,1.45554,0.0210802,-0.540921,0.239243,1.27913,0.222864,1.03415
196,433.755,1,23.5789,22.5218,10.2302,1.4274,0.0268033,-0.526343,0.231423,1.14577,0.219733,1.03147
197,427.409,1,23.8604,22.652,10.2224,1.34043,0.0278081,-0.525252,0.224179,1.26792,0.217339,1.00752
198,431.021,1,24.5652,22.5289,10.4591,1.31044,0.030254,-0.545588,0.234543,1.41896,0.205221,0.981467
199,429.614,1,24.8356,22.3056,9.54821,1.334,0.0301019,-0.559742,0.234812,1.26829,0.199807,1.00327
200,425.075,1,23.7885,22.1488,10.9713,1.33398,0.0284247,-0.528891,0.238451,1.18967,0.212015,0.931947
201,418.735,1,24.1143,21.9286,10.4592,1.36413,0.0238971,-0.535262,0.231742,1.20868,0.214877,0.877707
202,422.846,1,24.4623,22.1564,10.7136,1.39354,0.0237533,-0.551355,0.224523,1.22015,0.227273,0.886218
203,420.326,1,24.3615,22.1044,11.3086,1.34851,0.0230947,-0.543652,0.231431,1.3142,0.227187,0.888502
204,424.02,1,24.1739,22.1264,10.4245,1.28915,0.0286649,-0.53753,0.229927,1.29144,0.22222,0.941922
205,427.579,1,24.1719,22.4109,10.1914,1.35159,0.0270796,-0.537892,0.231857,1.26068,0.229199,0.93113
206,425.708,1,23.995,22.0842,10.4698,1.37053,0.0241954,-0.534358,0.226679,1.23042,0.231609,0.99485
207,425.339,1,23.8927,22.0834,10.1357,1.39796,0.0217333,-0.541315,0.229548,1.2777,0.230897,0.965102
208,425.535,1,24.2817,22.1095,11.188,1.38105,0.0222402,-0.547684,0.230033,1.30669,0.225853,1.00263
209,427.226,1,24.2203,21.7224,10.5256,1.33844,0.0277547,-0.545726,0.220095,1.30724,0.212997,1.01437
210,428.455,1,24.0761,21.8395,10.2293,1.30616,0.0299641,-0.544974,0.222166,1.2282,0.214919,1.07812
211,435.558,1,24.002,21.9637,10.5548,1.38877,0.0267969,-0.538531,0.225465,1.30442,0.236226,1.04995
212,432.525,1,24.1207,22.62,9.55492,1.31844,0.0275512,-0.544638,0.232514,1.23225,0.244608,1.13553
213,426.569,1,24.4635,22.8356,9.29096,1.31839,0.0250213,-0.544219,0.233011,1.1325,0.245332,1.13341
214,425.911,1,24.2681,22.5459,9.24045,1.22001,0.0301616,-0.544908,0.23172,1.14718,0.247414,1.15759
215,437.438,1,23.9366,22.8991,10.1126,1.2978,0.0339687,-0.53892,0.230361,1.13831,0.234099,1.13359
216,433.291,1,24.1347,22.9099,10.171,1.27263,0.0321706,-0.544488,0.22816,1.2207,0.230849,1.12821
217,428.628,1,24.0389,22.9921,10.5602,1.21693,0.0337119,-0.538265,0.227565,1.21774,0.219417,1.12137
218,424.79,1,23.8824,22.8477,10.7558,1.2694,0.0298672,-0.532252,0.226224,1.24613,0.199813,1.12742
219,429.01,1,23.8228,22.6532,9.99861,1.20707,0.0354651,-0.528826,0.228465,1.26218,0.196816,1.12409
220,432.527,1,23.8528,22.8397,9.81496,1.21698,0.0387476,-0.53131,0.22536,1.24105,0.187046,1.10608
221,429.765,1,24.0797,22.7473,9.63388,1.25047,0.0368294,-0.538041,0.225235,1.21856,0.177956,1.08531
222,428.883,1,23.7649,22.8372,10.3538,1.24008,0.0358349,-0.529888,0.221056,1.18693,0.193295,1.11541
223,433.954,1,24.4247,22.7143,10.3072,1.24012,0.037882,-0.548635,0.230896,1.25237,0.192487,1.06
224,428.274,1,24.2343,22.9013,11.0332,1.24005,0.0354171,-0.541974,0.228419,1.30336,0.194771,1.01751
225,434.525,1,24.3637,22.6447,10.8017,1.20852,0.0408684,-0.547417,0.232301,1.22999,0.194199,1.00295
226,442.061,1,23.9949,23.083,9.56829,1.23331,0.0398539,-0.534029,0.229191,1.32279,0.213111,1.08776
227,429.808,1,23.8388,23.144,9.76192,1.15318,0.0392326,-0.532606,0.225735,1.23909,0.217753,1.01496
228,431.317,1,23.4604,22.7412,9.76783,1.18164,0.0400027,-0.517762,0.219475,1.11764,0.223354,1.03501
