iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
165,365.582,1,21.1456,34.1078,39.118,39.0332,1.23913,2.22045e-16,0.39546,1.45201,0.430363,0.880197
166,367.538,1,21.0782,32.5927,39.7358,42.946,1.2495,2.22045e-16,0.398443,1.41525,0.424043,0.883272
167,359.811,1,21.1021,31.0944,39.326,38.9989,1.2011,2.22045e-16,0.393268,1.37941,0.424719,0.864064
168,363.281,1,21.1305,30.8087,39.2736,38.2878,1.22621,2.22045e-16,0.395671,1.34689,0.431204,0.852994
169,359.405,1,21.0605,32.3026,39.3243,38.0584,1.20394,2.22045e-16,0.394578,1.34249,0.433473,0.831396
170,362.997,1,21.0523,34.0401,38.7342,38.5836,1.21812,2.22045e-16,0.39106,1.35056,0.437862,0.897606
171,362.042,1,21.0817,36.794,38.5605,39.2379,1.20841,2.22045e-16,0.389623,1.40239,0.442052,0.877537
172,363.55,1,20.9921,33.9177,38.2906,37.8027,1.21114,2.22045e-16,0.39425,1.39232,0.440576,0.932066
173,364.522,1,20.8544,33.9814,38.2648,38.4266,1.20198,2.22045e-16,0.395764,1.48137,0.457325,0.957084
174,365.207,1,20.8296,36.6863,38.8365,37.9456,1.21892,2.22045e-16,0.390615,1.44386,0.445746,0.952637
175,359.637,1,20.9815,36.6048,38.7254,37.4795,1.18893,2.22045e-16,0.391904,1.4073,0.456543,0.928515
176,364.324,1,20.8589,35.9402,39.1331,38.1545,1.21494,2.22045e-16,0.392783,1.37167,0.457704,0.963986
177,367.49,1,20.9495,35.032,39.1838,41.547,1.2491,2.22045e-16,0.393366,1.33693,0.446115,0.939578
178,366.267,1,20.8705,36.3546,39.2225,41.8815,1.24812,2.22045e-16,0.39047,1.30308,0.435197,0.915787
179,365.796,1,20.9736,35.9286,38.7804,40.0923,1.23774,2.22045e-16,0.392016,1.28658,0.435606,0.935078
180,361.955,1,20.9286,37.0829,38.9112,39.5588,1.21057,2.22045e-16,0.384735,1.28116,0.441415,0.94475
181,360.97,1,20.9732,36.2832,38.0811,38.9919,1.20477,2.22045e-16,0.392803,1.28196,0.4381,0.930653
182,358.909,1,21.0196,35.3039,38.339,36.8021,1.19099,2.22045e-16,0.385256,1.25097,0.441867,0.962458
183,362.507,1,20.9664,35.651,38.1886,36.9069,1.21162,2.22045e-16,0.387131,1.31069,0.442108,0.939493
184,362.444,1,20.9878,36.3575,37.9016,36.6308,1.21065,2.22045e-16,0.389404,1.33318,0.448997,0.915704
185,365.188,1,20.8841,37.9179,37.3164,38.0585,1.2339,2.22045e-16,0.394295,1.29942,0.455603,0.892518
186,369.65,1,20.8085,35.2304,37.5698,37.5828,1.2526,2.22045e-16,0.392492,1.31841,0.470114,0.925911
187,359.366,1,20.7659,37.7064,37.1095,41.2955,1.18997,2.10942e-16,0.391469,1.29036,0.460996,0.932866
188,364.159,1,20.8813,39.8471,37.6283,40.198,1.2215,2.22045e-16,0.387268,1.30132,0.452408,0.934475
189,369.091,1,20.8437,39.2535,37.4825,39.6866,1.25222,2.22045e-16,0.386185,1.30291,0.467929,0.928788
190,368.518,1,20.9109,38.7499,37.038,38.5167,1.23516,2.22045e-16,0.391525,1.27083,0.480081,1.01705
191,365.996,1,20.8811,40.6405,37.1173,37.2935,1.21511,2.22045e-16,0.382616,1.29517,0.485181,1.03437
192,363.759,1,21.0148,42.4411,37.6857,39.1977,1.20061,2.22045e-16,0.382919,1.33329,0.474147,1.02324
