Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression
2.01867,-0.232543,-0.0112347,0.724195,-0.31369,-0.0706813,1.13894,0.0908145,0.103013,0.382954,0.161893,-0.147254,0.724195,0.0813271,-0.268505,1.13894,0.168941,0.215866,0.382954,0.00517548,-0.0339906,2.01867,-0.117078,-0.0342506,1.13894,0.146356,0.0583086,0.382954,0.251672,0.195261,2.01867,-0.124245,0.362662,0.724195,0.335438,0.0769174
2.07026,-0.224489,-0.0116336,0.739795,-0.317498,-0.0723654,1.17536,0.0950203,0.10599,0.392608,0.206299,-0.148108,0.739795,0.0371401,-0.271935,1.17536,0.197518,0.225906,0.392608,-0.00819099,-0.0353919,2.07026,-0.104456,-0.0355831,1.17536,0.154572,0.0594497,0.392608,0.279925,0.201711,2.07026,-0.12796,0.372815,0.739795,0.307381,0.0798887
2.12185,-0.216434,-0.0120324,0.755395,-0.318534,-0.0740495,1.21178,0.0986125,0.108967,0.402263,0.241185,-0.148963,0.755395,-0.0199435,-0.275366,1.21178,0.229007,0.235945,0.402263,-0.0235473,-0.0367932,2.12185,-0.0918348,-0.0369156,1.21178,0.154902,0.0605908,0.402263,0.301952,0.20816,2.12185,-0.131676,0.382968,0.755395,0.271276,0.0828599
2.17343,-0.20838,-0.0124312,0.770994,-0.317458,-0.0757336,1.2482,0.102073,0.111943,0.411917,0.27607,-0.149817,0.770994,-0.0868693,-0.278796,1.2482,0.260641,0.245984,0.411917,-0.0389036,-0.0381945,2.17343,-0.0792133,-0.038248,1.2482,0.154476,0.061732,0.411917,0.32398,0.214609,2.17343,-0.135392,0.393121,0.770994,0.229097,0.0858312
2.22502,-0.200325,-0.01283,0.786594,-0.312535,-0.0774177,1.28461,0.102469,0.11492,0.421571,0.292676,-0.150671,0.786594,-0.171749,-0.282227,1.28461,0.294717,0.256023,0.421571,-0.0555692,-0.0395958,2.22502,-0.0665918,-0.0395805,1.28461,0.138297,0.0628731,0.421571,0.332798,0.221058,2.22502,-0.139108,0.403274,0.786594,0.175954,0.0888025
2.27661,-0.192271,-0.0132289,0.802194,-0.304574,-0.0791018,1.32103,0.100342,0.117897,0.431225,0.301904,-0.151526,0.802194,-0.270809,-0.285657,1.32103,0.329928,0.266062,0.431225,-0.0727631,-0.040997,2.27661,-0.0539703,-0.040913,1.32103,0.110852,0.0640143,0.431225,0.336285,0.227507,2.27661,-0.142823,0.413427,0.802194,0.114199,0.0917738
2.32819,-0.184216,-0.0136277,0.817794,-0.296613,-0.0807859,1.35745,0.0982145,0.120874,0.440879,0.275684,-0.15238,0.817794,-0.369868,-0.289088,1.35745,0.36514,0.276101,0.440879,-0.0895585,-0.0423983,2.32819,-0.0413488,-0.0422455,1.35745,0.083408,0.0651554,0.440879,0.312685,0.233956,2.32819,-0.146539,0.42358,0.817794,0.0524433,0.0947451
2.37978,-0.176162,-0.0140265,0.833393,-0.282783,-0.08247,1.39387,0.093305,0.12385,0.450533,0.234924,-0.153234,0.833393,-0.496365,-0.292518,1.39387,0.401014,0.28614,0.450533,-0.106191,-0.0437996,2.37978,-0.0287273,-0.0435779,1.39387,0.0446974,0.0662965,0.450533,0.277974,0.240406,2.37978,-0.150255,0.433733,0.833393,-0.0257888,0.0977163
2.43136,-0.168107,-0.0144253,0.848993,-0.265444,-0.0841541,1.43028,0.0843875,0.126827,0.460187,0.194164,-0.154089,0.848993,-0.63928,-0.295949,1.43028,0.437711,0.296179,0.460187,-0.122822,-0.0452009,2.43136,-0.0161058,-0.0449104,1.43028,-0.00998628,0.0674377,0.460187,0.243264,0.246855,2.43136,-0.15397,0.443886,0.848993,-0.113835,0.100688
2.48295,-0.160053,-0.0148242,0.864593,-0.248105,-0.0858383,1.4667,0.0713347,0.129804,0.469841,0.153405,-0.154943,0.864593,-0.782195,-0.299379,1.4667,0.47476,0.306218,0.469841,-0.139454,-0.0466021,2.48295,-0.00348433,-0.0462429,1.4667,-0.0801776,0.0685788,0.469841,0.208554,0.253304,2.48295,-0.157686,0.454039,0.864593,-0.20188,0.103659
