iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,c,omega_Cl,omega_Q,omega_V1,omega_V2
137,40.6748,1,13.5101,40.7483,20.9034,17.7762,1.67382,0.00217901,1.62482,0.259181,1.42759,1.05304e-07,0.692775
138,39.974,1,13.3776,38.1339,20.9034,17.5166,1.67382,0.00203626,1.62482,0.259497,1.58274,1.10706e-07,0.673695
139,43.5757,1,13.3568,40.8926,20.9034,16.2272,1.67382,0.00187558,1.62482,0.258914,1.65179,1.22884e-07,0.688111
140,46.0152,1,13.4465,40.4151,20.9034,16.4417,1.67382,0.00233077,1.62482,0.258862,1.40397,1.12352e-07,0.639649
141,50.2066,1,13.6121,37.8582,20.9034,16.2996,1.67382,0.00245908,1.62483,0.255436,1.4044,1.13905e-07,0.628784
142,45.5217,1,13.6124,39.4034,20.9034,16.2946,1.67382,0.00235998,1.62483,0.258215,1.48545,1.09102e-07,0.659587
143,37.7687,1,13.5365,36.7964,20.9034,16.912,1.67382,0.00247703,1.62483,0.255745,1.44353,9.86656e-08,0.622015
144,32.2452,1,13.4512,39.2814,20.9034,17.6452,1.67382,0.00242338,1.62483,0.257661,1.61386,8.58078e-08,0.603629
145,38.6944,1,13.426,41.9151,20.9034,15.4902,1.67382,0.00229185,1.62483,0.260974,1.63453,7.89262e-08,0.694369
146,39.7983,1,13.3483,47.4127,20.9034,16.6479,1.67381,0.00228978,1.62483,0.257639,1.77761,7.46633e-08,0.696067
147,34.5717,1,13.5385,47.7731,20.9034,16.4183,1.67381,0.0022229,1.62483,0.250236,1.75821,6.98876e-08,0.695531
148,32.7152,1,13.4146,44.1505,20.9034,16.0241,1.67381,0.00208358,1.62483,0.260519,1.75755,6.77525e-08,0.665551
149,31.9734,1,13.5155,43.1667,20.9034,17.3896,1.67381,0.00200863,1.62483,0.262117,1.8627,7.73494e-08,0.61019
150,30.2551,1,13.4714,38.9042,20.9034,16.6545,1.67381,0.00186804,1.62483,0.257916,1.76227,7.88213e-08,0.669887
151,28.0104,1,13.4392,44.4374,20.9034,16.672,1.67381,0.00187786,1.62483,0.25628,1.90095,7.24734e-08,0.672664
