iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Q_LMP_1,beta_Q_logtAGEA,beta_Q_logtALBGDL,beta_Q_logtPROGDL,beta_V1_ANTU_1,beta_V1_logtCLCRMLMIN,beta_V1_logtPROGDL,beta_V2_SEXF_1,beta_V2_logtHCM,beta_V2_logtRAL,omega_Cl,omega_Q,omega_V1,omega_V2
432,-318.446,1,13.4816,25.2278,2.47978,1.27137,0.0455689,1.02003,1.40358,19.1198,-18.9651,-0.305454,-1.4445,-0.420188,4.88198,40.0893,0.226064,0.248225,1.63658e-05,0.0950688,1.33236e-06
433,-322.751,1,13.399,25.3555,2.47978,1.27136,0.0450086,1.02003,1.40357,19.1198,-18.9651,-0.313384,-1.41973,-0.397587,4.88198,40.0894,0.226064,0.253656,1.62598e-05,0.0948718,1.15663e-06
434,-317.319,1,13.4814,25.6007,2.47978,1.33473,0.0420606,1.02003,1.40357,19.1199,-18.9651,-0.307016,-1.33379,-0.430669,4.88198,40.0894,0.226064,0.262004,1.76404e-05,0.0870883,1.33457e-06
435,-313.895,1,13.5735,25.2614,2.47978,1.40151,0.039549,1.02003,1.40356,19.1198,-18.9651,-0.285718,-1.44688,-0.364269,4.88198,40.0894,0.226065,0.268808,1.93197e-05,0.0871828,1.25627e-06
436,-317.396,1,13.5541,25.3898,2.47978,1.38454,0.0430106,1.02004,1.40356,19.1199,-18.9652,-0.266932,-1.51634,-0.359912,4.88198,40.0894,0.226065,0.262006,1.80148e-05,0.0751004,1.26121e-06
437,-325.582,1,13.6043,25.3229,2.47977,1.319,0.0443791,1.02004,1.40355,19.1199,-18.9651,-0.263544,-1.52069,-0.348497,4.88198,40.0894,0.226065,0.259735,1.66253e-05,0.0752582,1.17935e-06
438,-327.271,1,13.5824,25.3621,2.47977,1.29239,0.0462681,1.02004,1.40355,19.1199,-18.9651,-0.280152,-1.52336,-0.401741,4.88198,40.0894,0.226065,0.259785,1.62838e-05,0.0705922,1.1805e-06
439,-330.086,1,13.5227,25.5606,2.47977,1.32999,0.0444517,1.02004,1.40354,19.1199,-18.9652,-0.270252,-1.47453,-0.444831,4.88198,40.0894,0.226065,0.257956,1.51918e-05,0.0688448,1.17464e-06
440,-319.417,1,13.5176,25.3048,2.47977,1.36181,0.04576,1.02005,1.40354,19.1199,-18.9652,-0.271476,-1.3793,-0.446856,4.88198,40.0894,0.226064,0.265913,1.7419e-05,0.0736686,1.12559e-06
441,-328.019,1,13.4211,25.3626,2.47977,1.36175,0.0436196,1.02004,1.40353,19.1199,-18.9652,-0.270562,-1.33644,-0.443668,4.88198,40.0894,0.226064,0.253113,1.6217e-05,0.0757211,1.04291e-06
442,-323.572,1,13.521,25.2071,2.47977,1.34485,0.0462484,1.02005,1.40353,19.1199,-18.9652,-0.264806,-1.36375,-0.472182,4.88198,40.0894,0.226065,0.25561,1.71079e-05,0.0782344,1.00196e-06
443,-321.159,1,13.4903,25.3925,2.47977,1.39327,0.0421685,1.02005,1.40353,19.1199,-18.9652,-0.291042,-1.35668,-0.449483,4.88198,40.0894,0.226065,0.261451,1.81419e-05,0.0843087,9.96134e-07
444,-322.601,1,13.5198,25.3886,2.47977,1.39326,0.0417346,1.02005,1.40353,19.1199,-18.9651,-0.285197,-1.37412,-0.433849,4.88198,40.0894,0.226065,0.270335,1.71995e-05,0.0856984,9.81951e-07
445,-324.783,1,13.5495,25.3848,2.47977,1.32017,0.0443223,1.02005,1.40351,19.1198,-18.9651,-0.29267,-1.41935,-0.481653,4.88198,40.0894,0.226065,0.267482,1.7464e-05,0.0855213,9.72662e-07
446,-322.448,1,13.4903,25.5883,2.47977,1.32022,0.0481406,1.02005,1.40351,19.1199,-18.9652,-0.292593,-1.41029,-0.480537,4.88198,40.0893,0.226064,0.253708,1.70441e-05,0.0870331,9.73057e-07
447,-329.865,1,13.5459,25.5146,2.47977,1.32018,0.045498,1.02005,1.40351,19.1199,-18.9651,-0.275004,-1.45181,-0.508822,4.88198,40.0893,0.226064,0.261901,1.58172e-05,0.0922162,7.79971e-07
448,-331.5,1,13.4826,25.4213,2.47977,1.32014,0.0434409,1.02005,1.40352,19.1199,-18.9652,-0.291219,-1.41084,-0.527787,4.88198,40.0894,0.226064,0.265381,1.60853e-05,0.0890685,8.70391e-07
449,-337.222,1,13.489,25.483,2.47977,1.32012,0.0413894,1.02005,1.40352,19.1199,-18.9651,-0.284381,-1.39103,-0.553749,4.88198,40.0894,0.226065,0.257744,1.57504e-05,0.0925002,8.05281e-07
450,-345.695,1,13.4981,25.303,2.47977,1.30116,0.0441719,1.02006,1.40352,19.1199,-18.9652,-0.261815,-1.45673,-0.570487,4.88198,40.0893,0.226065,0.258912,1.23611e-05,0.0841059,7.63838e-07
451,-338.047,1,13.4187,25.31,2.47977,1.32695,0.0451625,1.02006,1.40352,19.1199,-18.9652,-0.274528,-1.44561,-0.573827,4.88198,40.0893,0.226065,0.257051,1.28662e-05,0.0864988,8.11957e-07
452,-337.459,1,13.5276,25.4267,2.47977,1.34599,0.0420067,1.02005,1.40353,19.1199,-18.9651,-0.267192,-1.40673,-0.561544,4.88198,40.0893,0.226065,0.264596,1.28653e-05,0.0930457,8.46427e-07
453,-347.739,1,13.4968,25.4182,2.47977,1.346,0.0413174,1.02005,1.40353,19.1199,-18.9651,-0.275793,-1.36225,-0.509929,4.88198,40.0893,0.226065,0.261577,1.09575e-05,0.0856892,7.80373e-07
454,-345.562,1,13.4389,25.3433,2.47977,1.39518,0.0402317,1.02005,1.40353,19.1199,-18.9651,-0.286371,-1.44761,-0.560441,4.88198,40.0893,0.226065,0.258998,1.0545e-05,0.092363,7.64468e-07
455,-343.759,1,13.5276,25.0636,2.47977,1.37142,0.0440347,1.02005,1.40354,19.1199,-18.9652,-0.290562,-1.46668,-0.557052,4.88198,40.0894,0.226065,0.262364,1.04396e-05,0.0903319,7.31613e-07
456,-351.509,1,13.5285,24.9439,2.47977,1.38458,0.03809,1.02006,1.40354,19.1199,-18.9652,-0.271797,-1.54945,-0.574821,4.88198,40.0893,0.226065,0.271156,1.0587e-05,0.0985984,6.42157e-07
457,-356.502,1,13.4817,24.9481,2.47977,1.35884,0.0405005,1.02005,1.40354,19.1199,-18.9651,-0.245629,-1.4552,-0.465211,4.88198,40.0893,0.226065,0.259292,9.39485e-06,0.096497,6.23294e-07
458,-353.344,1,13.4655,25.0244,2.47978,1.35886,0.0427758,1.02005,1.40353,19.1199,-18.9652,-0.240077,-1.39469,-0.393386,4.88198,40.0893,0.226065,0.251655,9.30069e-06,0.0982569,6.56679e-07
459,-356.977,1,13.3929,25.3135,2.47977,1.35885,0.0437768,1.02005,1.40353,19.1199,-18.9652,-0.250271,-1.3775,-0.383412,4.88198,40.0894,0.226065,0.255302,8.07317e-06,0.0896408,6.80945e-07
460,-361.02,1,13.4975,25.241,2.47977,1.35879,0.0418375,1.02005,1.40353,19.1199,-18.9652,-0.256242,-1.31943,-0.39254,4.88198,40.0894,0.226065,0.255514,8.25267e-06,0.0912096,6.30951e-07
461,-362.273,1,13.5635,25.4016,2.47977,1.3062,0.0416978,1.02005,1.40353,19.1199,-18.9652,-0.264003,-1.30315,-0.375999,4.88198,40.0894,0.226065,0.261975,8.62443e-06,0.0978725,6.06074e-07
462,-363.741,1,13.4682,25.6065,2.47977,1.3062,0.0404756,1.02005,1.40352,19.1199,-18.9651,-0.28618,-1.33761,-0.482546,4.88198,40.0894,0.226065,0.255371,8.87399e-06,0.0973968,5.94605e-07
463,-368.787,1,13.4331,25.3319,2.47977,1.3062,0.0392502,1.02005,1.40352,19.1198,-18.9651,-0.255445,-1.38277,-0.415552,4.88198,40.0894,0.226065,0.256479,8.19629e-06,0.104258,5.47219e-07
464,-372.625,1,13.4519,25.8602,2.47977,1.32578,0.0423496,1.02004,1.40352,19.1199,-18.9651,-0.297425,-1.26749,-0.50718,4.88198,40.0894,0.226065,0.256034,8.04482e-06,0.100838,4.15388e-07
465,-368.97,1,13.4706,25.4811,2.47977,1.40488,0.0410192,1.02004,1.40352,19.1198,-18.9651,-0.272185,-1.37312,-0.427506,4.88198,40.0894,0.226065,0.259759,7.90743e-06,0.100433,4.03199e-07
466,-371.644,1,13.4949,25.5601,2.47977,1.37071,0.042625,1.02004,1.40352,19.1198,-18.9651,-0.272269,-1.38365,-0.48458,4.88198,40.0894,0.226065,0.257125,7.83953e-06,0.103261,3.7317e-07
467,-372.949,1,13.5383,25.5332,2.47977,1.37067,0.0408089,1.02004,1.40353,19.1198,-18.9651,-0.262075,-1.34468,-0.548869,4.88198,40.0894,0.226065,0.258673,9.35293e-06,0.097971,3.49138e-07
468,-368.401,1,13.5072,25.2303,2.47977,1.37071,0.0441657,1.02004,1.40352,19.1199,-18.9652,-0.282553,-1.37787,-0.493089,4.88198,40.0894,0.226065,0.25296,9.78092e-06,0.0938198,3.58268e-07
469,-370.7,1,13.5842,25.2904,2.47977,1.37072,0.0439566,1.02004,1.40353,19.1199,-18.9652,-0.295142,-1.304,-0.542046,4.88198,40.0894,0.226065,0.253988,8.54143e-06,0.0926283,3.69775e-07
470,-377.732,1,13.4499,25.0995,2.47977,1.43895,0.0383722,1.02004,1.40352,19.1199,-18.9652,-0.303038,-1.30517,-0.496705,4.88198,40.0894,0.226065,0.255294,7.702e-06,0.0929724,3.50284e-07
471,-379.088,1,13.5551,25.2273,2.47977,1.47858,0.0387671,1.02004,1.40353,19.1199,-18.9652,-0.296706,-1.32376,-0.47429,4.88198,40.0894,0.226065,0.255491,7.19739e-06,0.0897183,3.29104e-07
472,-383.08,1,13.532,25.3115,2.47977,1.32993,0.043742,1.02004,1.40353,19.1199,-18.9652,-0.326708,-1.36668,-0.517756,4.88198,40.0894,0.226065,0.255732,7.88556e-06,0.0917204,3.02407e-07
473,-398.575,1,13.4561,25.2784,2.47977,1.30268,0.0456694,1.02004,1.40353,19.1199,-18.9652,-0.323045,-1.43926,-0.481938,4.88198,40.0894,0.226065,0.254839,5.8872e-06,0.0889177,2.41401e-07
474,-400.04,1,13.3794,25.3834,2.47977,1.32625,0.0434635,1.02004,1.40353,19.1199,-18.9652,-0.295122,-1.4493,-0.49497,4.88198,40.0894,0.226065,0.257649,5.84322e-06,0.0843147,2.52079e-07
475,-403.687,1,13.4875,25.4342,2.47977,1.32626,0.0440176,1.02004,1.40352,19.1199,-18.9652,-0.316289,-1.34412,-0.432735,4.88198,40.0893,0.226065,0.257304,5.06973e-06,0.0879377,2.44859e-07
476,-412.245,1,13.45,25.2846,2.47977,1.31761,0.0423225,1.02003,1.40352,19.1199,-18.9652,-0.314094,-1.31091,-0.496486,4.88198,40.0893,0.226065,0.256149,4.59661e-06,0.0971163,2.04602e-07
477,-416.586,1,13.3978,25.6909,2.47977,1.34892,0.0420781,1.02003,1.40353,19.1199,-18.9652,-0.333464,-1.25474,-0.478788,4.88198,40.0893,0.226065,0.249466,4.36318e-06,0.0909769,1.89504e-07
478,-418.472,1,13.5162,25.2792,2.47977,1.34895,0.0435543,1.02003,1.40353,19.1199,-18.9652,-0.291161,-1.29988,-0.466056,4.88198,40.0893,0.226065,0.258596,4.12087e-06,0.0809314,1.90703e-07
479,-420.689,1,13.5223,25.5961,2.47977,1.34893,0.0426295,1.02003,1.40353,19.1199,-18.9652,-0.301121,-1.34338,-0.417681,4.88198,40.0893,0.226065,0.259003,3.66013e-06,0.0825845,2.06477e-07
480,-421.179,1,13.5366,25.3795,2.47977,1.28715,0.0479863,1.02003,1.40352,19.1199,-18.9652,-0.290366,-1.42526,-0.482176,4.88198,40.0893,0.226065,0.261778,3.60181e-06,0.0832541,1.80511e-07
481,-423.306,1,13.4086,25.4692,2.47977,1.33804,0.046644,1.02003,1.40352,19.1199,-18.9652,-0.259679,-1.34867,-0.462619,4.88198,40.0893,0.226065,0.260493,3.33168e-06,0.0770612,1.81892e-07
482,-426.063,1,13.6044,25.4781,2.47977,1.27189,0.0486552,1.02003,1.40352,19.1199,-18.9652,-0.268119,-1.31221,-0.434351,4.88198,40.0893,0.226065,0.258174,3.52118e-06,0.0739916,1.82796e-07
483,-423.642,1,13.4876,25.3826,2.47977,1.34184,0.0467684,1.02003,1.40352,19.1199,-18.9652,-0.261026,-1.33742,-0.416476,4.88198,40.0893,0.226065,0.250332,3.49277e-06,0.0723483,1.89598e-07
484,-413.88,1,13.466,25.3008,2.47977,1.37908,0.0477212,1.02003,1.40352,19.1199,-18.9652,-0.271793,-1.35165,-0.477208,4.88198,40.0893,0.226065,0.258913,3.63343e-06,0.0842514,1.79404e-07
485,-427.037,1,13.4878,25.4026,2.47977,1.37902,0.0453916,1.02003,1.40352,19.1199,-18.9652,-0.320629,-1.27507,-0.511983,4.88198,40.0893,0.226065,0.258277,3.18794e-06,0.075678,1.70006e-07
486,-427.708,1,13.5131,25.1829,2.47977,1.34073,0.0435474,1.02003,1.40352,19.1199,-18.9652,-0.287007,-1.2575,-0.487999,4.88198,40.0893,0.226065,0.253944,3.04514e-06,0.0869565,1.83036e-07
487,-430.774,1,13.5095,25.4759,2.47977,1.31619,0.0427814,1.02003,1.40352,19.1199,-18.9652,-0.290457,-1.3607,-0.519077,4.88198,40.0893,0.226065,0.246621,3.35804e-06,0.0996076,1.5201e-07
488,-440.853,1,13.5486,25.6054,2.47977,1.29903,0.0430573,1.02003,1.40352,19.1199,-18.9652,-0.276363,-1.38211,-0.488188,4.88198,40.0893,0.226065,0.250687,3.13675e-06,0.0965897,1.22845e-07
489,-449.865,1,13.5567,25.5534,2.47977,1.32279,0.0412077,1.02003,1.40352,19.1199,-18.9652,-0.290287,-1.36084,-0.541148,4.88198,40.0893,0.226065,0.249457,2.9712e-06,0.0803499,1.19382e-07
490,-459.044,1,13.563,25.4288,2.47977,1.32279,0.0412292,1.02003,1.40352,19.1199,-18.9652,-0.281801,-1.35399,-0.486043,4.88198,40.0893,0.226065,0.253618,2.53819e-06,0.076984,1.05466e-07
491,-468.586,1,13.5851,25.3303,2.47977,1.32277,0.0402791,1.02003,1.40352,19.1199,-18.9652,-0.246054,-1.40083,-0.469461,4.88198,40.0893,0.226065,0.254659,2.10109e-06,0.0780549,9.566e-08
492,-466.592,1,13.5193,25.1615,2.47977,1.36154,0.0387285,1.02003,1.40352,19.1199,-18.9652,-0.266392,-1.4069,-0.429356,4.88198,40.0893,0.226065,0.261286,1.96962e-06,0.0744211,1.06692e-07
493,-463.714,1,13.5477,25.1954,2.47977,1.4185,0.0385321,1.02003,1.40352,19.1199,-18.9652,-0.275113,-1.39422,-0.503664,4.88198,40.0893,0.226065,0.261404,2.28231e-06,0.0807596,8.00993e-08
494,-466.979,1,13.4943,25.2253,2.47977,1.32675,0.0402748,1.02003,1.40352,19.1199,-18.9652,-0.269404,-1.4222,-0.456108,4.88198,40.0893,0.226065,0.259717,2.18534e-06,0.0868638,8.3341e-08
495,-464.235,1,13.4758,25.3901,2.47977,1.38161,0.0388727,1.02003,1.40352,19.1199,-18.9652,-0.26841,-1.39045,-0.390045,4.88198,40.0893,0.226065,0.25811,2.09049e-06,0.0921108,8.34956e-08
496,-469.763,1,13.461,25.4285,2.47977,1.34105,0.0392707,1.02003,1.40352,19.1199,-18.9652,-0.285753,-1.3536,-0.459943,4.88198,40.0893,0.226065,0.259054,1.76431e-06,0.101049,8.18931e-08
497,-472.337,1,13.5463,25.5993,2.47977,1.29528,0.0424674,1.02003,1.40352,19.1199,-18.9652,-0.294009,-1.29484,-0.481831,4.88198,40.0893,0.226065,0.258912,1.76245e-06,0.0921465,8.05183e-08
498,-475.355,1,13.5305,25.4147,2.47977,1.29527,0.0408051,1.02003,1.40352,19.1199,-18.9652,-0.309077,-1.34718,-0.417126,4.88198,40.0893,0.226065,0.257121,1.8609e-06,0.0845496,8.09156e-08
499,-477.228,1,13.4677,24.9715,2.47977,1.26704,0.0435302,1.02003,1.40352,19.1199,-18.9652,-0.3094,-1.38877,-0.425641,4.88198,40.0893,0.226065,0.258445,1.6598e-06,0.0912298,7.39711e-08
500,-481.403,1,13.4843,24.9676,2.47977,1.32633,0.0415347,1.02003,1.40352,19.1199,-18.9652,-0.306168,-1.39289,-0.475749,4.88198,40.0893,0.226065,0.263866,1.41494e-06,0.0862275,7.33478e-08
501,-482.553,1,13.4879,25.2285,2.47977,1.36993,0.0426399,1.02003,1.40352,19.1199,-18.9652,-0.300603,-1.4028,-0.499646,4.88198,40.0893,0.226065,0.25599,1.22457e-06,0.0889824,6.84932e-08
502,-482.297,1,13.4481,25.0849,2.47977,1.35034,0.0421857,1.02003,1.40352,19.1199,-18.9652,-0.307899,-1.44188,-0.524534,4.88198,40.0893,0.226065,0.257929,1.15972e-06,0.0976235,7.11302e-08
503,-482.63,1,13.4828,25.0999,2.47977,1.35043,0.0451732,1.02003,1.40352,19.1199,-18.9652,-0.322824,-1.47089,-0.580746,4.88198,40.0893,0.226065,0.248746,1.23159e-06,0.0898542,6.38399e-08
504,-482.13,1,13.5208,25.3315,2.47977,1.35045,0.0454522,1.02003,1.40352,19.1199,-18.9652,-0.298506,-1.52113,-0.536033,4.88198,40.0893,0.226065,0.257415,1.12316e-06,0.0955375,6.39381e-08
505,-482.384,1,13.4988,25.194,2.47977,1.38636,0.0442472,1.02003,1.40352,19.1199,-18.9652,-0.292348,-1.51183,-0.606975,4.88198,40.0893,0.226065,0.259343,1.1294e-06,0.0988624,5.85961e-08
506,-476.204,1,13.5582,25.3672,2.47977,1.44668,0.0422407,1.02003,1.40352,19.1199,-18.9652,-0.31622,-1.52934,-0.595715,4.88198,40.0893,0.226065,0.262581,1.19664e-06,0.0992993,6.31862e-08
507,-478.63,1,13.5281,25.3691,2.47977,1.47104,0.0400299,1.02004,1.40352,19.1199,-18.9652,-0.286938,-1.4439,-0.630262,4.88198,40.0893,0.226065,0.262472,1.15744e-06,0.106959,5.81567e-08
508,-491.045,1,13.6535,25.3208,2.47977,1.37637,0.0412244,1.02004,1.40352,19.1199,-18.9652,-0.244624,-1.38443,-0.569763,4.88198,40.0893,0.226065,0.259162,1.103e-06,0.0969594,5.60806e-08
509,-494.154,1,13.5436,25.2255,2.47977,1.3157,0.0445623,1.02004,1.40352,19.1199,-18.9652,-0.239448,-1.42718,-0.597688,4.88198,40.0893,0.226065,0.261933,9.80541e-07,0.0956293,5.60507e-08
510,-494.134,1,13.5349,25.1474,2.47977,1.3157,0.0430586,1.02004,1.40352,19.1199,-18.9652,-0.246457,-1.42306,-0.66693,4.88198,40.0893,0.226065,0.264352,9.58544e-07,0.103505,5.59324e-08
511,-500.584,1,13.4983,25.0999,2.47977,1.33448,0.0387152,1.02003,1.40352,19.1199,-18.9652,-0.237961,-1.43635,-0.622348,4.88198,40.0893,0.226065,0.256422,8.94654e-07,0.0994828,6.24943e-08
512,-506.209,1,13.509,25.2598,2.47977,1.33448,0.0401834,1.02003,1.40352,19.1199,-18.9652,-0.244929,-1.38481,-0.566382,4.88198,40.0893,0.226065,0.253433,7.96208e-07,0.0967199,5.80995e-08
513,-502.27,1,13.4896,25.0088,2.47977,1.29912,0.0421805,1.02003,1.40352,19.1199,-18.9652,-0.242991,-1.37555,-0.574017,4.88198,40.0893,0.226065,0.250801,8.93829e-07,0.0945826,5.86183e-08
514,-508.892,1,13.614,25.0764,2.47977,1.35114,0.0360712,1.02003,1.40352,19.1199,-18.9652,-0.275257,-1.40151,-0.599069,4.88198,40.0893,0.226065,0.265346,7.90928e-07,0.0937328,6.05304e-08
515,-513.523,1,13.5408,24.9518,2.47977,1.32899,0.037159,1.02003,1.40352,19.1199,-18.9652,-0.252917,-1.44063,-0.599386,4.88198,40.0893,0.226065,0.262555,7.79684e-07,0.0833025,5.99806e-08
516,-514.232,1,13.5385,24.8954,2.47977,1.34823,0.0373616,1.02003,1.40352,19.1199,-18.9652,-0.240434,-1.51865,-0.602808,4.88198,40.0893,0.226065,0.257794,7.53322e-07,0.0877112,5.48926e-08
517,-509.002,1,13.3887,24.9916,2.47977,1.38909,0.0373256,1.02003,1.40352,19.1199,-18.9652,-0.224866,-1.50016,-0.618154,4.88198,40.0893,0.226065,0.256915,7.48588e-07,0.092075,5.51349e-08
518,-508.038,1,13.3907,25.2037,2.47977,1.44162,0.0399125,1.02003,1.40352,19.1199,-18.9652,-0.223838,-1.51183,-0.574371,4.88198,40.0893,0.226065,0.25591,7.18543e-07,0.0815545,5.10358e-08
519,-509.426,1,13.4571,25.0976,2.47977,1.46623,0.0381719,1.02003,1.40352,19.1199,-18.9652,-0.224005,-1.44847,-0.624794,4.88198,40.0893,0.226065,0.259365,6.83032e-07,0.0797903,5.26799e-08
520,-499.781,1,13.5599,25.011,2.47977,1.42817,0.0409789,1.02003,1.40352,19.1199,-18.9652,-0.223943,-1.48027,-0.57392,4.88198,40.0893,0.226065,0.273122,7.35167e-07,0.0920279,5.40395e-08
521,-500.741,1,13.5376,25.2077,2.47977,1.47023,0.0390347,1.02003,1.40352,19.1199,-18.9652,-0.258058,-1.49009,-0.608984,4.88198,40.0893,0.226065,0.265344,6.7604e-07,0.0902713,5.86107e-08
522,-505.325,1,13.5169,25.2422,2.47977,1.38255,0.03881,1.02004,1.40352,19.1199,-18.9652,-0.257304,-1.43641,-0.645911,4.88198,40.0893,0.226065,0.269669,7.06869e-07,0.0953928,5.78789e-08
523,-508,1,13.5482,25.0264,2.47977,1.32775,0.0429895,1.02003,1.40352,19.1199,-18.9652,-0.256379,-1.45424,-0.592889,4.88198,40.0893,0.226065,0.265876,6.41064e-07,0.0954556,5.5822e-08
524,-506.36,1,13.4982,25.4052,2.47977,1.34771,0.0412363,1.02003,1.40352,19.1199,-18.9652,-0.248946,-1.44661,-0.580982,4.88198,40.0893,0.226065,0.268727,7.11509e-07,0.096502,5.37914e-08
525,-511.841,1,13.5787,25.2734,2.47977,1.34772,0.0410037,1.02003,1.40352,19.1199,-18.9652,-0.259675,-1.45801,-0.537557,4.88198,40.0893,0.226065,0.266684,6.62561e-07,0.0959655,4.90323e-08
526,-511.833,1,13.4793,25.1395,2.47977,1.35916,0.0397005,1.02003,1.40352,19.1199,-18.9652,-0.250507,-1.50056,-0.570499,4.88198,40.0893,0.226065,0.254497,6.61145e-07,0.103519,4.97518e-08
527,-513.158,1,13.5115,25.4916,2.47977,1.34931,0.0431103,1.02003,1.40352,19.1199,-18.9652,-0.296689,-1.47722,-0.570123,4.88198,40.0893,0.226065,0.261931,6.43597e-07,0.0983068,4.33584e-08
528,-512.822,1,13.4868,25.8541,2.47977,1.34933,0.0438787,1.02003,1.40352,19.1199,-18.9652,-0.315151,-0.810014,-0.505975,4.88198,40.0893,0.226065,0.26076,6.17649e-07,0.126318,3.39053e-08
529,-510.426,1,13.5085,26.2364,2.47977,1.42793,0.0395216,1.02003,1.40352,19.1199,-18.9652,-0.400467,-0.731569,-1.25422,4.88198,40.0893,0.226065,0.258285,5.02644e-07,0.173519,3.35054e-08
530,-505.043,1,13.5013,26.5837,2.47977,1.42789,0.0368168,1.02003,1.40352,19.1199,-18.9652,-0.376961,-2.87636,-1.37159,4.88198,40.0893,0.226065,0.254752,4.66154e-07,0.282371,3.10818e-08
531,-499.534,1,13.5533,25.9365,2.47977,1.45457,0.0357979,1.02003,1.40352,19.1199,-18.9652,-0.305505,-3.18532,-1.82934,4.88198,40.0893,0.226065,0.254976,4.62372e-07,0.313022,3.29933e-08
532,-497.034,1,13.5685,25.7698,2.47977,1.37949,0.0410672,1.02003,1.40352,19.1199,-18.9652,-0.34074,-3.24136,-1.79468,4.88198,40.0893,0.226065,0.256919,4.83011e-07,0.320765,3.16063e-08
533,-501.451,1,13.5784,25.6491,2.47977,1.34208,0.0412365,1.02003,1.40352,19.1199,-18.9652,-0.328251,-3.3162,-1.82223,4.88198,40.0893,0.226065,0.260167,4.52312e-07,0.312761,3.23912e-08
534,-505.848,1,13.4648,25.7462,2.47977,1.34209,0.0419499,1.02004,1.40352,19.1199,-18.9652,-0.357982,-3.23809,-1.82645,4.88198,40.0893,0.226065,0.260478,4.21759e-07,0.316717,2.8746e-08
535,-498.351,1,13.5209,25.5622,2.47977,1.38708,0.0436012,1.02004,1.40352,19.1199,-18.9652,-0.267147,-3.36679,-1.82731,4.88198,40.0893,0.226065,0.26478,4.08748e-07,0.317753,2.97918e-08
536,-497.545,1,13.5676,25.5952,2.47977,1.34002,0.0482044,1.02004,1.40352,19.1199,-18.9652,-0.293363,-3.49834,-1.71229,4.88198,40.0893,0.226065,0.265052,4.11901e-07,0.32469,2.69151e-08
537,-499.785,1,13.5794,25.7717,2.47977,1.38518,0.0432103,1.02004,1.40352,19.1199,-18.9652,-0.266097,-3.21518,-1.86638,4.88198,40.0893,0.226065,0.263522,4.75211e-07,0.3259,2.48736e-08
538,-507.483,1,13.6086,25.902,2.47977,1.34725,0.0433241,1.02003,1.40352,19.1199,-18.9652,-0.283422,-3.19702,-1.8728,4.88198,40.0893,0.226065,0.264686,4.37803e-07,0.327443,2.29722e-08
539,-510.283,1,13.5448,25.9727,2.47977,1.3473,0.0442873,1.02003,1.40352,19.1199,-18.9652,-0.302883,-3.31492,-1.95187,4.88198,40.0893,0.226065,0.25874,4.01544e-07,0.326736,2.17871e-08
540,-518.615,1,13.5255,25.7749,2.47977,1.34728,0.0438837,1.02003,1.40352,19.1199,-18.9652,-0.250503,-3.1625,-2.07236,4.88198,40.0893,0.226065,0.260125,3.7645e-07,0.335854,1.77396e-08
541,-523.627,1,13.5786,25.8267,2.47977,1.34728,0.0424462,1.02003,1.40352,19.1199,-18.9652,-0.228002,-2.96957,-2.20209,4.88198,40.0893,0.226065,0.262485,3.71095e-07,0.339575,1.57559e-08
542,-521.846,1,13.5333,25.4992,2.47977,1.37704,0.0414155,1.02003,1.40352,19.1199,-18.9652,-0.234321,-3.07134,-1.9755,4.88198,40.0893,0.226065,0.260595,3.55206e-07,0.329062,1.77252e-08
543,-521.86,1,13.6034,25.7566,2.47977,1.41844,0.0431452,1.02003,1.40352,19.1199,-18.9652,-0.303525,-3.13398,-2.02036,4.88198,40.0893,0.226065,0.262738,3.45304e-07,0.332587,1.49012e-08
544,-385.747,1,13.5976,26.1169,2.47977,1.4184,0.0427654,1.02003,1.40352,19.1199,-18.9652,-0.298828,-3.18642,-1.98952,4.88198,40.0894,0.226065,0.262539,3.2757e-07,0.325552,1.55625e-06
545,-418.312,1,13.5656,25.3997,2.47977,1.35948,0.0416963,1.02003,1.40352,19.1199,-18.9652,-0.310936,-1.45258,-0.809593,4.88198,40.0894,0.226065,0.261048,3.03245e-07,0.157911,1.42399e-06
546,-430.206,1,13.5008,25.4927,2.47977,1.30586,0.0456473,1.02003,1.40352,19.1199,-18.9652,-0.312941,-1.427,-0.618403,4.88198,40.0894,0.226065,0.256473,2.59897e-07,0.129969,1.30057e-06
547,-434.51,1,13.6173,25.2413,2.47977,1.36847,0.039574,1.02003,1.40352,19.1199,-18.9652,-0.306369,-1.44537,-0.643627,4.88198,40.0894,0.226065,0.263264,2.45919e-07,0.124416,1.40232e-06
548,-444.86,1,13.4751,25.2765,2.47978,1.33175,0.0401275,1.02003,1.40352,19.1199,-18.9652,-0.282651,-1.42112,-0.568746,4.88198,40.0894,0.226065,0.262398,2.14388e-07,0.108047,1.40213e-06
549,-438.002,1,13.5126,25.2539,2.47978,1.29767,0.0432805,1.02003,1.40352,19.1199,-18.9652,-0.278703,-1.36246,-0.568047,4.88198,40.0894,0.226065,0.251849,2.33542e-07,0.118398,1.44728e-06
550,-447.181,1,13.5235,25.5649,2.47978,1.35361,0.0392163,1.02003,1.40352,19.1199,-18.9652,-0.303204,-1.26075,-0.549737,4.88198,40.0893,0.226066,0.252133,2.22656e-07,0.102589,1.36485e-06
