iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtWTKG,beta_Cl_tSCRMGDL,beta_V2_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
196,459.815,1,21.7162,25.3441,12.8941,1.38508,0.0571377,1.09231,-0.463622,-4.38577,0.181154,1.03189,0.244379,0.960716
197,462.015,1,22.3882,25.8021,12.0905,1.4089,0.0603863,1.03883,-0.477727,-5.35421,0.176567,1.02129,0.242845,0.93639
198,470.18,1,23.1453,25.7208,10.9445,1.38983,0.0659797,1.15448,-0.501595,-5.52759,0.189178,1.02372,0.242114,0.91268
199,468.342,1,23.0578,25.5667,10.3848,1.38981,0.0638834,1.04991,-0.510317,-4.59084,0.191901,0.997799,0.264476,0.88957
200,467.905,1,22.5917,25.5473,10.4523,1.47219,0.0581616,1.03309,-0.492042,-5.03413,0.193216,0.989044,0.25778,0.867046
201,478.839,1,23.0165,26.407,9.87821,1.55025,0.0654591,1.07941,-0.507804,-5.13786,0.188324,0.964001,0.257133,0.845092
202,470.763,1,21.9096,25.5173,10.2158,1.51303,0.0561889,1.05388,-0.463487,-4.71988,0.18957,0.999589,0.248212,0.93576
203,473.637,1,21.8627,26.0809,11.6652,1.44475,0.0579962,0.969666,-0.463464,-4.60985,0.193023,1.07386,0.268767,0.946161
204,468.282,1,21.8779,25.449,12.1319,1.49473,0.0560618,1.0247,-0.454472,-4.51709,0.19142,1.08016,0.281522,0.750492
205,466.535,1,21.9389,25.3136,10.6505,1.45677,0.0579364,1.1176,-0.462199,-5.05425,0.186923,0.982644,0.286619,0.779854
206,463.282,1,22.4094,25.1957,11.3459,1.37205,0.0579284,1.08897,-0.478991,-4.20256,0.185641,1.03067,0.297592,0.791843
207,457.83,1,21.9589,25.375,11.4761,1.372,0.055935,1.06039,-0.465022,-4.58669,0.186236,0.973551,0.296434,0.780724
208,457.381,1,22.0168,24.9865,12.3452,1.40592,0.0531279,1.07996,-0.471638,-5.16842,0.180645,1.03332,0.280738,0.808972
209,458.368,1,22.6354,25.0378,11.8795,1.42796,0.0498111,1.06129,-0.493549,-4.75832,0.18881,1.0529,0.288484,0.843862
210,451,1,22.7788,24.7697,12.8194,1.42793,0.0496894,1.11605,-0.50862,-4.46559,0.191568,1.04547,0.258948,0.745907
211,446.365,1,22.3677,24.5662,12.4338,1.42786,0.047051,1.11371,-0.487933,-5.34049,0.197487,0.970074,0.306854,0.641557
212,445.699,1,22.5408,24.3351,11.9948,1.42794,0.0502068,1.05736,-0.494867,-5.09412,0.194283,0.947923,0.291545,0.570079
213,439.36,1,22.6547,24.3506,12.7008,1.38184,0.0503446,1.0716,-0.493567,-5.12071,0.196395,0.868668,0.291374,0.567654
214,444.332,1,22.0961,24.2757,11.6542,1.42933,0.0532533,0.933521,-0.476778,-5.19066,0.184061,0.79649,0.302579,0.575316
215,451.265,1,22.257,24.5001,12.728,1.31596,0.0631995,1.00795,-0.480901,-5.00204,0.179733,0.870732,0.286367,0.604013
216,448.959,1,22.716,24.3542,12.866,1.3159,0.0605481,1.06871,-0.505054,-5.37411,0.182018,0.824254,0.311033,0.604751
217,444.085,1,21.6986,25.0922,12.7919,1.33513,0.0569917,1.07785,-0.464884,-5.34102,0.17887,0.746381,0.309102,0.646196
218,445.32,1,22.5519,24.5414,12.4589,1.39645,0.0529759,1.08893,-0.492996,-5.07896,0.180219,0.850858,0.325875,0.588719
219,448.745,1,22.2853,24.234,12.4925,1.39652,0.0564311,1.07615,-0.483549,-4.98193,0.182121,0.877151,0.297478,0.609002
220,450.003,1,22.2678,24.8783,12.3143,1.39647,0.0538523,1.13647,-0.482104,-4.06343,0.182455,0.932595,0.299888,0.64906
221,451.43,1,22.6745,24.6191,12.4847,1.46955,0.0502266,1.1796,-0.502686,-3.9878,0.198349,0.869222,0.315061,0.614429
222,444.568,1,22.8664,24.8113,12.3198,1.42244,0.0489328,1.12519,-0.514042,-3.87755,0.192085,0.921861,0.299804,0.600246
223,443.118,1,23.0166,24.6963,11.8584,1.52482,0.0419045,1.16696,-0.512416,-4.66339,0.19796,0.873336,0.293923,0.643188
224,444.467,1,23.0278,24.288,12.5647,1.48975,0.0420302,1.15126,-0.508055,-4.67483,0.191572,0.916646,0.299338,0.716324
225,451.901,1,22.7449,24.3202,13.4972,1.40137,0.0502938,1.10197,-0.495613,-4.81175,0.189646,0.935402,0.30754,0.750864
226,461.139,1,22.4296,24.9931,13.5255,1.45507,0.0537689,1.08693,-0.486738,-4.65636,0.196914,0.962573,0.316391,0.689104
227,457.435,1,22.6926,24.4846,11.7437,1.42415,0.0532924,1.18405,-0.496648,-5.11655,0.187166,0.929823,0.318711,0.723149
228,460.279,1,22.0557,24.0352,11.0367,1.42967,0.054848,1.16561,-0.474749,-5.72018,0.190431,0.917432,0.304826,0.747616
229,463.664,1,22.6516,24.8946,10.9084,1.31839,0.0636253,1.16903,-0.495158,-5.37263,0.190216,0.870568,0.289981,0.810857
230,466.01,1,22.5696,26.1144,11.6538,1.36462,0.0662515,1.08807,-0.482977,-6.04971,0.179997,0.925001,0.255419,0.825397
231,459.479,1,21.898,25.5981,11.2158,1.3125,0.0635745,1.01029,-0.464846,-6.1367,0.179396,0.885737,0.253506,0.85877
232,460.372,1,22.5527,25.9483,10.3047,1.3978,0.056438,1.10116,-0.488978,-6.36979,0.176002,0.982538,0.285118,0.834087
233,463.073,1,22.9026,25.9246,11.5422,1.34297,0.0588028,1.06076,-0.501441,-6.65356,0.192228,0.898604,0.296798,0.904542
234,464.364,1,22.971,25.7214,10.9036,1.34304,0.0606573,1.12622,-0.500915,-6.8661,0.194257,0.876736,0.296114,0.847728
235,462.491,1,21.9643,26.9678,10.36,1.39366,0.0574358,1.03515,-0.4619,-7.51454,0.178819,0.888275,0.284885,0.944359
236,464.798,1,21.5888,27.3849,9.63672,1.32268,0.0617135,1.05459,-0.443981,-7.44484,0.191437,0.930889,0.286551,0.880521
237,458.243,1,22.9806,27.1032,10.2614,1.36331,0.0556779,1.13256,-0.508135,-8.33958,0.181886,0.973898,0.26663,0.905517
238,461.492,1,22.7934,27.2001,10.135,1.2485,0.0587154,1.11518,-0.501327,-6.59747,0.187507,1.04479,0.27605,1.00708
239,450.714,1,22.1979,26.4446,11.0345,1.22194,0.0569284,1.05415,-0.478384,-7.74298,0.181945,1.03232,0.264128,0.89296
240,462.175,1,22.9332,26.2997,10.9271,1.32201,0.0574602,1.16059,-0.50802,-7.53035,0.187131,0.96796,0.280488,0.968594
241,464.772,1,22.1095,25.8817,9.95493,1.27853,0.0620979,1.07827,-0.476607,-7.92988,0.181065,1.01454,0.282638,0.912096
242,454.634,1,22.6441,26.0706,10.2939,1.31597,0.0547898,1.10333,-0.496596,-7.39368,0.185184,1.02172,0.253664,0.926896
243,449.846,1,22.1379,26.1328,11.5134,1.29662,0.0550083,1.09846,-0.473376,-7.27424,0.183243,1.05865,0.241573,0.849513
244,456.701,1,22.7368,25.653,11.8651,1.32061,0.0595043,1.05601,-0.494017,-7.01674,0.183035,1.0106,0.252331,0.81686
245,460.077,1,22.1637,25.4493,12.3759,1.19748,0.0695328,1.04403,-0.469716,-6.39634,0.177825,0.986752,0.236411,0.856023
246,459.411,1,21.7656,25.3748,11.723,1.26898,0.0634153,1.06137,-0.457864,-6.84999,0.183329,1.05755,0.256632,0.780035
247,466.479,1,21.3939,25.2435,12.1941,1.23465,0.063782,1.11997,-0.451283,-7.0462,0.185348,1.06164,0.284175,0.909529
248,465.374,1,22.4724,25.5335,11.0122,1.23463,0.0628827,1.1036,-0.494228,-6.85741,0.187621,1.08396,0.268027,0.931164
249,463.789,1,22.2509,24.5994,11.7248,1.29983,0.0607309,1.12419,-0.492076,-4.97414,0.181039,1.01557,0.274373,0.893569
250,461.535,1,21.7222,24.8946,11.0938,1.26374,0.0567692,1.0179,-0.461669,-4.56874,0.189463,1.16805,0.269547,0.959498
251,470.855,1,22.3724,24.4747,11.4198,1.30921,0.0574566,1.16619,-0.488294,-4.5232,0.197597,1.17582,0.289015,1.00853
252,470.072,1,22.0724,24.7634,11.8222,1.30933,0.0609595,1.0405,-0.469609,-4.48346,0.184689,1.20668,0.254292,0.993316
253,463.365,1,22.3963,25.598,11.4146,1.31754,0.0555746,1.1125,-0.488079,-5.65367,0.199013,1.21255,0.246821,0.955877
254,467.74,1,21.8961,25.6618,11.1057,1.3176,0.0576779,1.06993,-0.479498,-6.14813,0.181308,1.20422,0.257256,1.06336
255,465.328,1,22.0873,25.9058,11.8533,1.25894,0.0612055,1.12339,-0.473325,-5.65424,0.187074,1.15624,0.236118,1.0608
256,467.063,1,22.286,26.2057,11.7343,1.25889,0.0589523,1.18839,-0.476781,-6.36784,0.190931,1.23321,0.238491,1.11946
257,464.739,1,22.2179,26.2525,12.2287,1.30982,0.0557458,1.23434,-0.484859,-6.33463,0.186331,1.32069,0.23474,1.0282
258,465.809,1,22.3562,26.5044,12.0795,1.40242,0.0505683,1.12388,-0.482925,-5.77479,0.189328,1.39877,0.221249,1.09075
259,473.613,1,22.6223,26.9327,11.7543,1.40259,0.0573731,1.16184,-0.494378,-6.7916,0.188616,1.43048,0.220934,1.05417
260,474.169,1,22.5389,27.1693,10.9736,1.4026,0.0569953,1.15044,-0.488524,-6.76663,0.19003,1.35642,0.228577,1.05342
261,480.891,1,23.0047,26.3479,10.775,1.48244,0.0583517,1.1316,-0.501742,-6.10908,0.200004,1.32417,0.218397,1.06558
262,476.769,1,21.7664,25.9547,11.9246,1.31938,0.0623089,1.13596,-0.470371,-6.92892,0.195741,1.36232,0.217458,1.08266
263,476.569,1,22.5143,26.3099,10.2428,1.36105,0.0634585,1.10386,-0.489487,-6.81273,0.189972,1.26896,0.220542,1.03014
264,477.125,1,22.7153,26.5199,11.8094,1.36105,0.0647921,1.24671,-0.492149,-5.88872,0.184828,1.18019,0.234994,1.07143
265,463.093,1,22.3239,26.5506,10.3859,1.21803,0.0646245,1.09318,-0.480859,-5.92961,0.183949,1.05936,0.230626,1.04771
266,481.54,1,22.0303,26.3814,10.3958,1.42501,0.0614561,1.0738,-0.467724,-6.07242,0.197178,1.12598,0.24231,1.15301
267,479.516,1,21.8132,26.4399,10.7965,1.37183,0.0614607,1.06713,-0.462681,-5.66076,0.189256,1.20184,0.250298,1.1378
268,481.764,1,22.214,26.7681,11.0754,1.37187,0.0623919,1.11135,-0.478215,-7.76977,0.181223,1.18686,0.237631,1.29525
269,470.379,1,21.9643,26.6218,12.1328,1.26422,0.062245,1.07728,-0.466796,-6.49626,0.178351,1.22726,0.249444,1.10426
270,470.568,1,22.5745,26.7762,11.9125,1.16183,0.0677824,1.06996,-0.494551,-6.61038,0.181427,1.28106,0.230393,1.10391
271,463.731,1,22.9612,26.826,13.3455,1.27844,0.0613158,1.10145,-0.503451,-5.04872,0.176815,1.22141,0.218587,1.04652
272,479.149,1,22.8226,26.6005,12.1251,1.4323,0.0594237,1.04645,-0.496606,-5.04832,0.185356,1.33189,0.257821,0.974105
273,478.945,1,22.6445,26.4866,11.6207,1.38172,0.0623721,1.18441,-0.492841,-5.03609,0.189949,1.3417,0.254901,0.923191
274,481.719,1,22.3781,25.5918,11.9251,1.3362,0.068616,1.10575,-0.48553,-5.9363,0.188387,1.27653,0.249754,0.910257
275,475.682,1,22.534,25.5745,12.2595,1.32775,0.0633515,1.12437,-0.490359,-4.64579,0.190148,1.2962,0.237211,0.997287
276,467.47,1,22.2085,25.5629,11.301,1.32769,0.059807,1.06755,-0.473539,-4.03535,0.187718,1.19195,0.244687,0.970864
277,468.828,1,22.6642,25.3249,12.5395,1.32768,0.0591978,1.1526,-0.493186,-3.68433,0.190798,1.18664,0.255338,0.962808
278,469.213,1,22.3097,25.4871,11.632,1.25839,0.0663757,1.20075,-0.485569,-4.76253,0.187574,1.04413,0.241332,0.995629
279,464.65,1,23.267,26.1757,10.6959,1.3244,0.0632281,1.28334,-0.50857,-5.21368,0.192232,0.993008,0.216162,1.00947
280,472.541,1,22.9052,25.9578,10.0614,1.33259,0.0682317,1.21079,-0.49676,-4.30299,0.185432,0.964884,0.204898,1.15702
281,461.071,1,22.9487,25.3742,10.1808,1.31617,0.0619714,1.14339,-0.490834,-4.95185,0.186067,0.966802,0.212383,1.0612
282,457.589,1,23.0888,25.3287,10.1896,1.39823,0.0534129,1.18449,-0.507735,-4.31499,0.185464,0.971168,0.218235,1.09329
283,457.987,1,22.5999,25.3133,10.8859,1.39866,0.0576344,1.13399,-0.488383,-4.53913,0.180867,1.05444,0.192496,0.971942
284,457.063,1,22.3896,25.7637,11.0169,1.3186,0.0624846,1.01088,-0.482169,-4.28713,0.182922,1.05453,0.187485,0.923696
285,457.094,1,21.8481,25.6841,11.7761,1.31857,0.0613154,1.02539,-0.455572,-3.69259,0.183553,1.12184,0.18998,0.918423
286,462.913,1,21.5136,25.1711,12.2564,1.29365,0.065845,1.11,-0.448276,-4.12779,0.179832,1.17505,0.202576,0.851613
287,465.202,1,21.9992,25.1935,11.4871,1.29364,0.0669006,1.16342,-0.462256,-4.44792,0.184215,1.1456,0.206489,0.889689
288,456.658,1,22.4351,24.7647,12.4655,1.3522,0.0581858,1.11205,-0.489964,-3.83732,0.177873,1.1712,0.196126,0.904248
289,456.923,1,21.7763,24.6619,13.2917,1.35217,0.0562063,1.01667,-0.470076,-4.12105,0.177563,1.11837,0.220679,0.903809
290,458.329,1,22.6655,25.1122,13.7411,1.35218,0.0574353,1.01118,-0.508094,-4.24507,0.190215,1.14792,0.194724,0.943871
291,448.631,1,22.9864,25.0808,13.7077,1.42247,0.051416,1.13727,-0.517712,-4.33106,0.175968,1.0029,0.206595,0.891917
292,449.201,1,22.4271,25.0863,13.2235,1.38163,0.0503148,1.06742,-0.490451,-4.66442,0.177172,0.977792,0.226576,0.997654
293,449.213,1,22.3036,25.4719,12.9735,1.34162,0.051309,1.10377,-0.485457,-4.67406,0.181443,1.03384,0.229105,0.958243
294,445.62,1,22.1542,25.2788,12.6874,1.277,0.0520963,1.10524,-0.488596,-5.76456,0.178134,0.998308,0.238743,0.962884
295,461.854,1,21.7234,25.4955,12.697,1.36296,0.0544309,1.09344,-0.465385,-7.10726,0.185787,1.17426,0.254481,0.915757
296,458.278,1,22.074,26.2628,12.4511,1.32509,0.0536275,1.15552,-0.480558,-6.17142,0.185693,1.13977,0.252958,0.952816
297,456.917,1,22.1376,26.3043,10.6728,1.42978,0.0500022,1.13269,-0.473647,-5.7595,0.179678,1.06375,0.250531,0.94428
298,463.555,1,22.5226,25.94,10.6826,1.47193,0.0514613,1.09569,-0.489769,-6.28573,0.178966,1.01898,0.272149,0.95824
299,462.29,1,22.3792,25.9229,10.4473,1.47189,0.050088,1.09592,-0.489833,-6.65494,0.180587,0.996575,0.301892,0.900643
300,461.927,1,21.9043,25.3828,10.5185,1.40592,0.0531987,1.05839,-0.462413,-6.82399,0.180008,1.03912,0.292709,0.901702
301,456.109,1,22.0453,25.504,10.8941,1.36974,0.0532837,1.07475,-0.466292,-5.86604,0.180971,0.983522,0.289567,0.862662
302,457.878,1,22.3929,25.6196,10.998,1.36975,0.0535461,1.25728,-0.476608,-5.98765,0.189962,0.952606,0.301952,0.853884
303,459.241,1,22.0074,25.6077,11.6401,1.31785,0.0565285,1.12356,-0.469099,-5.96929,0.187319,0.989544,0.30356,0.845211
304,457.608,1,22.5201,25.419,11.7232,1.34516,0.0509854,1.11814,-0.499373,-5.99478,0.185388,0.939772,0.31354,0.983544
305,466.577,1,21.7798,25.9403,11.6402,1.40292,0.0536603,1.03933,-0.463798,-5.83574,0.191395,0.91056,0.311558,1.02678
306,468.419,1,22.0782,26.145,10.8968,1.39801,0.0568816,1.0099,-0.47124,-5.05716,0.182379,0.945387,0.318318,0.951573
307,462.433,1,22.2415,25.7352,10.4277,1.31049,0.0576008,1.05571,-0.480166,-5.39661,0.185563,0.934968,0.313671,0.93011
308,473.832,1,22.6212,26.2286,11.5281,1.32601,0.064093,1.11831,-0.48577,-5.80448,0.183036,1.01893,0.300818,0.973002
309,471.483,1,22.3732,26.3199,11.7648,1.38571,0.0588936,1.18068,-0.486718,-7.50214,0.183187,0.959761,0.305785,1.01087
310,470.693,1,23.1386,25.749,10.8356,1.32316,0.0592081,1.14914,-0.511359,-7.98762,0.184899,1.00135,0.320332,1.0276
311,465.434,1,22.2384,25.6848,11.2515,1.26152,0.0606868,1.10385,-0.475815,-8.1544,0.19446,0.984521,0.32162,0.905552
312,469.883,1,22.5215,25.5943,10.4438,1.26161,0.0644257,1.20051,-0.488857,-8.05612,0.184969,1.00234,0.334313,0.860292
313,478.849,1,22.5844,25.3879,9.60179,1.34205,0.0644103,1.24222,-0.487053,-7.36968,0.186172,1.09862,0.343824,0.848072
314,471.584,1,22.8192,25.2017,9.71204,1.42029,0.0586051,1.10376,-0.496374,-7.55041,0.188827,0.971771,0.335282,0.831863
315,470.82,1,22.371,25.4745,11.3101,1.38037,0.0587068,1.12095,-0.480684,-7.60508,0.183758,1.06338,0.315357,0.887172
316,468.605,1,22.711,25.8781,11.3946,1.3236,0.0596426,1.10028,-0.491991,-6.79088,0.191044,1.12809,0.282105,0.928704
317,465.829,1,22.5577,25.6896,11.651,1.42818,0.0557638,1.16045,-0.484913,-6.02685,0.186184,1.0697,0.277991,0.857062
318,448.594,1,22.7411,25.7651,10.7125,1.30997,0.0538721,1.09692,-0.490361,-5.38388,0.18407,1.0192,0.265074,0.789698
319,461.22,1,22.6788,25.8497,10.7792,1.31006,0.0576798,1.04337,-0.497217,-5.9516,0.182524,1.09192,0.286082,0.866836
320,453.472,1,23.0368,25.8445,11.3898,1.39834,0.0531162,1.15757,-0.500968,-5.43486,0.180302,1.13905,0.264271,0.711669
321,464.485,1,22.9445,26.7777,12.1012,1.39845,0.0581995,1.12753,-0.503002,-5.48166,0.191539,1.11164,0.275274,0.744008
322,464.194,1,21.9602,26.126,11.2694,1.4847,0.053518,1.21144,-0.474321,-6.20891,0.186023,1.0789,0.286563,0.732688
323,452.594,1,22.4967,25.9057,12.5395,1.42597,0.0532281,1.08934,-0.488591,-5.44374,0.183985,1.11159,0.254563,0.657425
324,450.259,1,22.5618,25.7408,12.0897,1.38368,0.0527418,1.08035,-0.498809,-5.76628,0.177741,1.13672,0.262291,0.672
325,450.333,1,22.5173,25.6564,11.1006,1.38363,0.0519205,1.14537,-0.494212,-5.69896,0.183127,1.05859,0.247848,0.787911
326,450.632,1,22.8475,25.7175,11.998,1.42745,0.0475844,1.11847,-0.495641,-5.08159,0.185265,1.10115,0.246078,0.840916
327,454.079,1,22.9265,25.5909,11.718,1.42756,0.0522765,1.21994,-0.503038,-4.47163,0.175672,1.08577,0.247777,0.794731
328,461.987,1,22.2469,25.5667,11.1,1.4593,0.0552873,1.21918,-0.472898,-4.65595,0.181444,1.12419,0.270798,0.72135
329,462.679,1,21.7512,25.2953,11.8242,1.36984,0.063163,1.07923,-0.45869,-4.65707,0.183902,1.13298,0.253437,0.653994
330,466.146,1,22.4526,24.8771,12.3336,1.41238,0.05963,1.14,-0.481288,-4.56147,0.18821,1.19991,0.254836,0.718052
331,459.548,1,22.3072,24.7301,13.9019,1.28617,0.0605967,1.09242,-0.48127,-4.66022,0.177729,1.28363,0.244425,0.767372
332,459.415,1,22.8121,24.7339,13.5641,1.42605,0.0550287,1.17676,-0.492485,-4.75831,0.194215,1.21171,0.22472,0.751782
333,458.274,1,22.3313,24.3127,15.2787,1.41267,0.053843,1.0486,-0.479646,-5.00121,0.199364,1.29135,0.216527,0.741017
334,456.529,1,22.3714,24.5577,14.2476,1.41261,0.0520509,1.1016,-0.481317,-4.66182,0.19044,1.29604,0.237964,0.741205
335,452.979,1,21.6156,24.0809,14.2534,1.41255,0.0496151,1.07409,-0.449559,-3.97723,0.1883,1.30269,0.236381,0.744778
336,461.271,1,21.4868,24.0047,13.6624,1.44484,0.0500638,1.07674,-0.448957,-2.63466,0.193161,1.39393,0.233477,0.798514
337,458.486,1,22.912,23.837,13.6756,1.38743,0.0517292,1.10667,-0.509209,-3.56073,0.185465,1.50674,0.231832,0.750476
338,456.934,1,21.9023,24.5094,14.8658,1.43364,0.0487728,1.05406,-0.468401,-3.36189,0.194333,1.41967,0.233988,0.736278
339,464.158,1,21.9243,24.5938,14.4696,1.52023,0.0484815,1.00622,-0.471993,-2.64868,0.185399,1.39563,0.259535,0.734226
340,468.506,1,22.5165,24.8096,13.7949,1.5602,0.0496069,1.13961,-0.493649,-3.04703,0.18125,1.46045,0.230537,0.804158
341,472.421,1,21.85,25.1508,12.344,1.56025,0.0519468,1.03424,-0.465918,-3.11763,0.180819,1.40852,0.22844,0.877904
342,459.008,1,22.3698,25.6336,13.7367,1.27848,0.0543865,1.16095,-0.483985,-4.37065,0.187686,1.65032,0.220674,0.84819
343,462.219,1,22.297,24.8653,14.2388,1.37281,0.0536064,1.05789,-0.484959,-4.24957,0.183434,1.62867,0.203593,0.862909
344,466.42,1,22.4605,24.8969,14.1765,1.35984,0.0603104,1.16079,-0.487777,-4.6498,0.180884,1.48736,0.199992,0.848557
345,464.26,1,22.6803,24.4841,14.5286,1.47263,0.0523736,1.17788,-0.496054,-3.90079,0.179313,1.48547,0.21843,0.804271
346,468.708,1,22.6798,25.2528,16.3959,1.47267,0.0527623,1.09475,-0.495255,-3.53023,0.183474,1.64222,0.218989,0.796467
347,468.54,1,21.9053,24.7061,13.7483,1.54735,0.0538999,1.10423,-0.45837,-3.10032,0.178665,1.4413,0.211768,0.781625
348,463.302,1,22.3973,25.1407,12.4868,1.45319,0.0551885,1.09809,-0.475476,-3.12991,0.184313,1.32442,0.213509,0.810064
349,455.047,1,22.2215,25.2202,11.4312,1.48373,0.0481506,1.11647,-0.478227,-2.99783,0.183068,1.21409,0.223403,0.812488
350,456.275,1,22.2756,25.0548,11.0136,1.44317,0.0494121,1.16538,-0.478194,-2.85549,0.178604,1.22078,0.233797,0.866191
351,455.847,1,21.7085,25.0838,12.819,1.4235,0.0486476,1.06913,-0.459151,-2.77067,0.18245,1.213,0.242321,0.884448
352,451.425,1,22.0367,24.9017,12.7564,1.37254,0.0493667,1.07027,-0.475166,-3.10001,0.190553,1.24199,0.214577,0.88489
353,457.271,1,22.1251,24.4951,12.3646,1.37364,0.0506722,0.995714,-0.479931,-3.56969,0.189686,1.31364,0.210003,0.969323
354,449.907,1,22.4873,24.7153,12.5088,1.29724,0.0501441,1.05884,-0.48355,-3.77121,0.189414,1.30506,0.209242,0.977779
355,455.696,1,22.5346,24.644,12.6785,1.3397,0.052558,1.10951,-0.491352,-3.64154,0.18626,1.38626,0.194672,0.967051
356,463.292,1,21.8779,25.0846,12.0392,1.37146,0.0580337,1.02868,-0.461628,-3.43799,0.181637,1.35819,0.180103,1.00809
357,464.446,1,22.1779,24.6561,11.8914,1.40169,0.0586082,1.0126,-0.472507,-2.53923,0.190164,1.19862,0.190502,0.960976
358,460.693,1,22.5418,24.8033,11.5532,1.31154,0.0595956,1.05275,-0.491103,-3.06838,0.182723,1.25164,0.201466,0.943621
359,470.409,1,22.0789,24.6669,11.4028,1.40243,0.0593487,1.0453,-0.468262,-2.97078,0.191994,1.35554,0.199047,0.957575
360,480.202,1,22.3029,24.514,11.612,1.33734,0.0662964,1.09228,-0.484943,-2.89259,0.194657,1.40334,0.208769,0.995778
361,466.206,1,22.5518,24.001,13.102,1.43978,0.057133,1.03673,-0.496644,-2.26001,0.185768,1.15447,0.217097,0.923288
362,461.486,1,22.695,24.1222,12.4365,1.32433,0.0593722,1.15153,-0.499231,-3.31159,0.188356,1.16919,0.218986,0.899937
363,463.757,1,22.9737,24.6677,13.1388,1.36346,0.0591342,1.18541,-0.504112,-3.92373,0.188417,1.1096,0.210755,0.999798
364,461.735,1,21.7692,23.9913,12.3893,1.36343,0.057024,1.11712,-0.460667,-4.43558,0.183843,1.07625,0.219732,1.03697
365,462.521,1,21.6611,24.049,11.1937,1.36344,0.0589655,1.11665,-0.466172,-4.63793,0.193395,1.02615,0.203349,1.02994
366,455.75,1,22.9751,24.5752,11.869,1.33726,0.0566972,1.2058,-0.516275,-5.39768,0.201179,0.922028,0.202567,1.03696
367,457.525,1,22.5021,25.1629,11.483,1.38515,0.0558526,1.14094,-0.496264,-5.37941,0.192033,0.87673,0.229357,1.00583
368,460.335,1,22.5102,25.4287,10.8096,1.42293,0.0537623,1.1303,-0.49053,-5.42667,0.185781,0.892064,0.229336,1.15086
369,458.53,1,22.189,25.2014,10.6228,1.45411,0.0504129,1.09683,-0.479969,-4.12018,0.181943,0.918936,0.223865,1.18754
370,456.966,1,22.8702,24.9283,11.3503,1.42824,0.0501734,1.17574,-0.500291,-5.04469,0.195848,0.970989,0.219604,1.09576
371,458.461,1,22.2608,24.1054,11.7591,1.44968,0.0535121,1.13208,-0.480213,-4.50884,0.189269,0.961188,0.212884,0.997166
372,464.98,1,22.0245,24.409,12.0019,1.48605,0.0555369,1.11378,-0.467317,-4.805,0.189537,0.998979,0.209513,1.02106
373,460.317,1,22.5282,24.6197,12.1078,1.41302,0.0569487,0.991744,-0.495027,-4.76009,0.185244,1.04539,0.180283,1.08963
374,465.341,1,22.0878,24.0148,11.938,1.46816,0.0577356,1.14684,-0.473298,-4.39602,0.181687,0.998021,0.204943,1.02486
375,467.857,1,22.2491,23.7858,12.0855,1.38632,0.0597075,1.06021,-0.492194,-4.33073,0.173827,1.02915,0.218983,1.16034
376,464.616,1,21.4926,23.9832,12.4473,1.4867,0.0548424,1.03174,-0.45322,-4.19532,0.166923,1.05291,0.21172,1.10113
377,475.314,1,21.7312,24.0611,11.8315,1.55979,0.0560566,0.993815,-0.450034,-3.57542,0.185642,1.1832,0.21163,1.02665
378,467.934,1,22.9266,24.2461,12.3943,1.36223,0.0636735,1.19378,-0.500805,-3.57731,0.188639,1.12225,0.18846,1.05995
379,466.635,1,22.2803,24.1634,12.023,1.41983,0.060961,1.02105,-0.478434,-3.75268,0.1863,1.11739,0.18494,1.02492
380,460.915,1,23.2436,23.6891,14.3197,1.45112,0.053677,1.12459,-0.512029,-3.33107,0.182971,1.2222,0.208562,0.906733
381,457.988,1,22.4422,23.7537,13.5141,1.45112,0.0539041,1.01714,-0.478732,-2.69453,0.190185,1.3011,0.184554,0.825728
382,453.669,1,22.0356,23.9009,15.0463,1.59654,0.0426311,1.07707,-0.468729,-2.51839,0.182518,1.37725,0.1869,0.807766
383,451.385,1,22.145,23.6806,13.9934,1.5965,0.0407715,1.06671,-0.47593,-2.28997,0.181911,1.43497,0.171174,0.83984
384,459.044,1,21.6651,23.6013,13.7692,1.68093,0.0443736,1.04608,-0.463294,-2.76826,0.181262,1.33909,0.162158,0.845449
385,448.742,1,22.2411,23.098,13.7783,1.47416,0.0501417,1.03446,-0.481767,-2.91564,0.187717,1.39429,0.145068,0.810099
386,448.131,1,22.5743,23.5833,13.8248,1.53112,0.0473445,1.06253,-0.499205,-3.08245,0.182307,1.34871,0.148736,0.812928
387,442.086,1,22.374,23.1198,13.2675,1.53106,0.0450027,1.04223,-0.488557,-2.61754,0.18534,1.3474,0.133762,0.811005
388,444.791,1,22.4041,23.2056,13.7539,1.4045,0.0520997,1.09354,-0.486036,-2.37818,0.184658,1.39316,0.138512,0.823526
389,444.027,1,23.1439,23.0869,14.0088,1.45083,0.0518006,1.1799,-0.521284,-2.07443,0.184739,1.26635,0.138297,0.789651
390,450.657,1,22.549,23.0502,14.1192,1.57346,0.0486247,0.992899,-0.499299,-1.92549,0.192114,1.27371,0.147314,0.755129
391,449.894,1,22.5704,23.084,14.0488,1.52061,0.0483583,1.07465,-0.493966,-2.16,0.189774,1.29063,0.164746,0.760606
392,451.349,1,21.9258,24.0321,14.1101,1.48195,0.0512282,1.14227,-0.474665,-2.68721,0.193353,1.30969,0.164782,0.734731
