trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_log_tCLCR_abscissa,trans_Cl_vs_log_tCLCR_spline,trans_Cl_vs_log_tCLCR_regression,trans_Cl_vs_log_tWT_abscissa,trans_Cl_vs_log_tWT_spline,trans_Cl_vs_log_tWT_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_log_tCLCR_abscissa,trans_V1_vs_log_tCLCR_spline,trans_V1_vs_log_tCLCR_regression,trans_V1_vs_log_tWT_abscissa,trans_V1_vs_log_tWT_spline,trans_V1_vs_log_tWT_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_log_tCLCR_abscissa,trans_V2_vs_log_tCLCR_spline,trans_V2_vs_log_tCLCR_regression,trans_V2_vs_log_tWT_abscissa,trans_V2_vs_log_tWT_spline,trans_V2_vs_log_tWT_regression,split
135.267,2.39604,2.60381,80.2929,2.82911,2.75042,0.275151,2.40788,2.58633,0.119088,2.81689,2.72893,135.267,2.7989,2.94866,80.2929,3.033,3.06054,0.275151,2.89085,2.95412,0.119088,3.01507,3.05276,135.267,2.37859,2.53027,80.2929,2.69331,2.63962,0.275151,2.29702,2.52358,0.119088,2.68003,2.62208,All
135.9,2.39439,2.60797,80.6061,2.83189,2.7554,0.280391,2.40611,2.59065,0.123353,2.81972,2.73371,135.9,2.78216,2.94692,80.6061,3.03727,3.06277,0.280391,2.87259,2.95209,0.123353,3.0198,3.05496,135.9,2.39328,2.53175,80.6061,2.69598,2.64282,0.280391,2.31307,2.52505,0.123353,2.68281,2.62505,All
136.533,2.45571,2.61213,80.9192,2.83468,2.76038,0.285632,2.40435,2.59498,0.127619,2.82254,2.73849,136.533,2.79815,2.94519,80.9192,3.04154,3.06501,0.285632,2.85434,2.95007,0.127619,3.02453,3.05715,136.533,2.44348,2.53322,80.9192,2.69866,2.64602,0.285632,2.32912,2.52653,0.127619,2.6856,2.62802,All
137.167,2.52883,2.61629,81.2323,2.83746,2.76536,0.290873,2.40258,2.59931,0.131884,2.82536,2.74328,137.167,2.82028,2.94346,81.2323,3.04581,3.06725,0.290873,2.83608,2.94805,0.131884,3.02926,3.05935,137.167,2.50033,2.5347,81.2323,2.70133,2.64922,0.290873,2.34517,2.528,0.131884,2.68838,2.63099,All
137.8,2.60195,2.62045,81.5455,2.84025,2.77035,0.296113,2.40082,2.60364,0.136149,2.82819,2.74806,137.8,2.84241,2.94173,81.5455,3.05007,3.06948,0.296113,2.81782,2.94602,0.136149,3.03399,3.06155,137.8,2.55719,2.53617,81.5455,2.704,2.65241,0.296113,2.36123,2.52947,0.136149,2.69117,2.63395,All
138.433,2.63741,2.6246,81.8586,2.84303,2.77533,0.301354,2.39905,2.60797,0.140415,2.83101,2.75284,138.433,2.92371,2.93999,81.8586,3.05434,3.07172,0.301354,2.79957,2.944,0.140415,3.03872,3.06375,138.433,2.61506,2.53765,81.8586,2.70668,2.65561,0.301354,2.37728,2.53095,0.140415,2.69395,2.63692,All
139.067,2.60271,2.62876,82.1717,2.84582,2.78031,0.306595,2.39728,2.61229,0.14468,2.83383,2.75763,139.067,3.04873,2.93826,82.1717,3.05861,3.07396,0.306595,2.78131,2.94197,0.14468,3.04345,3.06594,139.067,2.65825,2.53912,82.1717,2.70935,2.65881,0.306595,2.39333,2.53242,0.14468,2.69674,2.63989,All
139.7,2.61462,2.63292,82.4848,2.84861,2.78529,0.311835,2.46508,2.61662,0.148945,2.83665,2.76241,139.7,3.03934,2.93653,82.4848,3.06288,3.07619,0.311835,2.79873,2.93995,0.148945,3.04818,3.06814,139.7,2.64042,2.54059,82.4848,2.71202,2.662,0.311835,2.44933,2.5339,0.148945,2.69952,2.64286,All
140.333,2.62653,2.63708,82.798,2.85139,2.79027,0.317076,2.54711,2.62095,0.153211,2.83948,2.7672,140.333,3.02995,2.9348,82.798,3.06715,3.07843,0.317076,2.82344,2.93793,0.153211,3.05291,3.07034,140.333,2.6226,2.54207,82.798,2.7147,2.6652,0.317076,2.51351,2.53537,0.153211,2.7023,2.64583,All
140.967,2.63845,2.64124,83.1111,2.85418,2.79526,0.322316,2.62005,2.62528,0.157476,2.8423,2.77198,140.967,3.02057,2.93306,83.1111,3.07141,3.08067,0.322316,2.86293,2.9359,0.157476,3.05764,3.07254,140.967,2.60478,2.54354,83.1111,2.71737,2.6684,0.322316,2.57814,2.53685,0.157476,2.70509,2.6488,All
141.6,2.65036,2.6454,83.4242,2.85696,2.80024,0.327557,2.65233,2.62961,0.161742,2.84512,2.77676,141.6,3.01118,2.93133,83.4242,3.07568,3.0829,0.327557,2.96846,2.93388,0.161742,3.06237,3.07473,141.6,2.58696,2.54502,83.4242,2.72004,2.67159,0.327557,2.64478,2.53832,0.161742,2.70787,2.65177,All
142.233,2.66228,2.64955,83.7374,2.85975,2.80522,0.332798,2.61239,2.63394,0.166007,2.84795,2.78155,142.233,3.00179,2.9296,83.7374,3.07995,3.08514,0.332798,3.04064,2.93185,0.166007,3.0671,3.07693,142.233,2.56914,2.54649,83.7374,2.72272,2.67479,0.332798,2.64612,2.5398,0.166007,2.71066,2.65474,All
142.867,2.67419,2.65371,84.0505,2.86253,2.8102,0.338038,2.62599,2.63826,0.170272,2.85077,2.78633,142.867,2.9924,2.92787,84.0505,3.08422,3.08738,0.338038,3.0296,2.92983,0.170272,3.07183,3.07913,142.867,2.55132,2.54797,84.0505,2.72539,2.67799,0.338038,2.62517,2.54127,0.170272,2.71344,2.65771,All
143.5,2.68611,2.65787,84.3636,2.86532,2.81519,0.343279,2.63958,2.64259,0.174538,2.85359,2.79112,143.5,2.98302,2.92613,84.3636,3.08848,3.08961,0.343279,3.01856,2.9278,0.174538,3.07656,3.08133,143.5,2.5335,2.54944,84.3636,2.72806,2.68118,0.343279,2.60423,2.54275,0.174538,2.71622,2.66068,All
144.133,2.69252,2.66203,84.6768,2.8681,2.82017,0.348519,2.65318,2.64692,0.178803,2.85641,2.7959,144.133,2.97992,2.9244,84.6768,3.09275,3.09185,0.348519,3.00753,2.92578,0.178803,3.08129,3.08352,144.133,2.52657,2.55092,84.6768,2.73074,2.68438,0.348519,2.58328,2.54422,0.178803,2.71901,2.66364,All
144.767,2.69641,2.66619,84.9899,2.87089,2.82515,0.35376,2.66678,2.65125,0.183068,2.85924,2.80068,144.767,2.97973,2.92267,84.9899,3.09702,3.09408,0.35376,2.99649,2.92376,0.183068,3.08602,3.08572,144.767,2.52468,2.55239,84.9899,2.73341,2.68758,0.35376,2.56234,2.5457,0.183068,2.72179,2.66661,All
145.4,2.70029,2.67035,85.303,2.87368,2.83013,0.359001,2.68037,2.65558,0.187334,2.86206,2.80547,145.4,2.97954,2.92093,85.303,3.10129,3.09632,0.359001,2.98545,2.92173,0.187334,3.09075,3.08792,145.4,2.52278,2.55387,85.303,2.73608,2.69078,0.359001,2.54139,2.54717,0.187334,2.72458,2.66958,All
146.033,2.70417,2.67451,85.6162,2.87646,2.83511,0.364241,2.69104,2.6599,0.191599,2.86488,2.81025,146.033,2.97935,2.9192,85.6162,3.10555,3.09856,0.364241,2.9779,2.91971,0.191599,3.09548,3.09012,146.033,2.52089,2.55534,85.6162,2.73876,2.69397,0.364241,2.52638,2.54864,0.191599,2.72736,2.67255,All
146.667,2.70805,2.67866,85.9293,2.87925,2.8401,0.369482,2.69551,2.66423,0.195865,2.86771,2.81504,146.667,2.97915,2.91747,85.9293,3.10982,3.10079,0.369482,2.97771,2.91768,0.195865,3.10021,3.09231,146.667,2.51899,2.55682,85.9293,2.74143,2.69717,0.369482,2.5239,2.55012,0.195865,2.73014,2.67552,All
147.3,2.71194,2.68282,86.2424,2.88203,2.84508,0.374722,2.69998,2.66856,0.20013,2.87053,2.81982,147.3,2.97896,2.91574,86.2424,3.11409,3.10303,0.374722,2.97752,2.91566,0.20013,3.10494,3.09451,147.3,2.5171,2.55829,86.2424,2.7441,2.70037,0.374722,2.52142,2.55159,0.20013,2.73293,2.67849,All
147.933,2.71582,2.68698,86.5556,2.88482,2.85006,0.379963,2.70445,2.67289,0.204395,2.87335,2.8246,147.933,2.97877,2.914,86.5556,3.11836,3.10527,0.379963,2.97733,2.91363,0.204395,3.10967,3.09671,147.933,2.51521,2.55976,86.5556,2.74678,2.70356,0.379963,2.51894,2.55307,0.204395,2.73571,2.68146,All
148.567,2.7197,2.69114,86.8687,2.8876,2.85504,0.385204,2.70892,2.67722,0.208661,2.87618,2.82939,148.567,2.97858,2.91227,86.8687,3.12262,3.1075,0.385204,2.97714,2.91161,0.208661,3.1144,3.09891,148.567,2.51331,2.56124,86.8687,2.74945,2.70676,0.385204,2.51647,2.55454,0.208661,2.7385,2.68443,All
149.2,2.72358,2.6953,87.1818,2.89039,2.86002,0.390444,2.71339,2.68154,0.212926,2.879,2.83417,149.2,2.97839,2.91054,87.1818,3.12689,3.10974,0.390444,2.97695,2.90959,0.212926,3.11913,3.1011,149.2,2.51142,2.56271,87.1818,2.75212,2.70996,0.390444,2.51399,2.55602,0.212926,2.74128,2.6874,All
149.833,2.72747,2.69946,87.4949,2.89317,2.86501,0.395685,2.71786,2.68587,0.217191,2.88182,2.83895,149.833,2.9782,2.90881,87.4949,3.13116,3.11198,0.395685,2.97676,2.90756,0.217191,3.12386,3.1033,149.833,2.50952,2.56419,87.4949,2.7548,2.71315,0.395685,2.51151,2.55749,0.217191,2.74407,2.69036,All
150.467,2.73135,2.70362,87.8081,2.89596,2.86999,0.400925,2.72234,2.6902,0.221457,2.88464,2.84374,150.467,2.97801,2.90707,87.8081,3.13543,3.11421,0.400925,2.97657,2.90554,0.221457,3.12859,3.1055,150.467,2.50763,2.56566,87.8081,2.75747,2.71635,0.400925,2.50903,2.55897,0.221457,2.74685,2.69333,All
151.1,2.73523,2.70777,88.1212,2.89875,2.87497,0.406166,2.72681,2.69453,0.225722,2.88747,2.84852,151.1,2.97781,2.90534,88.1212,3.13969,3.11645,0.406166,2.97638,2.90351,0.225722,3.13332,3.1077,151.1,2.50573,2.56714,88.1212,2.76014,2.71955,0.406166,2.50655,2.56044,0.225722,2.74963,2.6963,All
151.733,2.73912,2.71193,88.4343,2.90153,2.87995,0.411407,2.73128,2.69886,0.229988,2.89029,2.85331,151.733,2.97762,2.90361,88.4343,3.14396,3.11868,0.411407,2.97619,2.90149,0.229988,3.13805,3.10989,151.733,2.50384,2.56861,88.4343,2.76282,2.72274,0.411407,2.50408,2.56192,0.229988,2.75242,2.69927,All
152.367,2.743,2.71609,88.7475,2.90432,2.88494,0.416647,2.73575,2.70319,0.234253,2.89311,2.85809,152.367,2.97743,2.90188,88.7475,3.14823,3.12092,0.416647,2.976,2.89947,0.234253,3.14278,3.11209,152.367,2.50194,2.57009,88.7475,2.76549,2.72594,0.416647,2.5016,2.56339,0.234253,2.7552,2.70224,All
153,2.74688,2.72025,89.0606,2.9071,2.88992,0.421888,2.74022,2.70751,0.238518,2.89594,2.86287,153,2.97724,2.90014,89.0606,3.1525,3.12316,0.421888,2.97581,2.89744,0.238518,3.14752,3.11429,153,2.50005,2.57156,89.0606,2.76816,2.72914,0.421888,2.49912,2.56487,0.238518,2.75799,2.70521,All
153.633,2.75076,2.72441,89.3737,2.90989,2.8949,0.427128,2.74469,2.71184,0.242784,2.89876,2.86766,153.633,2.97705,2.89841,89.3737,3.15677,3.12539,0.427128,2.97562,2.89542,0.242784,3.15225,3.11649,153.633,2.49815,2.57304,89.3737,2.77084,2.73234,0.427128,2.49664,2.56634,0.242784,2.76077,2.70818,All
154.267,2.75465,2.72857,89.6869,2.91267,2.89988,0.432369,2.74917,2.71617,0.247049,2.90158,2.87244,154.267,2.97686,2.89668,89.6869,3.16103,3.12763,0.432369,2.97542,2.89339,0.247049,3.15698,3.11868,154.267,2.49626,2.57451,89.6869,2.77351,2.73553,0.432369,2.49416,2.56781,0.247049,2.76355,2.71115,All
154.9,2.75853,2.73272,90,2.91546,2.90486,0.43761,2.75364,2.7205,0.251314,2.9044,2.87723,154.9,2.97666,2.89494,90,3.1653,3.12987,0.43761,2.97523,2.89137,0.251314,3.16171,3.12088,154.9,2.49436,2.57599,90,2.77618,2.73873,0.43761,2.49168,2.56929,0.251314,2.76634,2.71412,All
