iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
139,472.15,1,13.6122,18.368,25.6877,13.5876,1.45548,0.0464884,0.263466,1.284,0.252234,0.987055
140,477.01,1,13.5322,18.3472,25.9451,12.7883,1.42583,0.0496403,0.258943,1.3746,0.257096,0.989804
141,473.282,1,13.5144,20.7934,26.0671,12.7797,1.42581,0.0477173,0.25712,1.26857,0.272609,0.969904
142,478.839,1,13.6303,18.3749,26.5879,11.389,1.42594,0.0529267,0.26286,1.21061,0.246688,1.06343
143,479.801,1,13.6012,19.4621,26.1335,11.6456,1.42589,0.0523882,0.269622,1.22936,0.238897,1.14832
144,473.287,1,13.603,18.8563,25.9015,11.8866,1.30076,0.0551124,0.263122,1.16775,0.225281,1.23762
145,475.347,1,13.5329,18.9309,25.8192,10.4152,1.3659,0.0527386,0.260939,1.16714,0.233147,1.21349
146,481.045,1,13.4794,15.7892,25.8229,11.0162,1.53557,0.0478016,0.262075,1.06733,0.244929,1.24542
147,471.898,1,13.4273,16.7567,25.9155,12.187,1.37838,0.0555798,0.258529,1.00132,0.215683,1.14286
148,477.634,1,13.6268,18.4324,26.1256,10.958,1.42555,0.0516741,0.271188,1.10483,0.239724,1.18968
149,468.827,1,13.5144,18.2177,25.7459,9.9216,1.49877,0.0464313,0.261164,0.895091,0.220752,1.29746
150,468.285,1,13.5367,19.1616,25.215,10.7012,1.49879,0.047719,0.252576,0.841695,0.237599,1.24633
151,466.983,1,13.6798,19.7036,26.0222,10.8703,1.52376,0.0452443,0.259823,0.905416,0.234381,1.15308
152,468.782,1,13.5549,17.9378,25.837,10.8449,1.47442,0.0483746,0.262386,0.960611,0.233769,1.10702
153,455.256,1,13.5154,17.913,25.6938,11.7356,1.39648,0.0435935,0.250558,1.04323,0.228002,1.0746
154,471.269,1,13.4262,17.4508,25.7958,11.4643,1.52532,0.0406393,0.255625,1.10703,0.249993,1.25039
155,478.979,1,13.5469,19.1479,25.4378,11.4665,1.58331,0.0426998,0.256755,1.13908,0.254843,1.20123
156,471.265,1,13.6045,18.2311,25.627,13.0541,1.4434,0.0471935,0.259138,1.12717,0.266494,1.06082
157,471.752,1,13.5951,16.8084,25.6722,13.1465,1.3119,0.0556131,0.259871,1.19088,0.241048,1.03648
158,481.707,1,13.7343,18.4669,25.2642,12.9271,1.55571,0.0490801,0.271015,1.18982,0.252813,0.988781
159,480.207,1,13.5609,16.8563,25.2718,13.2882,1.4649,0.0507838,0.275819,1.12801,0.283139,0.980501
