iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tCLCRMLMIN,omega_Cl,omega_Q,omega_V1,omega_V2
2669,543.877,1,3.9177,25.1753,13.2002,1.44435,0.0428526,9.98559,3.24003,1.05398,0.29326,1.10598
2670,544.281,1,3.88581,25.4437,13.2854,1.31753,0.0498249,10.0438,3.36832,1.03621,0.284948,1.11451
2671,544.583,1,4.96752,25.764,14.2001,1.3551,0.0500855,9.04631,3.29217,1.07619,0.287114,1.00943
2672,548.847,1,4.89204,25.8863,13.1331,1.40542,0.0495403,9.07026,3.26814,1.09283,0.292297,1.02316
2673,551.744,1,5.60835,25.1946,13.5008,1.40545,0.0496532,8.54999,3.33228,1.13404,0.319542,0.966493
2674,553.319,1,4.79706,25.4359,12.4931,1.38591,0.0506705,9.21133,3.34184,1.2127,0.285689,1.06116
2675,548.719,1,4.62889,25.2708,12.7992,1.3859,0.0515446,9.46309,3.38356,1.1042,0.282513,0.992403
2676,544.973,1,5.74033,24.4319,12.9528,1.38586,0.0499794,8.26944,3.30254,1.1602,0.280581,0.903225
2677,540.59,1,5.32673,23.9305,13.5976,1.44351,0.0443673,8.71299,3.2517,1.26529,0.281185,0.815193
2678,539.606,1,5.17602,24.1241,13.3253,1.41654,0.0437523,8.83995,3.37405,1.16625,0.287816,0.887315
2679,541.122,1,5.6845,24.513,12.9072,1.39744,0.0482488,8.34552,3.4061,1.13128,0.264987,0.877254
2680,549.499,1,5.35327,24.5392,12.9342,1.53708,0.0470093,8.57464,3.34945,1.16184,0.26548,0.846997
2681,542.522,1,5.81869,24.1814,13.8728,1.47237,0.0472474,7.9214,3.31861,1.14452,0.248561,0.832095
2682,541.035,1,6.0071,23.9563,14.2029,1.47232,0.0459483,7.82008,3.32421,1.03477,0.26631,0.884377
2683,537.877,1,5.93168,24.3341,13.7729,1.49747,0.0448653,7.92266,3.21761,1.06064,0.246083,0.858827
2684,537.21,1,6.03768,24.4195,13.6444,1.49746,0.0450134,7.84245,3.28114,1.00308,0.246965,0.876106
2685,539.915,1,5.8043,23.9507,13.1728,1.49745,0.0434172,8.19973,3.37517,1.15997,0.234386,0.874316
2686,547.699,1,4.69032,24.5992,12.4986,1.5328,0.0448922,9.29478,3.32614,1.106,0.258305,0.963133
2687,545.021,1,3.7444,25.2248,13.0358,1.4843,0.0459393,10.3186,3.33423,1.16715,0.233684,0.998293
2688,548.595,1,4.7416,25.5461,11.4624,1.42775,0.0469237,9.33827,3.45131,1.20535,0.25233,1.06744
2689,535.777,1,5.29387,25.4075,12.2044,1.4232,0.042954,8.73707,3.36936,1.17485,0.244551,0.933977
2690,535.722,1,5.80107,25.0132,12.6304,1.48577,0.0403359,8.23089,3.37911,1.24639,0.228862,0.900068
2691,539.001,1,5.24466,24.674,12.7961,1.5496,0.0410187,8.77355,3.39246,1.15125,0.22171,0.910888
2692,535.105,1,5.70615,24.3317,12.3266,1.48434,0.0417725,8.37478,3.43697,1.25002,0.20427,0.908014
2693,537.292,1,5.87138,24.6763,11.3825,1.51593,0.042478,8.13115,3.46126,1.11036,0.209418,0.93157
2694,537.41,1,5.34842,24.3215,12.3886,1.49175,0.0452392,8.50011,3.3464,1.02878,0.228631,0.891314
2695,540.284,1,5.90433,24.6773,12.1325,1.46894,0.0449363,7.97841,3.42884,1.04247,0.230841,1.00692
2696,534.121,1,4.92103,24.62,12.8225,1.44276,0.0441986,8.99504,3.3459,1.0437,0.224,0.963256
2697,538.953,1,5.0951,24.3513,12.1645,1.4721,0.0450645,8.90017,3.38209,1.12505,0.214963,0.963794
2698,538.177,1,4.88749,24.3286,13.6236,1.47211,0.0443768,9.11337,3.32295,1.22283,0.202017,0.947671
2699,547.403,1,4.58423,24.4744,11.5788,1.47223,0.0482497,9.46552,3.41663,1.30508,0.203381,0.991705
2700,545.445,1,5.06325,24.8667,11.8599,1.43285,0.0520797,8.88011,3.263,1.2283,0.196253,0.990724
2701,548.849,1,5.38095,25.0452,12.8536,1.64133,0.0460214,8.58725,3.25802,1.09899,0.208699,0.92439
2702,551.231,1,4.54833,24.3617,12.9541,1.7017,0.0407199,9.41291,3.12827,1.10667,0.234754,0.992917
2703,549.308,1,4.80715,24.141,14.4967,1.66616,0.0431521,9.05675,3.1415,1.06473,0.229371,0.970518
2704,560.181,1,3.67064,23.4796,16.7103,1.62255,0.047136,10.3162,3.30916,1.20036,0.246122,1.03078
2705,559.544,1,3.79025,23.8729,14.3783,1.53558,0.0528497,10.2257,3.29375,1.26512,0.220153,1.0339
2706,552.875,1,5.14224,23.5348,13.4993,1.51313,0.0511921,8.67665,3.22838,1.19315,0.20644,1.06155
2707,558.921,1,5.83479,23.3033,13.0379,1.67234,0.0487419,8.01964,3.28323,1.19918,0.196668,1.01472
2708,553.413,1,4.96019,23.2333,14.5906,1.56408,0.047578,9.11727,3.33995,1.27242,0.218264,0.993416
2709,545.934,1,5.78126,22.5659,15.4014,1.5641,0.0469924,8.2115,3.27203,1.21435,0.217407,0.826788
2710,540.064,1,4.96903,22.62,14.5977,1.5182,0.0461892,8.92743,3.35267,1.01463,0.229849,0.873315
2711,540.349,1,4.92279,22.4476,16.8437,1.57585,0.0433121,8.9884,3.30036,1.09798,0.229463,0.831608
2712,538.119,1,4.65852,22.9706,15.3971,1.61433,0.0401142,9.24281,3.26901,1.06799,0.21643,0.888513
2713,535.371,1,5.48136,23.8199,13.1731,1.61426,0.0382846,8.35468,3.30474,1.05773,0.233715,0.849308
2714,544.188,1,4.40241,23.3798,12.1996,1.59016,0.0440865,9.56095,3.28075,1.00664,0.236956,0.936197
2715,527.754,1,5.13597,23.2349,12.4296,1.52948,0.0361887,8.78741,3.26725,1.02777,0.240503,0.883659
2716,532.908,1,4.42389,23.7213,11.7673,1.6436,0.0304336,9.61493,3.40935,1.02024,0.238188,0.958533
2717,540.926,1,4.44893,23.5371,12.2115,1.67803,0.0300992,9.49938,3.30804,1.14474,0.256679,0.976928
2718,534.294,1,4.96783,23.5978,12.04,1.52995,0.0342145,9.09093,3.46664,1.13509,0.267894,0.924322
2719,532.974,1,4.47389,23.9644,12.4385,1.60717,0.031464,9.54556,3.28914,1.03246,0.269592,0.926248
2720,534.81,1,5.6006,23.505,13.1316,1.63291,0.0319268,8.39028,3.47386,0.992142,0.287204,0.823359
2721,534.021,1,5.35401,23.8449,13.4867,1.63288,0.0315899,8.53388,3.43815,1.00751,0.29492,0.803119
2722,538.335,1,5.43563,24.1138,14.2214,1.65811,0.032913,8.58823,3.35409,1.06531,0.290902,0.794221
2723,534.949,1,4.01545,24.1992,14.033,1.60427,0.0353459,10.025,3.37575,1.03966,0.290667,0.750179
2724,535.549,1,4.80281,24.1014,13.44,1.68902,0.0321127,9.21108,3.37207,1.06029,0.278686,0.714233
2725,539.243,1,5.05748,24.0848,13.1606,1.68915,0.0364331,8.86521,3.38254,0.952586,0.27239,0.769913
2726,542.244,1,5.33653,24.6613,12.0855,1.59574,0.0386113,8.57672,3.35385,0.96387,0.298002,0.892027
2727,543.675,1,5.45358,24.4275,11.503,1.70571,0.0363976,8.44124,3.31312,0.904649,0.301012,0.820289
2728,541.937,1,5.80406,24.7489,12.2076,1.57383,0.0403627,7.97224,3.30705,0.896781,0.298054,0.927765
2729,536.448,1,5.8761,24.8192,12.4748,1.60984,0.0369477,7.94783,3.32824,0.795507,0.316226,0.870881
2730,537.017,1,5.24776,24.9552,12.2652,1.55142,0.0409715,8.73339,3.27917,0.841511,0.303885,0.87886
2731,526.923,1,5.52387,25.3082,13.7368,1.5468,0.0368007,8.32507,3.15473,0.821459,0.290733,0.854067
2732,519.128,1,4.37241,25.2238,12.8958,1.49427,0.0341738,9.47315,3.2703,0.775851,0.293657,0.869135
2733,530.711,1,3.90627,25.3786,11.7649,1.62692,0.029719,9.88275,3.16613,0.876137,0.293049,0.981602
2734,531.825,1,5.11102,24.6253,11.3567,1.6071,0.0315957,8.66146,3.07714,0.811548,0.299188,1.07691
2735,537.958,1,4.49547,25.0023,10.74,1.6831,0.0322004,9.49976,3.32697,0.792762,0.28022,1.06021
2736,542.966,1,5.14011,24.8269,10.7721,1.55212,0.0417888,8.71493,3.22518,0.80018,0.281706,1.17048
2737,544.801,1,4.14308,25.417,10.7537,1.64061,0.0385493,9.66076,3.19468,0.773436,0.288274,1.16352
2738,551.065,1,4.27457,25.7136,10.4322,1.53571,0.0471194,9.63329,3.1814,0.796627,0.270264,1.3315
2739,540.694,1,3.65597,25.819,11.2334,1.5618,0.037722,10.256,3.1698,0.90118,0.27494,1.18805
2740,543.499,1,5.11973,25.5463,10.2811,1.56183,0.0386556,8.68547,3.02175,0.851502,0.308074,1.25435
2741,550.821,1,4.57465,25.2652,10.9897,1.59115,0.0405778,9.13163,3.04756,0.888006,0.297638,1.30316
2742,547.026,1,5.24668,25.2688,10.9222,1.59113,0.0393836,8.57425,3.15925,0.817068,0.312578,1.21909
2743,544.968,1,5.41074,25.5112,12.1505,1.64448,0.0362649,8.3602,3.12394,0.87541,0.298688,1.12514
2744,539.831,1,6.06458,25.0389,11.511,1.61782,0.0355779,7.8743,3.17669,0.868444,0.302004,1.03148
2745,537.318,1,5.19214,24.8671,11.7483,1.58284,0.0388743,8.77847,3.10247,0.823163,0.302172,0.975424
2746,545.395,1,5.09887,25.2285,11.6342,1.65768,0.0419826,8.85811,3.21587,0.825514,0.29656,0.902034
2747,537.353,1,4.81297,24.7795,11.8916,1.59751,0.0413716,9.20915,3.37239,0.827013,0.266636,0.863938
2748,548.531,1,4.62544,24.9454,11.1394,1.5704,0.0453496,9.56477,3.51056,0.935863,0.275486,0.92569
2749,546.239,1,5.42082,25.2557,12.113,1.50041,0.0458269,8.67628,3.5761,0.993562,0.282604,0.908246
2750,541.487,1,5.18385,25.095,11.6188,1.42816,0.0466018,8.81763,3.36043,1.06388,0.261009,0.961356
2751,547.187,1,5.87009,24.7507,13.3071,1.49514,0.0441399,8.19109,3.40275,1.16907,0.257159,1.00651
2752,538.453,1,5.577,24.5662,12.6007,1.45829,0.0442548,8.44257,3.31827,1.13117,0.249203,0.908516
2753,548.53,1,4.76798,24.5001,12.4831,1.48746,0.0472019,9.43025,3.56836,1.22075,0.252463,0.866754
2754,550.18,1,4.62658,25.0704,13.1151,1.60317,0.0426732,9.54374,3.48837,1.22216,0.253833,0.856695
2755,542.806,1,5.40018,25.5083,12.9725,1.54082,0.0404897,8.70168,3.47661,1.13807,0.257888,0.914744
2756,541.469,1,5.4656,25.9317,11.8396,1.54085,0.041747,8.7151,3.49046,1.08954,0.255391,0.907818
2757,542.823,1,5.71482,25.6792,12.1398,1.44945,0.0486824,8.36806,3.38004,1.04295,0.250235,0.923466
2758,540.285,1,4.75826,25.4242,11.8421,1.50101,0.0445482,9.45072,3.54579,1.01346,0.25954,0.86426
2759,540.524,1,4.54006,24.8576,11.4746,1.60616,0.0401163,9.56669,3.46856,0.946895,0.261957,0.865218
2760,542.769,1,4.1258,25.0896,11.6866,1.56705,0.0415178,9.83381,3.36039,0.990127,0.266379,0.936617
2761,550.428,1,5.33097,25.0825,11.4125,1.62621,0.0421236,8.81534,3.58514,0.956045,0.277761,0.948599
2762,536.733,1,5.53856,25.0546,11.4951,1.51424,0.0400654,8.41105,3.39143,1.02629,0.258936,0.925513
2763,540.577,1,5.685,24.6837,11.8761,1.59463,0.0394973,8.32022,3.34283,1.01789,0.247309,0.942968
2764,536.617,1,5.08512,24.32,13.0309,1.61729,0.0379659,8.86586,3.47146,0.954577,0.241871,0.868088
2765,536.889,1,4.77563,24.2889,13.2714,1.48628,0.0433681,9.08583,3.39292,1.06972,0.23297,0.90752
2766,536.798,1,5.28606,24.072,12.7625,1.48628,0.0440856,8.56736,3.3092,1.06854,0.226462,0.931653
2767,543.374,1,6.24347,24.0678,11.8831,1.56551,0.0422359,7.63943,3.39071,1.04969,0.232612,0.981168
2768,537.916,1,5.59133,23.196,12.189,1.46966,0.0444607,8.24258,3.22096,1.06429,0.234419,0.974813
2769,536.29,1,6.22417,22.8408,13.285,1.53751,0.0436825,7.5864,3.22651,1.02107,0.231267,0.855265
2770,542.445,1,5.70715,23.4295,13.077,1.5376,0.0469133,8.20444,3.23359,1.06131,0.221783,0.893699
2771,535.021,1,5.08097,23.1374,13.9528,1.59652,0.0382671,8.8917,3.32723,1.09835,0.223384,0.843296
2772,536.045,1,5.12054,23.4612,12.647,1.59648,0.0366971,8.91882,3.41104,1.10087,0.235172,0.880522
2773,534.387,1,5.7346,23.4805,12.6939,1.48543,0.0427473,8.11197,3.27806,1.10721,0.223752,0.888782
2774,529.476,1,5.34293,24.0002,12.5732,1.48534,0.0398081,8.55445,3.14618,1.19212,0.210792,0.920952
2775,530.204,1,5.09337,23.9405,13.2775,1.48533,0.0389998,8.80634,3.2281,1.20749,0.191445,1.01095
2776,540.449,1,4.80298,24.0953,13.2085,1.53864,0.0451613,9.17283,3.32219,1.1344,0.191716,0.969163
2777,549.346,1,5.27579,23.5886,14.1118,1.53874,0.0502654,8.67879,3.29458,1.26832,0.188066,0.962561
2778,551.266,1,4.10045,23.4061,14.4272,1.66585,0.0452701,9.94911,3.32057,1.2863,0.188703,0.90661
2779,541.031,1,4.22633,23.3992,12.096,1.64514,0.0408726,9.87936,3.40067,1.12047,0.190884,0.908629
2780,532.181,1,4.33447,23.1386,12.0303,1.57191,0.0389614,9.75027,3.46486,1.03026,0.197569,0.912322
2781,533.512,1,6.02937,23.8669,12.6544,1.45763,0.0464049,8.06037,3.58754,1.03394,0.177411,0.985592
2782,530.489,1,5.10981,23.4092,12.5435,1.50837,0.0462447,8.84544,3.31868,1.05972,0.158069,0.928035
2783,532.336,1,5.03261,23.5723,13.19,1.56002,0.041544,8.89631,3.33308,1.124,0.169259,0.937374
2784,528.023,1,5.64428,23.4772,13.8972,1.4886,0.041967,8.27365,3.34891,1.09146,0.181659,0.92293
2785,534.973,1,5.02244,23.1481,13.2921,1.48864,0.0432782,9.03545,3.42974,1.16046,0.198031,0.926476
2786,532.69,1,5.08745,23.3908,13.0327,1.51906,0.0382086,8.96132,3.43642,1.0979,0.21881,0.957799
2787,526.405,1,4.61675,23.3181,12.7855,1.51905,0.0364623,9.43939,3.453,1.04434,0.217146,0.856508
2788,526.785,1,5.54388,22.7622,12.2896,1.49907,0.037883,8.56048,3.56955,0.972478,0.235782,0.855027
2789,521.163,1,5.33739,22.7035,12.7529,1.47482,0.0351478,8.72825,3.4518,1.02374,0.224585,0.890415
2790,531.859,1,5.20165,23.1332,13.8067,1.54296,0.0360456,8.76864,3.42961,1.09149,0.233161,0.907595
2791,530.23,1,4.73119,23.3723,13.9891,1.60862,0.0339414,9.31603,3.42365,1.08284,0.233281,0.799736
2792,544.082,1,4.28723,23.4602,14.345,1.74038,0.0297683,9.76433,3.51763,1.161,0.254627,0.867569
2793,538.592,1,5.42223,23.3292,13.4076,1.68437,0.0340879,8.53177,3.37426,1.0311,0.240828,0.875317
2794,541.793,1,4.70614,23.2646,13.7695,1.58542,0.0412423,9.31536,3.37542,1.16134,0.228445,0.868153
2795,547.133,1,4.99959,23.4423,15.1078,1.53463,0.0465878,8.94528,3.34903,1.26457,0.212114,0.913601
2796,538.072,1,4.61612,23.2922,14.5608,1.50078,0.0443328,9.30924,3.26777,1.24998,0.226376,0.795517
2797,539.619,1,5.42749,23.9911,14.6848,1.47685,0.0466624,8.51884,3.24683,1.22599,0.231521,0.8066
2798,537.791,1,5.70777,23.9524,13.3333,1.55133,0.0413614,8.29211,3.38568,1.10949,0.245271,0.80281
2799,528.923,1,5.44506,23.4762,13.7856,1.4247,0.0433087,8.48088,3.26324,1.03998,0.25152,0.825192
2800,543.075,1,5.52916,23.6988,13.3089,1.42186,0.0493391,8.43894,3.41917,1.13436,0.280352,0.773975
2801,527.843,1,6.50861,23.6158,14.0236,1.51061,0.0410783,7.38817,3.34804,0.950025,0.233581,0.802981
2802,529.157,1,5.93071,23.76,14.1158,1.51062,0.0407076,8.01399,3.30786,0.888326,0.248796,0.86108
2803,527.258,1,5.31834,24.2696,13.063,1.44942,0.0427343,8.60373,3.23894,0.895292,0.244194,0.906336
2804,525.405,1,4.8096,24.7871,13.336,1.42874,0.0438361,9.11904,3.23618,0.853929,0.231192,0.945022
2805,528.287,1,4.32307,25.0719,12.3906,1.47049,0.0432582,9.66572,3.35438,0.845891,0.238652,0.899677
2806,540.81,1,5.96108,24.6415,11.9285,1.56637,0.0401594,8.09317,3.47419,1.03482,0.254328,0.907342
2807,536.38,1,5.72427,24.402,13.5292,1.53418,0.0421701,8.1295,3.35655,0.927668,0.271118,0.838709
2808,534.886,1,4.72848,24.1078,12.906,1.53409,0.0384801,9.15888,3.38714,0.943524,0.284994,0.849553
2809,536.672,1,5.37145,24.5557,12.1294,1.56964,0.0390694,8.63036,3.34576,0.945491,0.285432,0.835695
2810,539.225,1,4.5038,24.3268,11.788,1.52538,0.0392677,9.52349,3.31697,1.06503,0.299374,0.870459
2811,541.886,1,5.7657,24.2634,12.4152,1.46158,0.0415578,8.24098,3.35272,1.02036,0.3261,0.957945
2812,540.578,1,5.39176,23.9168,12.1791,1.5572,0.0376174,8.54464,3.42798,1.04952,0.291054,0.899701
2813,544.049,1,5.92541,23.9763,13.6821,1.46065,0.0441061,7.97732,3.29533,1.11238,0.289916,0.951774
2814,535.858,1,5.18866,24.8813,13.6592,1.46055,0.0405415,8.74747,3.34744,1.02517,0.28863,0.974409
2815,545.462,1,5.05738,25.2649,12.4926,1.41201,0.0462117,8.78815,3.3051,1.14084,0.288686,0.984308
2816,544.537,1,5.43278,24.8951,12.4915,1.50238,0.0409181,8.46398,3.4292,1.0917,0.298241,0.948002
2817,541.873,1,4.32567,24.6284,13.182,1.50238,0.0407272,9.64624,3.39419,1.04001,0.309308,0.903879
2818,543.129,1,5.89461,24.3843,12.8903,1.50243,0.0417058,7.93185,3.21427,1.11815,0.292335,0.897382
2819,535.189,1,5.65856,23.6718,14.7928,1.50237,0.0380588,8.24719,3.35061,1.08769,0.29554,0.786127
2820,540.942,1,6.39537,23.5112,13.9539,1.53125,0.0421365,7.54415,3.46202,1.06968,0.273453,0.813638
2821,534.275,1,5.31692,24.1105,14.2613,1.53122,0.0410511,8.52486,3.36346,1.18831,0.233313,0.76785
2822,536.057,1,5.75944,24.3045,12.9371,1.57334,0.0405858,8.1904,3.32231,1.05228,0.235537,0.832459
2823,535.248,1,5.92757,24.0125,13.1261,1.49156,0.0427377,8.02639,3.45389,1.03991,0.230666,0.894014
2824,536.906,1,5.58802,23.9078,12.7219,1.55294,0.0387687,8.22474,3.33104,1.04436,0.245506,0.925229
2825,530.503,1,4.60743,24.2631,13.4127,1.43588,0.0435489,9.38822,3.30828,1.05883,0.232776,0.882368
2826,534.149,1,4.24848,24.0725,13.2293,1.46697,0.0439654,9.77069,3.35413,1.05198,0.231736,0.887566
2827,540.591,1,5.53323,24.1707,11.9841,1.46701,0.0469101,8.40314,3.37737,1.07497,0.229519,0.946431
2828,541.613,1,5.77186,24.4481,11.8915,1.5911,0.0433731,8.28769,3.47944,0.987784,0.22416,0.90221
2829,534.336,1,6.1315,24.2219,11.2538,1.54372,0.042229,7.95805,3.4089,0.960471,0.217704,0.904109
2830,538.143,1,4.22686,23.9106,11.7236,1.57125,0.0428133,9.78327,3.23344,0.952578,0.224044,0.965883
2831,540.644,1,5.38768,24.4632,11.9545,1.57125,0.0422948,8.46757,3.18225,1.006,0.222901,1.03188
2832,536.405,1,5.03583,24.0337,12.4963,1.54603,0.0420852,8.86744,3.19506,0.986781,0.216244,1.01435
2833,522.915,1,4.27798,23.2648,13.6457,1.48539,0.0413309,9.69008,3.25399,0.883806,0.194647,0.965993
2834,528.465,1,5.34464,23.2675,13.8334,1.44925,0.0431852,8.55311,3.21458,0.992524,0.210975,0.970491
2835,529.594,1,5.55817,23.1782,13.9316,1.43361,0.0449031,8.29969,3.35939,0.953592,0.22687,0.883665
2836,537.535,1,5.08222,23.59,13.9142,1.4545,0.0465358,8.84112,3.37208,1.05355,0.245761,0.839432
2837,535.181,1,4.9775,23.7582,13.9655,1.42526,0.0461125,9.00655,3.29697,1.06976,0.242023,0.884702
2838,535.841,1,5.16039,23.4339,13.6404,1.42527,0.0451736,8.71296,3.23396,1.07999,0.238056,0.935679
2839,536.184,1,5.71568,23.5016,13.2207,1.46694,0.0430418,8.1659,3.32728,1.06241,0.247839,0.914842
2840,540.217,1,5.18045,23.5998,12.7203,1.48597,0.0480432,8.82025,3.31722,0.94514,0.236527,0.940267
2841,548.435,1,4.44581,23.5055,13.861,1.54482,0.0493015,9.47178,3.30863,0.969564,0.242305,0.959605
2842,544.121,1,4.97207,23.4903,13.7702,1.45937,0.050543,8.90958,3.30019,1.07668,0.240189,0.880871
2843,534.568,1,3.90447,23.2665,12.351,1.52078,0.0419742,10.0825,3.37676,1.00699,0.24717,0.825341
2844,535.894,1,4.42364,23.1495,12.9096,1.52078,0.0436298,9.75977,3.57027,1.01104,0.242064,0.815857
2845,537.56,1,4.15856,23.3363,14.5688,1.55089,0.0423998,9.84447,3.4173,0.988387,0.254451,0.817948
2846,534.871,1,5.04715,23.1653,13.9456,1.51854,0.0416262,9.04108,3.41506,1.01612,0.258133,0.809103
2847,532.134,1,5.35211,23.9717,14.3824,1.44291,0.0443967,8.67739,3.38254,1.05029,0.254268,0.785947
2848,538.853,1,5.4704,23.9623,12.8358,1.52105,0.0441287,8.61999,3.39365,1.01442,0.258743,0.826297
2849,542.325,1,5.91127,23.9837,13.259,1.52106,0.0464792,8.0602,3.33004,1.02883,0.250211,0.897784
2850,550.371,1,5.1388,24.1527,12.6497,1.55839,0.0464374,8.75408,3.38715,1.00485,0.26217,0.98165
2851,544.451,1,5.16603,23.2316,12.3624,1.63199,0.0390896,8.85553,3.33973,1.03886,0.26124,0.912141
2852,547.123,1,5.65259,24.198,12.2467,1.74155,0.0340091,8.2414,3.21555,1.06337,0.268144,0.914407
2853,540.076,1,6.38079,24.5652,12.6717,1.63923,0.0366433,7.52645,3.27336,1.07998,0.252745,0.87484
2854,536.375,1,5.17978,24.5292,12.9321,1.63918,0.0359245,8.67423,3.25442,1.0521,0.255685,0.837413
2855,537.021,1,6.05908,24.4532,13.0402,1.52811,0.0385129,7.88958,3.2661,1.16285,0.26796,0.857262
2856,545.349,1,5.71265,24.4554,12.5106,1.53635,0.0442152,8.31652,3.41216,1.16269,0.25647,0.853508
2857,547.294,1,4.3334,24.2003,12.5218,1.53383,0.0485155,9.67334,3.34402,1.00971,0.26285,0.861697
2858,543.282,1,4.73063,24.3677,12.6281,1.45914,0.052611,9.3789,3.34545,1.02438,0.234057,0.835559
2859,548.587,1,5.13054,24.8097,12.5906,1.40202,0.0530455,8.94624,3.45788,1.08446,0.248149,0.959783
2860,550.842,1,5.18629,24.6359,11.2557,1.4722,0.0526321,9.02426,3.44918,1.02462,0.2468,0.964717
2861,538.69,1,5.87025,24.2309,12.2849,1.34843,0.0556818,8.06782,3.4026,0.870387,0.227888,0.950341
2862,534.749,1,5.51335,24.5605,11.7304,1.29888,0.0534754,8.40236,3.37341,0.888881,0.240558,0.985273
2863,537.258,1,5.02247,25.1662,11.2339,1.34298,0.0494499,8.92918,3.40328,0.971427,0.252033,1.0175
2864,538.674,1,5.27106,24.5212,11.3911,1.42486,0.0497259,8.55361,3.29865,0.964227,0.235827,0.929478
2865,537.444,1,5.19928,24.0711,12.1796,1.47171,0.0468775,8.72929,3.26639,0.889557,0.25135,0.947083
2866,537.381,1,5.79556,24.409,11.4296,1.52885,0.0422453,8.09256,3.39524,1.00878,0.218257,0.978886
2867,537.543,1,5.83627,24.351,11.809,1.46444,0.046244,8.21804,3.25749,1.0372,0.217714,1.00386
2868,542.959,1,5.17922,24.0453,10.9187,1.53475,0.0467945,8.94345,3.31417,1.04613,0.212347,0.980915
2869,544.228,1,5.19908,24.2426,11.5567,1.56539,0.0480833,8.83406,3.25109,1.09232,0.207317,0.889139
2870,535.322,1,4.89402,24.0158,11.7259,1.58776,0.038912,9.0769,3.32077,1.18514,0.198071,0.8833
2871,523.79,1,5.10964,24.2705,11.481,1.51556,0.0388711,8.78584,3.31849,0.960719,0.203564,0.874826
2872,525.261,1,5.36336,24.0726,12.6356,1.55838,0.0346783,8.56219,3.341,1.03325,0.212503,0.880375
2873,528.003,1,5.37368,24.2487,13.08,1.5584,0.0352297,8.63229,3.4145,0.931473,0.222839,0.973679
2874,532.168,1,5.67607,24.4539,12.4315,1.6146,0.0347154,8.22589,3.19732,0.997984,0.237856,0.919368
2875,531.998,1,4.15232,24.3543,12.6168,1.73828,0.0293899,9.76876,3.19805,1.03996,0.215995,0.862135
2876,525.767,1,3.75184,23.5225,12.6578,1.67177,0.0266424,10.3602,3.47186,1.06216,0.206915,0.890056
2877,523.623,1,3.68008,23.3752,12.6816,1.67186,0.0285652,10.4588,3.43119,0.937733,0.192398,0.921935
2878,523.782,1,4.10215,23.5215,12.4889,1.55639,0.0330715,9.82618,3.28831,1.01311,0.197768,1.01565
2879,520.451,1,3.86614,23.3439,12.2868,1.60904,0.0284658,10.0702,3.25483,0.976275,0.190477,1.03842
2880,526.443,1,3.90224,23.2814,12.9981,1.66406,0.0275971,10.1678,3.41282,0.985907,0.205174,0.985219
2881,533.131,1,4.76322,23.2292,13.1329,1.66419,0.0311486,9.15218,3.39255,1.02929,0.214653,0.959039
2882,528.201,1,4.88916,22.9294,13.1347,1.52265,0.0369582,9.07381,3.2978,1.01095,0.217163,0.990437
2883,537.889,1,4.35622,22.7836,12.6738,1.57655,0.0380843,9.68909,3.46729,1.07862,0.226818,0.951113
2884,534.111,1,4.75232,23.3853,11.805,1.60881,0.0392161,9.25898,3.39455,0.990341,0.198194,0.930954
2885,531.482,1,3.9307,23.9251,12.6601,1.5825,0.0417015,9.94693,3.30739,0.901386,0.201579,0.896567
2886,532.145,1,4.62006,24.45,12.9496,1.608,0.0386698,9.20783,3.26208,0.86012,0.216371,0.96837
2887,530.491,1,3.55256,24.0132,13.3097,1.67967,0.0335356,10.2901,3.23803,0.917607,0.223444,0.87328
2888,534.21,1,3.699,24.1424,12.7785,1.57305,0.0379726,10.1928,3.31636,1.02345,0.232109,0.913184
2889,532.016,1,4.73727,24.3643,13.3391,1.46991,0.0414524,9.20351,3.26303,0.999397,0.26286,0.881595
2890,536.017,1,5.59884,24.8623,12.9672,1.41428,0.0441054,8.25263,3.20327,1.05193,0.24871,1.0447
2891,539.433,1,5.48057,24.9141,13.4571,1.39096,0.0519253,8.39573,3.2238,1.04064,0.212808,0.995002
2892,539.901,1,5.70323,25.2964,12.6544,1.41952,0.0513333,8.13899,3.23996,1.03504,0.198466,1.04272
2893,538.786,1,4.59205,25.0407,13.2068,1.39667,0.0519531,9.47648,3.34215,1.15691,0.176824,1.02433
2894,541.056,1,4.34541,25.1162,12.7606,1.44068,0.0523998,9.61605,3.29205,1.0872,0.178776,1.02367
2895,543.184,1,5.0104,25.5006,11.8819,1.35314,0.0530513,8.82776,3.25379,1.20459,0.191286,1.10341
2896,549.893,1,4.99842,25.9447,12.9311,1.48536,0.0480569,8.92871,3.3598,1.51878,0.17584,1.05974
2897,561.376,1,5.70448,25.7791,12.3519,1.42226,0.0560563,8.16974,3.29991,1.59195,0.179112,1.19394
2898,562.466,1,5.21089,26.0859,13.752,1.33841,0.0612131,8.72524,3.2779,1.60281,0.19128,1.12979
2899,560.266,1,4.6229,25.6057,13.5109,1.21971,0.0633002,9.28155,3.24876,1.54067,0.214084,1.16397
2900,562.746,1,5.42253,25.3681,14.0893,1.30189,0.0598757,8.59954,3.3447,1.57504,0.222998,1.14392
2901,571.41,1,6.34025,25.6162,13.8461,1.32754,0.0653079,7.64372,3.36634,1.54513,0.233342,1.0809
