iteration,convergenceIndicator,phase,Km_logit_pop,V_logit_pop,Vm_logit_pop,a_,omega_Km_logit,omega_V_logit,omega_Vm_logit
316,-28.8191,1,1.76576,0.397772,28.1365,0.250329,0.109946,0.171529,0.253419
317,-24.5665,1,1.77678,0.394791,28.3076,0.25063,0.107162,0.174782,0.276836
318,-20.337,1,1.74729,0.395006,27.7047,0.263631,0.104448,0.170357,0.269826
319,-21.471,1,1.75588,0.40295,27.9861,0.256956,0.118069,0.166043,0.267124
320,-19.3803,1,1.77391,0.40587,28.6805,0.254858,0.11728,0.17118,0.270918
321,-10.0889,1,1.78032,0.396668,28.2013,0.267461,0.121987,0.166846,0.274907
322,-15.9041,1,1.8077,0.389225,28.6639,0.26693,0.118899,0.162621,0.267946
323,-21.0246,1,1.81047,0.395094,29.0974,0.260171,0.115888,0.166337,0.261162
324,-19.7793,1,1.82857,0.379528,28.2745,0.256373,0.126747,0.162125,0.259463
325,-12.0026,1,1.83459,0.384349,28.6855,0.266085,0.131408,0.164968,0.252894
326,-13.6508,2,1.79856,0.385188,28.5923,0.270932,0.139545,0.160791,0.24649
327,-11.8776,2,1.83506,0.384022,28.897,0.267468,0.136012,0.179301,0.240249
328,-23.0452,2,1.78458,0.393374,28.3934,0.249942,0.129901,0.18275,0.227904
329,-21.6203,2,1.79923,0.387733,28.4443,0.24999,0.145303,0.190847,0.204312
330,-20.842,2,1.83371,0.378673,28.7462,0.255968,0.141132,0.19112,0.187052
331,-15.5827,2,1.81386,0.392487,28.8457,0.26312,0.149921,0.175789,0.19225
332,-19.1844,2,1.81184,0.394125,28.8546,0.263306,0.141244,0.154162,0.208365
333,-15.4429,2,1.84025,0.398847,29.3593,0.264909,0.135575,0.162693,0.221187
334,-16.2974,2,1.86252,0.399517,29.6098,0.262839,0.13451,0.167911,0.222249
335,-14.1874,2,1.87041,0.39887,29.8086,0.262519,0.148453,0.162968,0.222355
336,-23.4357,2,1.8964,0.403707,30.3673,0.259247,0.131569,0.143384,0.237571
337,-17.4516,2,1.88031,0.394638,29.536,0.263301,0.118533,0.142866,0.276633
338,-18.1643,2,1.89778,0.395601,30.0579,0.270095,0.111362,0.140694,0.256019
339,-13.6459,2,1.94509,0.391036,30.7081,0.266101,0.117643,0.15996,0.263677
340,-11.8951,2,1.98181,0.402636,31.3726,0.267149,0.111656,0.175017,0.265274
341,-16.5648,2,1.97143,0.404409,31.7004,0.262703,0.123538,0.160885,0.259887
342,-17.0332,2,1.98255,0.403976,31.3404,0.259909,0.119446,0.177855,0.250085
343,-22.7638,2,1.98591,0.40026,31.1721,0.261123,0.101531,0.170519,0.258624
344,-19.2946,2,1.97539,0.397722,31.024,0.25968,0.0965874,0.179512,0.277812
345,-18.9768,2,1.964,0.39033,30.848,0.261228,0.0992956,0.179601,0.264998
346,-19.166,2,1.96848,0.389319,30.9555,0.265837,0.0957858,0.175491,0.253529
347,-19.2565,2,1.96067,0.388703,30.9072,0.263586,0.0971669,0.170031,0.271109
348,-25.5923,2,1.95865,0.390054,30.8077,0.259917,0.106154,0.157866,0.255086
349,-13.3552,2,1.94877,0.391553,30.653,0.26309,0.112427,0.171951,0.252459
350,-16.5391,2,1.93801,0.394667,30.7638,0.264953,0.110303,0.163657,0.261545
351,-23.6956,2,1.95258,0.396573,30.9436,0.264559,0.104215,0.158903,0.25119
352,-32.7309,2,1.94829,0.396149,30.7264,0.261168,0.101944,0.143125,0.246596
353,-25.6788,2,1.94009,0.389747,30.4746,0.262062,0.102458,0.143642,0.247128
354,-20.0942,2,1.93169,0.391206,30.3087,0.266448,0.107159,0.140562,0.245286
355,-23.2176,2,1.93586,0.39331,30.6337,0.264781,0.104166,0.146812,0.250209
356,-24.5674,2,1.95059,0.393865,30.7427,0.261468,0.103822,0.150792,0.25728
357,-25.535,2,1.95743,0.399143,31.1583,0.25877,0.102957,0.151839,0.266739
358,-20.3897,2,1.97286,0.397873,31.5393,0.257767,0.110515,0.158463,0.261516
359,-21.4244,2,1.98421,0.39931,31.5321,0.256246,0.116493,0.162496,0.255402
360,-11.3644,2,1.99893,0.39494,31.6812,0.259144,0.117926,0.169431,0.265248
361,-15.7974,2,1.99618,0.396811,31.6117,0.262422,0.118462,0.164771,0.257166
362,-13.1323,2,2.00231,0.398303,31.5599,0.262646,0.115928,0.170353,0.265523
363,-26.9116,2,2.00568,0.397519,31.7311,0.258471,0.113503,0.163345,0.2659
364,-17.2095,2,2.00914,0.398967,31.9695,0.25878,0.112144,0.167947,0.268994
365,-12.9407,2,2.01367,0.398466,32.0905,0.261619,0.115647,0.163362,0.2708
366,-17.9184,2,2.01083,0.396832,31.9201,0.263061,0.115543,0.158815,0.265355
367,-24.3411,2,2.00324,0.395418,31.7106,0.26265,0.111351,0.154364,0.262491
368,-16.6502,2,2.01095,0.396616,31.721,0.26251,0.111414,0.156892,0.267872
369,-23.0641,2,2.02031,0.397525,31.9133,0.260527,0.107907,0.160749,0.269046
370,-25.4884,2,2.02632,0.394103,31.9235,0.260969,0.106179,0.156471,0.262465
371,-27.2693,2,2.04013,0.394548,32.0232,0.259363,0.105588,0.157999,0.256275
372,-27.5177,2,2.0514,0.392908,32.1932,0.258924,0.105496,0.15603,0.251958
373,-27.2603,2,2.05616,0.38973,32.2565,0.256762,0.107838,0.157345,0.250815
374,-25.7649,2,2.05818,0.388559,32.2036,0.256915,0.107424,0.158861,0.247685
375,-22.0314,2,2.06181,0.389997,32.2585,0.25598,0.108418,0.166012,0.248078
376,-25.4786,2,2.06451,0.392984,32.3558,0.25504,0.110311,0.164811,0.249031
377,-23.5806,2,2.06584,0.394077,32.3157,0.255146,0.111792,0.164838,0.247572
378,-26.174,2,2.05697,0.394066,32.2956,0.254574,0.1116,0.16212,0.252114
379,-18.8141,2,2.05106,0.392783,32.0767,0.256411,0.11409,0.161307,0.249201
380,-17.4853,2,2.05999,0.391459,32.1674,0.258486,0.117111,0.155716,0.251165
381,-17.3554,2,2.06521,0.392069,32.2207,0.258375,0.119787,0.159208,0.24937
382,-19.2968,2,2.06124,0.391498,32.2316,0.25986,0.119142,0.158058,0.246957
383,-13.3405,2,2.06407,0.39294,32.4882,0.260499,0.120386,0.158949,0.251817
384,-17.794,2,2.07138,0.394328,32.636,0.259089,0.122775,0.160279,0.255301
385,-15.1582,2,2.06579,0.394454,32.6124,0.258505,0.123595,0.161114,0.261927
386,-16.7309,2,2.05611,0.395346,32.4668,0.257629,0.125074,0.16178,0.265358
387,-19.5727,2,2.05348,0.395896,32.3413,0.25691,0.127208,0.16088,0.264105
388,-13.6011,2,2.05622,0.396203,32.2825,0.256771,0.130901,0.161797,0.262982
389,-16.326,2,2.05469,0.395363,32.3549,0.25652,0.129783,0.164558,0.263866
390,-23.1966,2,2.05452,0.396069,32.3788,0.254283,0.129305,0.168908,0.263516
391,-17.0756,2,2.05398,0.394269,32.3063,0.254581,0.126351,0.171777,0.264891
392,-15.9599,2,2.04656,0.394719,32.2027,0.255208,0.124787,0.17168,0.267079
393,-17.2919,2,2.04209,0.395167,32.1492,0.256031,0.123909,0.169389,0.267879
394,-19.6331,2,2.04237,0.393955,32.0771,0.255915,0.122509,0.168439,0.270654
395,-11.3503,2,2.04175,0.392354,32.0295,0.257134,0.122803,0.168332,0.270352
396,-12.7465,2,2.04352,0.390174,32.0338,0.258254,0.121937,0.167878,0.270903
397,-25.1751,2,2.0457,0.389685,32.0401,0.25777,0.119458,0.167923,0.269694
398,-26.9975,2,2.04902,0.38889,32.0331,0.256921,0.117478,0.168812,0.267954
399,-27.2209,2,2.04808,0.388351,32.0056,0.256171,0.115973,0.170121,0.265247
400,-24.6211,2,2.04864,0.388115,31.9534,0.256183,0.114055,0.171299,0.262927
401,-21.6427,2,2.04811,0.388028,31.9367,0.255969,0.114288,0.171125,0.262582
402,-18.2085,2,2.04814,0.387793,31.9104,0.256266,0.114266,0.171019,0.262886
403,-15.4329,2,2.04949,0.387772,31.9263,0.256482,0.115376,0.17097,0.263203
404,-16.9842,2,2.04808,0.388665,31.9456,0.25653,0.114482,0.173818,0.262917
405,-24.6603,2,2.04919,0.389037,31.9308,0.255781,0.114247,0.174168,0.263258
406,-18.7382,2,2.05087,0.388638,31.9584,0.256272,0.11458,0.173037,0.262081
407,-26.5226,2,2.05039,0.388981,31.9624,0.255961,0.114233,0.173927,0.258444
408,-16.0053,2,2.05195,0.389067,31.9785,0.255813,0.115721,0.176284,0.255725
409,-21.3614,2,2.05052,0.387885,31.9228,0.25594,0.116229,0.176239,0.253003
410,-23.6918,2,2.05105,0.387205,31.9139,0.255777,0.116157,0.175835,0.252363
411,-14.9343,2,2.05085,0.386542,31.9153,0.256081,0.116108,0.176636,0.252896
412,-20.4753,2,2.05233,0.386713,31.9227,0.255775,0.116086,0.177502,0.253209
413,-25.6146,2,2.05644,0.386234,31.9797,0.255372,0.11559,0.176567,0.2548
414,-23.8703,2,2.0593,0.38644,32.0293,0.25505,0.115919,0.175295,0.255908
415,-28.5641,2,2.05978,0.386933,32.05,0.25466,0.114699,0.175606,0.25623
416,-20.9436,2,2.06019,0.386621,32.045,0.254524,0.11434,0.175973,0.25741
417,-23.565,2,2.06019,0.386745,32.0592,0.254329,0.114382,0.175915,0.257334
418,-19.2265,2,2.06192,0.386678,32.0533,0.254444,0.115086,0.175445,0.256728
419,-16.2911,2,2.06116,0.386901,32.0821,0.254755,0.115739,0.175915,0.254985
420,-19.059,2,2.06143,0.386978,32.0917,0.25489,0.116075,0.17605,0.254039
421,-19.7306,2,2.06129,0.38724,32.114,0.254991,0.116298,0.176484,0.252771
422,-21.7864,2,2.05913,0.387614,32.1015,0.255126,0.116212,0.175887,0.252577
423,-19.0372,2,2.05803,0.387877,32.097,0.255451,0.116502,0.175161,0.25175
424,-18.0548,2,2.05722,0.387722,32.0683,0.255492,0.117227,0.175297,0.250744
425,-17.0695,2,2.05723,0.387562,32.0518,0.255606,0.117199,0.175031,0.251775
426,-8.19866,2,2.05541,0.387869,32.0484,0.256511,0.117116,0.174471,0.251687
427,-17.9258,2,2.05516,0.387886,32.0405,0.256619,0.116983,0.174237,0.25184
428,-13.0917,2,2.05543,0.387755,32.0434,0.256778,0.117015,0.173967,0.251794
429,-24.7289,2,2.05568,0.387667,32.0449,0.256772,0.117015,0.173759,0.251722
430,-21.8638,2,2.05567,0.387669,32.0435,0.256679,0.117151,0.173808,0.251743
431,-24.6553,2,2.05532,0.387606,32.0422,0.256623,0.117098,0.173912,0.251654
432,-23.787,2,2.05545,0.387577,32.0419,0.256534,0.117024,0.174088,0.251773
433,-18.6372,2,2.05551,0.387585,32.0431,0.256581,0.116964,0.173992,0.251867
434,-28.5644,2,2.05544,0.387589,32.0425,0.256509,0.116907,0.173973,0.251765
435,-27.6975,2,2.05568,0.387659,32.0426,0.256408,0.116846,0.174061,0.251769
436,-24.2575,2,2.05562,0.387703,32.0474,0.256348,0.116874,0.174063,0.251739
437,-28.033,2,2.05562,0.387736,32.0511,0.256206,0.116708,0.174246,0.25207
438,-17.4086,2,2.05558,0.387773,32.0536,0.256242,0.116691,0.17417,0.252215
439,-11.3883,2,2.05568,0.387824,32.0584,0.256289,0.11668,0.174289,0.252451
440,-17.6219,2,2.05579,0.387853,32.063,0.256272,0.116746,0.174183,0.252744
441,-8.23494,2,2.05553,0.387991,32.0681,0.256361,0.116803,0.174186,0.252968
442,-11.2956,2,2.05537,0.388113,32.0724,0.256435,0.116795,0.174184,0.253188
443,-11.2606,2,2.05548,0.388174,32.0741,0.256489,0.11678,0.174167,0.253552
444,-16.6929,2,2.05528,0.388199,32.0749,0.25647,0.116716,0.174211,0.253969
445,-17.8933,2,2.05547,0.388253,32.0769,0.256415,0.116743,0.174314,0.254228
446,-10.1635,2,2.05591,0.388191,32.0819,0.256377,0.116851,0.174475,0.254666
447,-16.9405,2,2.05584,0.38823,32.0816,0.2564,0.11689,0.17434,0.254839
448,-13.3747,2,2.05562,0.388275,32.08,0.256432,0.116938,0.174369,0.254942
449,-11.6835,2,2.05582,0.388349,32.087,0.256502,0.117024,0.174308,0.254985
450,-13.5219,2,2.05604,0.38841,32.0931,0.256505,0.117194,0.174237,0.255117
451,-15.3146,2,2.05608,0.388392,32.0934,0.256517,0.117208,0.174166,0.255404
452,-15.4082,2,2.0562,0.388438,32.0978,0.256486,0.117125,0.17429,0.25587
453,-16.6156,2,2.05622,0.388487,32.1012,0.256508,0.117069,0.174357,0.255955
454,-19.7187,2,2.05602,0.38858,32.1017,0.256506,0.117036,0.174358,0.256019
455,-24.6317,2,2.05599,0.388609,32.102,0.256476,0.116959,0.174419,0.255928
456,-19.7396,2,2.05653,0.388628,32.1118,0.256475,0.116936,0.174396,0.256003
457,-13.0142,2,2.0569,0.388628,32.1212,0.25654,0.117071,0.174139,0.256119
458,-14.3862,2,2.05726,0.388634,32.1259,0.256584,0.117095,0.174067,0.256238
459,-18.5421,2,2.0576,0.388695,32.1315,0.25658,0.117068,0.174051,0.256403
460,-27.3615,2,2.05759,0.388658,32.1309,0.256555,0.116893,0.174056,0.256413
461,-25.7436,2,2.05756,0.388632,32.129,0.256537,0.116767,0.174094,0.256341
462,-22.2838,2,2.05759,0.388587,32.127,0.256536,0.116658,0.174149,0.256327
463,-11.7019,2,2.05757,0.388521,32.1251,0.256524,0.11672,0.174362,0.256439
464,-14.9574,2,2.05757,0.388537,32.1272,0.256533,0.116712,0.174542,0.256421
465,-19.2196,2,2.05772,0.388567,32.1308,0.256474,0.116708,0.174771,0.256456
466,-16.4864,2,2.05792,0.388569,32.1318,0.256421,0.116713,0.175015,0.256589
467,-16.0144,2,2.05795,0.388522,32.1325,0.256413,0.116707,0.175285,0.256458
468,-6.42997,2,2.05822,0.388523,32.1344,0.256506,0.116812,0.175394,0.256296
469,-21.5151,2,2.05863,0.388525,32.1425,0.256515,0.116746,0.175347,0.256322
470,-28.2386,2,2.05883,0.388491,32.147,0.256471,0.116658,0.17524,0.256403
471,-21.0825,2,2.05857,0.388498,32.1471,0.256491,0.116555,0.175173,0.256505
472,-18.664,2,2.05833,0.388552,32.1446,0.256493,0.1165,0.175162,0.256673
473,-20.6829,2,2.05834,0.388528,32.1434,0.256467,0.116389,0.175356,0.256711
474,-21.8291,2,2.05854,0.388472,32.1423,0.256468,0.116279,0.175453,0.256663
475,-8.05201,2,2.05863,0.388404,32.1417,0.256524,0.116301,0.175582,0.256743
476,-17.8635,2,2.05863,0.388404,32.1425,0.25651,0.116327,0.175698,0.256685
477,-16.083,2,2.05842,0.388377,32.1399,0.256583,0.11626,0.175705,0.256572
478,-14.9852,2,2.05865,0.38829,32.1427,0.256627,0.116233,0.175757,0.256533
479,-13.0716,2,2.05908,0.388296,32.1503,0.256604,0.116347,0.17582,0.256676
480,-14.9918,2,2.05936,0.388314,32.1572,0.256617,0.116448,0.175801,0.256637
481,-6.90912,2,2.05968,0.3884,32.1646,0.256661,0.116562,0.175982,0.256539
482,-14.5117,2,2.05994,0.388478,32.1696,0.256672,0.11661,0.175974,0.256633
483,-16.0851,2,2.05981,0.388513,32.1677,0.256639,0.116729,0.175957,0.25676
484,-13.0387,2,2.05957,0.388495,32.1641,0.256666,0.116832,0.17591,0.256765
485,-24.245,2,2.05975,0.388484,32.1641,0.256645,0.116809,0.175824,0.256789
486,-15.5866,2,2.06018,0.388483,32.1692,0.256681,0.116855,0.175743,0.256776
487,-27.517,2,2.06027,0.388436,32.1706,0.256637,0.116886,0.175582,0.256748
488,-25.1086,2,2.06046,0.388426,32.1739,0.256641,0.11687,0.175451,0.256635
489,-21.6365,2,2.06072,0.388389,32.1719,0.256647,0.116879,0.175385,0.256539
490,-19.2015,2,2.06062,0.388396,32.1696,0.256708,0.116842,0.17529,0.256389
491,-19.5404,2,2.06053,0.388377,32.1691,0.256719,0.116883,0.175187,0.256368
492,-22.6744,2,2.06045,0.388427,32.1684,0.256698,0.116895,0.175188,0.256277
493,-27.8359,2,2.06025,0.388421,32.1666,0.256674,0.116817,0.175118,0.256251
494,-21.0104,2,2.06021,0.388334,32.1611,0.256663,0.116767,0.175134,0.256309
495,-17.3479,2,2.06015,0.388344,32.1574,0.256666,0.116746,0.175078,0.256514
496,-17.3613,2,2.06029,0.388357,32.1621,0.256655,0.116649,0.175239,0.256651
497,-16.4747,2,2.06044,0.388378,32.1653,0.25664,0.11674,0.175244,0.256676
498,-18.5825,2,2.06043,0.388364,32.1651,0.256651,0.116794,0.175113,0.256713
499,-17.0274,2,2.06043,0.388303,32.1654,0.256655,0.116732,0.175027,0.257059
500,-15.0346,2,2.06056,0.388378,32.1714,0.256647,0.116787,0.175064,0.257131
501,-7.25343,2,2.06082,0.388476,32.1769,0.256687,0.116868,0.175122,0.257215
502,-18.2437,2,2.06121,0.388472,32.1832,0.256696,0.116944,0.175007,0.257203
503,-22.8361,2,2.06134,0.388485,32.186,0.256677,0.116917,0.174942,0.257292
504,-14.6775,2,2.0616,0.388497,32.1894,0.256683,0.116854,0.174993,0.25753
505,-24.7644,2,2.06188,0.388456,32.1894,0.256638,0.116803,0.174976,0.257664
506,-27.6346,2,2.06213,0.388428,32.191,0.256587,0.116707,0.175042,0.257678
507,-22.2774,2,2.06223,0.388439,32.192,0.256565,0.116626,0.175143,0.257691
508,-30.5817,2,2.06236,0.388465,32.1969,0.256524,0.116544,0.175059,0.257706
509,-16.2057,2,2.06237,0.388482,32.1968,0.256547,0.116553,0.175021,0.257745
510,-20.3758,2,2.06235,0.388451,32.1945,0.256534,0.116454,0.175072,0.25791
511,-26.6983,2,2.06228,0.388435,32.1931,0.256496,0.116425,0.17508,0.25784
512,-18.5838,2,2.06214,0.388432,32.1899,0.256493,0.116449,0.175127,0.257767
513,-24.2899,2,2.06201,0.388409,32.1863,0.256496,0.116347,0.17517,0.257684
514,-26.1069,2,2.06203,0.38838,32.1838,0.256449,0.116239,0.175349,0.25763
515,-17.6189,2,2.062,0.388393,32.1818,0.256472,0.116215,0.175409,0.257528
516,-18.1735,2,2.0619,0.388389,32.1802,0.25647,0.116188,0.175477,0.257553
517,-21.2986,2,2.06207,0.388402,32.1842,0.256477,0.116107,0.175386,0.257736
518,-19.7451,2,2.06216,0.388452,32.1865,0.256527,0.11601,0.175204,0.2579
519,-22.7331,2,2.06196,0.38848,32.1857,0.256483,0.116001,0.175204,0.258029
520,-21.2286,2,2.06176,0.388488,32.1841,0.256456,0.115984,0.175219,0.258125
521,-16.0126,2,2.06171,0.38853,32.1844,0.256497,0.115894,0.175166,0.258302
522,-18.2591,2,2.06183,0.388563,32.186,0.256502,0.11583,0.175163,0.258469
523,-26.3961,2,2.06193,0.388616,32.1891,0.256443,0.115725,0.175257,0.258611
524,-29.5114,2,2.06203,0.388633,32.1899,0.256391,0.115695,0.175246,0.258561
525,-18.4964,2,2.06185,0.388652,32.1906,0.256393,0.115679,0.175238,0.25864
526,-21.1577,2,2.0618,0.38864,32.192,0.256367,0.115717,0.17523,0.258647
527,-16.5971,2,2.0619,0.388689,32.1931,0.25637,0.115706,0.175265,0.258724
