iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtWTKG,beta_Cl_tSCRMGDL,beta_Q_logtWTKG,beta_V2_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
100,454.106,1,22.4891,24.4145,16.3597,1.35739,0.0509429,1.15777,-0.494244,0.545304,-4.49364,0.189266,1.15763,0.26699,0.952486
101,462.501,1,22.2798,24.976,15.2922,1.36242,0.0563856,1.13259,-0.484167,0.66785,-4.70453,0.184474,1.19541,0.26023,0.956956
102,461.442,1,22.0725,24.3579,15.8012,1.32783,0.0569993,1.06648,-0.470899,1.10453,-4.20412,0.183555,1.16514,0.25364,0.969962
103,458.251,1,22.3727,25.0454,14.5165,1.32773,0.0533917,1.08633,-0.49485,0.546345,-4.15988,0.189305,1.38033,0.247218,0.945402
104,458.408,1,22.6632,25.0334,15.1297,1.32768,0.051924,1.16717,-0.494093,0.47365,-4.39654,0.189823,1.34795,0.240958,1.01086
105,465.72,1,21.8922,25.1805,13.9675,1.34703,0.0533898,1.12058,-0.475919,-1.00529,-4.56192,0.190314,1.36326,0.234857,1.04964
106,473.965,1,21.8632,25.1349,14.7231,1.29281,0.0585792,1.07888,-0.465452,0.908856,-4.55823,0.198873,1.54042,0.234551,1.05045
107,472.374,1,22.3962,25.1109,14.5135,1.38406,0.0568653,0.998322,-0.492386,0.893708,-3.99738,0.197892,1.50142,0.228612,1.02385
108,466.955,1,22.2742,24.5548,14.3189,1.3011,0.0576596,1.09488,-0.485228,0.250395,-3.72777,0.192881,1.51846,0.222823,0.997926
109,460.243,1,22.8989,24.4821,14.7419,1.42255,0.0490218,1.17611,-0.512678,0.0989259,-3.29872,0.206154,1.48002,0.217181,0.972658
110,455.311,1,22.7942,24.3623,14.7967,1.37709,0.0477531,1.08102,-0.495624,0.790148,-2.9686,0.200934,1.44342,0.213934,0.94803
111,458.01,1,22.2534,24.4366,15.7678,1.41857,0.0476373,1.02781,-0.482641,0.744854,-2.85167,0.195846,1.47907,0.2144,0.924025
112,446.909,1,22.0675,24.3749,15.5909,1.34764,0.0452555,1.02415,-0.468935,2.34521,-4.01348,0.191775,1.50486,0.209697,0.996099
113,456.559,1,22.6785,24.4931,14.9998,1.40867,0.0455649,1.22287,-0.487519,0.676896,-3.63217,0.189443,1.52554,0.212795,0.973187
114,458.75,1,21.8461,24.586,16.1877,1.49334,0.0415365,1.15452,-0.469839,1.77867,-4.22729,0.192315,1.56629,0.207407,0.999101
115,447.788,1,21.8789,24.4561,13.9586,1.42661,0.0413032,1.08272,-0.468119,1.58444,-4.14877,0.202496,1.52663,0.212293,0.973803
116,442.087,1,21.636,24.4051,14.6861,1.3926,0.040041,1.06392,-0.459885,1.58643,-4.08051,0.197369,1.48798,0.225224,0.949146
117,450.254,1,21.9062,24.2512,15.0972,1.44191,0.0423989,1.06727,-0.471186,1.84108,-3.66744,0.192372,1.4503,0.229099,0.944615
118,457.43,1,22.9182,24.0033,13.3716,1.44719,0.046151,1.06547,-0.503318,2.1102,-4.33505,0.192985,1.41358,0.225938,0.920697
119,453.026,1,22.394,24.8372,13.8362,1.31452,0.0497865,1.11709,-0.480595,1.57148,-4.62747,0.191567,1.39764,0.221082,0.922726
120,459.841,1,22.0082,25.0119,12.3658,1.41533,0.0478971,1.11299,-0.470661,0.98869,-4.29984,0.186717,1.47426,0.223453,0.945719
121,460.217,1,22.3446,25.3116,13.7159,1.35789,0.0523635,1.09408,-0.485397,1.46467,-5.06492,0.181989,1.43693,0.230792,0.944807
122,458.353,1,22.1462,25.615,15.1227,1.35785,0.0506343,1.02646,-0.477667,2.30658,-4.17093,0.187218,1.40054,0.23785,0.920884
123,457.138,1,22.5586,25.3965,14.5766,1.4618,0.0441679,1.05126,-0.491138,1.90599,-3.954,0.182478,1.36508,0.234094,0.997399
124,458.032,1,23.1708,25.2091,15.0869,1.40247,0.0508501,1.16235,-0.517394,2.01167,-4.7095,0.179599,1.33052,0.228913,0.972145
125,456.434,1,22.4076,25.495,14.4281,1.3144,0.0528005,1.06546,-0.485451,0.167851,-3.98948,0.191597,1.32854,0.232705,0.947529
126,456.944,1,21.9052,25.1209,13.8202,1.42815,0.049895,1.06988,-0.46211,1.60836,-3.81613,0.186745,1.2949,0.229194,0.923537
127,460.224,1,22.2196,25.4016,13.351,1.39946,0.0529442,1.01897,-0.47568,1.30613,-4.51467,0.185625,1.26212,0.247464,0.911931
128,460.179,1,21.8109,24.8312,12.641,1.46523,0.0483857,1.11634,-0.462131,-0.0901318,-4.59292,0.187223,1.23016,0.254524,0.897135
129,458.713,1,21.9635,25.0981,12.8516,1.34797,0.0533298,1.14291,-0.471591,0.419208,-4.62709,0.188191,1.19901,0.250434,0.88278
130,454.994,1,22.7733,25.2494,12.6764,1.34795,0.0514253,1.10815,-0.502761,0.734946,-5.29323,0.190328,1.16865,0.261383,0.883265
131,455.328,1,22.4698,25.6034,12.5273,1.34801,0.0539583,1.05249,-0.490387,-0.207489,-4.94269,0.185509,1.14386,0.261329,0.8609
132,462.453,1,22.487,25.8694,12.4679,1.44158,0.0569172,1.10152,-0.480178,-0.583126,-5.44983,0.180812,1.14507,0.254712,0.839102
133,466.345,1,22.9406,25.8366,12.2136,1.46694,0.0553688,1.17291,-0.49995,1.03725,-4.20289,0.186407,1.16436,0.248262,0.835875
134,474.256,1,21.9112,25.3613,12.1722,1.44058,0.0617912,1.14609,-0.470247,0.144045,-4.34199,0.191325,1.26448,0.241976,0.81471
135,468.322,1,22.0849,24.7137,11.9643,1.36855,0.0587017,1.13809,-0.46991,1.3724,-4.12202,0.186481,1.25673,0.25744,0.839737
136,462.774,1,22.4914,25.0048,12.2987,1.30012,0.0557666,1.10615,-0.488069,-0.168401,-3.48905,0.188959,1.27034,0.27357,0.901658
137,470.415,1,23.5658,24.8324,12.3377,1.42933,0.053774,1.16214,-0.533794,-1.32541,-3.29434,0.184175,1.27369,0.275667,0.934999
138,469.544,1,22.4789,24.7179,12.5092,1.42935,0.0555862,0.931008,-0.495327,-1.44536,-4.34967,0.183185,1.24144,0.268687,0.93614
139,470.999,1,22.7755,24.5769,12.9837,1.34334,0.0594886,1.00262,-0.499908,0.138917,-2.96652,0.184056,1.28609,0.261884,0.970051
140,480.511,1,22.4532,24.4284,13.3794,1.42263,0.057107,1.02743,-0.489487,1.25654,-4.32123,0.188745,1.36391,0.284212,0.994506
141,477.266,1,22.0406,25.0293,14.1151,1.36391,0.0616285,1.00052,-0.472235,1.47654,-5.01341,0.183965,1.32938,0.281077,0.969325
142,474.074,1,22.3011,25.2223,12.9896,1.43244,0.0576698,1.05766,-0.473254,0.769661,-5.46926,0.1891,1.29572,0.27396,0.944781
143,469.84,1,22.6849,25.0774,13.7851,1.36082,0.0547863,1.08244,-0.492782,-1.29305,-5.28137,0.200302,1.26291,0.269261,1.01464
144,464,1,22.3939,24.894,13.1053,1.32914,0.0570447,1.09393,-0.490127,-1.17852,-5.35522,0.19523,1.23093,0.262443,1.04671
145,471.649,1,21.6929,24.9739,12.2428,1.45736,0.0557246,1.06111,-0.46261,-1.85685,-4.89165,0.190287,1.24421,0.255798,1.02021
146,472.124,1,21.9108,25.3524,11.6337,1.45732,0.0546088,1.0847,-0.479029,-2.01109,-4.63361,0.185469,1.27414,0.249321,1.01198
147,464.407,1,21.759,25.0143,12.8576,1.3484,0.057563,1.12043,-0.472251,-1.67814,-5.31295,0.180773,1.24188,0.243008,1.06668
148,466.87,1,22.6388,25.2864,11.2343,1.44758,0.0527421,1.08445,-0.494785,-0.0609207,-5.61848,0.197644,1.21044,0.236855,1.07824
149,458.741,1,22.3408,24.2434,11.4644,1.44757,0.0518781,1.07524,-0.484887,-0.390747,-4.66773,0.192639,1.17979,0.230858,1.05094
150,458.496,1,22.0255,24.7507,11.6916,1.39678,0.0532988,1.08025,-0.469984,-0.277855,-4.20114,0.189595,1.14991,0.225012,1.07094
151,456.954,1,22.8529,25.2738,12.37,1.35835,0.0556278,1.10763,-0.489555,0.505923,-3.45788,0.185265,1.1208,0.219315,1.04382
152,452.056,1,22.3807,24.8905,11.4893,1.31948,0.056365,1.10583,-0.476253,1.53669,-3.93898,0.190698,1.09242,0.213762,1.01739
153,454.023,1,22.2721,25.2237,11.105,1.33959,0.0557257,1.03089,-0.473753,2.89029,-3.7216,0.18587,1.10659,0.208349,0.991629
154,462.704,1,21.8438,25.4393,10.3496,1.39064,0.0549289,1.06542,-0.456001,1.12898,-4.38382,0.194897,1.15826,0.203074,1.10738
155,451.684,1,22.2214,25.1246,11.0352,1.23425,0.0598995,1.09981,-0.46922,1.52343,-3.88536,0.189962,1.12893,0.197932,1.07934
156,462.695,1,23.3099,25.515,11.4421,1.35261,0.05926,1.00675,-0.503349,1.41252,-3.4849,0.197518,1.10449,0.207943,1.05201
157,466.94,1,22.3344,25.3796,11.2979,1.2515,0.0661325,1.02462,-0.48053,3.24783,-3.80409,0.194374,1.07652,0.210707,1.04315
158,463.979,1,22.3148,25.3618,12.0691,1.3431,0.0605348,1.08744,-0.472561,1.41574,-3.89372,0.195241,1.07014,0.210461,1.01674
