iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
127,13.3068,1,15.8417,42.7524,21.7629,14.9516,1.52891,0.0502159,0.225957,1.53199,8.98404e-08,0.577065
128,7.23058,1,15.819,40.732,21.7629,15.1322,1.48437,0.0514634,0.225904,1.49472,8.35038e-08,0.553307
129,20.5397,1,15.8465,41.5433,21.7629,14.9668,1.52805,0.0526472,0.235848,1.61097,9.00292e-08,0.598866
130,11.5427,1,15.9053,35.6147,21.7629,15.4364,1.58704,0.0479145,0.23676,1.63531,7.4759e-08,0.546488
131,13.8461,1,15.9053,41.437,21.7629,16.3731,1.56506,0.0487057,0.23351,1.78615,6.69947e-08,0.633346
132,16.4606,1,15.7492,36.2488,21.7629,16.6676,1.56506,0.0504268,0.230632,1.84467,6.64599e-08,0.650597
133,14.4619,1,15.8504,44.3909,21.7629,15.5007,1.56501,0.0463668,0.234207,1.86687,7.04243e-08,0.640462
134,15.6255,1,15.6681,49.8799,21.7629,16.5587,1.54458,0.0466981,0.231884,1.95408,7.22094e-08,0.647426
135,8.35321,1,15.7002,48.7606,21.7629,15.8935,1.54454,0.044307,0.232368,1.63778,7.22709e-08,0.663696
136,3.12014,1,15.73,44.8759,21.7629,15.0722,1.56824,0.0424091,0.229,1.40656,7.23478e-08,0.672739
137,-4.29766,1,15.7305,39.642,21.7629,15.1701,1.47414,0.0439747,0.234282,1.42389,6.86233e-08,0.647208
138,-2.96649,1,15.8512,37.8984,21.7629,15.7022,1.47414,0.0448345,0.236475,1.43165,6.85223e-08,0.659467
139,-9.93885,1,15.8723,42.7653,21.7629,16.102,1.51996,0.0379917,0.234184,1.45438,6.60442e-08,0.62327
140,-0.53981,1,15.8189,36.986,21.7629,15.3183,1.55001,0.0422637,0.239455,1.38142,7.148e-08,0.618915
141,-2.23743,1,15.9232,43.3404,21.7629,16.1279,1.52809,0.0422993,0.235068,1.40681,7.62933e-08,0.58852
142,5.41509,1,15.8619,43.8538,21.7629,15.8333,1.6355,0.0421509,0.231528,1.3751,7.5248e-08,0.596838
143,1.5074,1,15.8308,44.0781,21.7629,15.8242,1.56525,0.0420622,0.237916,1.5204,7.0499e-08,0.595216
144,10.7268,1,15.7735,49.3706,21.7629,15.5033,1.64224,0.0422055,0.231403,1.62887,7.10711e-08,0.623726
145,3.79046,1,15.8537,49.5355,21.7629,14.8195,1.54549,0.0423222,0.232313,1.67758,7.54794e-08,0.579197
146,1.65413,1,15.6777,44.5327,21.7629,15.4609,1.48522,0.0451714,0.228139,1.5117,8.6131e-08,0.563065
147,0.0491214,1,15.825,42.6595,21.7629,15.2994,1.44144,0.0456176,0.225245,1.59231,8.64598e-08,0.569073
