trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_logtSCRMGDL_abscissa,trans_Cl_vs_logtSCRMGDL_spline,trans_Cl_vs_logtSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_logtSCRMGDL_abscissa,trans_Q_vs_logtSCRMGDL_spline,trans_Q_vs_logtSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_logtSCRMGDL_abscissa,trans_V1_vs_logtSCRMGDL_spline,trans_V1_vs_logtSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_logtSCRMGDL_abscissa,trans_V2_vs_logtSCRMGDL_spline,trans_V2_vs_logtSCRMGDL_regression,split
0.582424,2.67575,2.58065,-0.151001,2.79802,2.64526,0.582424,2.94167,3.19447,-0.151001,3.42473,3.20548,0.582424,3.19897,3.19718,-0.151001,3.07656,3.18708,0.582424,2.34818,2.49143,-0.151001,3.17027,2.60586,All
0.590101,2.64352,2.57488,-0.137194,2.77838,2.64072,0.590101,2.84871,3.19637,-0.137194,3.36888,3.20346,0.590101,3.18319,3.19912,-0.137194,3.11381,3.18734,0.590101,2.45687,2.48497,-0.137194,3.08325,2.5962,All
0.597778,2.6113,2.56912,-0.123387,2.75873,2.63617,0.597778,2.75574,3.19827,-0.123387,3.31304,3.20145,0.597778,3.16741,3.20107,-0.123387,3.15105,3.1876,0.597778,2.56557,2.47851,-0.123387,2.99623,2.58653,All
0.605455,2.57908,2.56335,-0.10958,2.72251,2.63163,0.605455,2.66278,3.20017,-0.10958,3.31764,3.19943,0.605455,3.15163,3.20301,-0.10958,3.17941,3.18786,0.605455,2.67426,2.47206,-0.10958,2.81162,2.57687,All
0.613131,2.54685,2.55758,-0.0957733,2.67497,2.62709,0.613131,2.56982,3.20207,-0.0957733,3.36354,3.19741,0.613131,3.13585,3.20496,-0.0957733,3.2017,3.18812,0.613131,2.78295,2.4656,-0.0957733,2.56032,2.5672,All
0.620808,2.51463,2.55182,-0.0819664,2.62742,2.62254,0.620808,2.47685,3.20396,-0.0819664,3.40943,3.1954,0.620808,3.12008,3.2069,-0.0819664,3.22398,3.18838,0.620808,2.89164,2.45914,-0.0819664,2.30903,2.55753,All
0.628485,2.4824,2.54605,-0.0681596,2.60248,2.618,0.628485,2.38389,3.20586,-0.0681596,3.39782,3.19338,0.628485,3.1043,3.20885,-0.0681596,3.22286,3.18864,0.628485,3.00034,2.45268,-0.0681596,2.22481,2.54787,All
0.636162,2.471,2.54028,-0.0543528,2.59039,2.61346,0.636162,2.39477,3.20776,-0.0543528,3.35349,3.19136,0.636162,3.10311,3.2108,-0.0543528,3.20844,3.1889,0.636162,2.9829,2.44622,-0.0543528,2.2356,2.5382,All
0.643838,2.46471,2.53452,-0.040546,2.5783,2.60892,0.643838,2.43117,3.20966,-0.040546,3.30917,3.18935,0.643838,3.10552,3.21274,-0.040546,3.19401,3.18916,0.643838,2.93445,2.43976,-0.040546,2.24638,2.52854,All
0.651515,2.45842,2.52875,-0.0267391,2.56621,2.60437,0.651515,2.46758,3.21156,-0.0267391,3.26485,3.18733,0.651515,3.10792,3.21469,-0.0267391,3.17958,3.18942,0.651515,2.88599,2.4333,-0.0267391,2.25717,2.51887,All
